Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,6.297886E-03,4.062917E-04,6.642936E-04,6.330449E-03,1.899113E-04,9.265101E-04,1.164998E-03,1.154150E-04,2.675624E-03,3.105809E-04,1.706992E-04,2.560078E-04,3.305664E-03,2.928679E-04,6.861492E-03,1.317632E-02,1.395927E-04,5.729454E-04,5.554355E-03,4.042854E-05,1.354562E-04,1.718213E-04,3.227989E-03,0.000000E+00,2.975121E-03,2.984198E-03,2.711285E-04,3.704136E-04,3.926808E-03,6.581735E-03,3.164520E-03,2.352654E-04,2.129745E-03,4.042854E-05,1.516070E-05,7.553069E-04,1.255021E-03,9.037251E-03,1.198355E-03,2.865286E-03,7.548548E-05,1.948489E-04,1.643136E-02,4.065916E-03,2.526784E-05,5.998151E-03,2.255811E-03,8.828601E-03,4.884485E-03,4.979359E-05,9.972721E-05,1.865208E-03,8.751343E-04,5.349331E-04,1.289125E-04,4.434152E-03,8.439848E-05,1.161868E-02,4.164978E-04,1.443292E-03,3.131092E-04,2.247373E-04,0.000000E+00,3.967946E-05,5.053568E-06,5.178616E-03,4.029133E-04,5.174531E-04,6.655138E-04,3.147048E-03,9.391445E-04,7.289039E-04,1.132043E-02,8.039993E-04,1.303306E-04,4.204302E-04,1.751013E-03,2.548423E-03,2.309110E-03,2.234623E-03,4.122263E-04,5.491067E-04,1.716687E-03,1.544184E-04,5.373604E-04,3.668007E-03,1.862227E-03,4.875968E-04,1.444044E-03,2.010826E-05,1.113050E-03,1.323115E-03,5.334594E-03,1.852817E-03,4.054561E-03,2.960963E-04,9.339079E-04,1.209676E-04,3.680829E-03,1.349582E-04,3.199760E-04,2.598492E-04,1.935483E-03,7.776371E-03,6.730956E-04,2.512412E-04,2.368273E-03,1.237739E-04,1.629289E-03,4.537610E-05,2.370427E-03,2.384795E-03,2.734897E-03,4.011324E-03,9.567375E-05,5.053568E-06,5.079392E-03,6.261042E-03,2.220132E-03,8.792808E-04
2000,4.660874E-03,9.908839E-06,8.835466E-03,3.098560E-03,1.501487E-04,2.637026E-03,6.641083E-03,1.387237E-04,9.859819E-03,4.213840E-03,3.511555E-03,4.954419E-06,5.963705E-05,4.506338E-03,2.048109E-03,1.517825E-02,1.206542E-04,7.904819E-04,4.067834E-04,4.189615E-04,8.431714E-05,2.000169E-05,5.845291E-03,9.595852E-04,2.804435E-03,2.585649E-03,5.110303E-04,2.523214E-05,8.393412E-03,1.029050E-02,2.208787E-04,4.997998E-03,5.954504E-05,6.819707E-04,1.979720E-03,6.477548E-05,1.486326E-05,1.273929E-02,3.504897E-05,4.463766E-03,7.983466E-04,3.075740E-04,3.271837E-02,8.985410E-03,2.501267E-03,6.748628E-03,5.963898E-03,1.575968E-03,3.204261E-03,3.513297E-05,4.324116E-04,1.462961E-03,7.407067E-04,4.013434E-03,3.481372E-03,1.325578E-03,7.137316E-03,2.426280E-02,3.824185E-03,4.954419E-06,3.803763E-03,4.954419E-06,2.972652E-05,1.985668E-04,7.676510E-04,7.357923E-04,6.344567E-04,2.736522E-04,1.686333E-04,2.629583E-03,5.531868E-05,1.768343E-02,5.795831E-03,4.365181E-03,1.822604E-03,1.064562E-03,3.639272E-03,2.110570E-02,1.972181E-03,7.459281E-03,5.206081E-04,1.196681E-04,4.954419E-06,7.654112E-03,1.059960E-02,1.513496E-03,2.000169E-05,5.030890E-03,7.278136E-04,1.023779E-02,4.906380E-03,5.828821E-03,2.651014E-03,7.338099E-03,1.003851E-03,2.690048E-04,8.161945E-03,3.013107E-03,1.171401E-02,9.771506E-03,1.178120E-03,6.913045E-04,3.123873E-03,9.889658E-03,1.009285E-05,1.513928E-05,1.130968E-03,4.074625E-04,1.288149E-04,5.950344E-04,1.436782E-04,2.574084E-03,4.644663E-04,5.379335E-04,4.485980E-05,1.063917E-03,5.699672E-04,3.016036E-03,5.505066E-05,2.182491E-03
3000,4.777849E-03,1.031995E-03,9.035020E-03,1.998699E-02,1.348275E-04,1.621264E-02,8.197386E-04,7.436112E-03,4.656410E-03,6.304877E-03,3.341849E-03,6.801639E-04,2.449772E-04,2.829351E-03,4.913518E-03,1.335570E-02,3.845959E-04,3.201898E-04,4.019782E-03,7.000235E-05,1.651149E-03,1.796120E-04,2.389656E-02,2.542096E-04,0.000000E+00,6.046453E-04,1.204561E-04,3.656093E-04,5.988301E-05,1.793411E-02,4.591454E-04,1.190877E-03,2.191494E-04,3.010201E-04,1.595674E-04,1.249992E-04,2.660239E-04,7.022612E-03,3.415752E-03,4.610663E-03,4.406770E-03,2.850304E-03,3.343272E-02,1.854338E-02,4.724409E-04,6.357254E-04,6.428460E-03,4.749130E-04,9.229270E-04,4.526252E-05,1.491350E-05,1.858787E-03,4.971167E-06,6.448463E-03,6.616113E-04,4.396868E-04,1.799950E-02,2.367391E-02,2.306158E-04,4.516028E-03,2.277360E-03,4.259832E-03,1.544554E-02,1.106417E-04,2.011668E-05,0.000000E+00,1.950388E-03,9.601213E-04,9.942334E-06,2.362701E-03,4.247421E-03,2.564927E-02,2.662644E-03,9.641296E-03,9.272928E-03,2.092839E-03,3.502118E-05,2.633289E-02,1.976867E-03,5.029169E-06,2.090335E-03,1.449803E-02,1.775727E-03,1.571558E-02,5.025956E-03,6.149031E-03,2.716576E-03,7.730769E-03,3.297141E-03,1.534251E-02,1.398686E-02,2.366070E-02,7.624320E-03,3.421259E-03,4.436979E-04,7.880835E-04,2.298347E-04,1.598834E-04,4.791751E-04,7.579121E-03,4.004595E-03,6.007269E-03,3.201112E-03,1.742620E-02,2.742291E-03,1.822887E-03,2.838425E-04,1.954996E-04,1.005834E-05,3.508818E-05,4.754050E-04,1.575389E-03,1.740469E-04,4.414786E-03,1.820694E-03,2.217029E-02,4.023335E-05,7.411099E-04,5.508052E-03,1.988106E-02
4000,1.971472E-02,1.341164E-02,5.258132E-03,1.960214E-02,6.833598E-03,1.492251E-02,2.994669E-05,2.415632E-02,8.568290E-03,4.340402E-03,3.141471E-03,1.322689E-02,1.763745E-03,1.070429E-02,8.321267E-03,2.435913E-02,2.894995E-03,1.099945E-04,2.832296E-03,3.202419E-03,8.405296E-03,2.603127E-03,1.255363E-02,7.224866E-04,6.237484E-04,1.814103E-03,3.483280E-05,1.350551E-04,6.068580E-04,1.402322E-02,8.685247E-03,9.952229E-06,2.281242E-03,2.095048E-04,4.478503E-05,2.016097E-03,2.100678E-04,9.573308E-03,1.138172E-02,3.617543E-03,5.980938E-05,5.510627E-05,3.352235E-02,2.938212E-03,7.265142E-03,1.469940E-02,2.394433E-03,3.984992E-05,1.850057E-03,2.637397E-03,2.190850E-04,1.693719E-04,2.639501E-04,1.078609E-02,2.588680E-04,4.976115E-06,2.515935E-02,2.651640E-02,5.056164E-03,5.024116E-06,1.424193E-02,2.255228E-03,1.357829E-02,1.000023E-05,2.658947E-03,5.024116E-06,7.468972E-05,1.168651E-03,8.430024E-04,1.670537E-02,2.227973E-03,2.689147E-02,5.069864E-03,6.429429E-03,1.177152E-02,4.755123E-03,1.556706E-04,1.722478E-02,1.243654E-03,1.217524E-03,3.811307E-03,1.496930E-02,2.184524E-03,1.145008E-02,8.265746E-03,3.225091E-03,5.821655E-03,7.251522E-03,1.375490E-03,2.704398E-02,1.836090E-02,2.639456E-02,2.370090E-02,5.138698E-04,4.549587E-03,2.442916E-04,4.976115E-06,3.863851E-03,9.540920E-05,4.993304E-03,9.415668E-03,9.207432E-03,7.380970E-04,1.457343E-02,9.329204E-03,5.675895E-03,8.092558E-03,1.545071E-03,3.040880E-04,3.523207E-03,1.907314E-03,0.000000E+00,1.097585E-04,1.173567E-03,4.063228E-03,1.264316E-02,1.089914E-03,2.378338E-03,2.117727E-03,1.523470E-02
5000,1.587297E-02,1.181285E-02,4.039951E-04,2.417491E-02,4.153213E-03,1.596541E-02,6.663148E-04,1.035912E-02,3.167842E-03,1.372586E-02,6.659730E-03,5.729793E-03,5.055769E-03,1.140751E-02,1.282883E-02,1.937842E-02,5.193211E-03,8.463194E-03,6.332252E-03,2.828739E-03,9.665235E-03,0.000000E+00,7.899431E-03,3.646266E-03,6.186033E-04,1.571923E-03,8.052663E-03,1.746048E-04,1.998820E-04,1.880112E-02,6.279324E-03,0.000000E+00,2.940850E-04,3.488836E-05,1.963964E-03,2.544306E-04,1.504815E-05,4.734716E-03,1.062436E-02,8.841579E-03,5.016051E-06,3.149672E-04,2.023105E-02,3.606457E-04,4.958882E-03,1.884409E-02,4.159533E-04,3.550766E-04,7.974482E-05,1.801244E-03,3.706915E-03,3.260645E-03,5.595171E-03,9.833915E-03,1.152552E-04,0.000000E+00,2.424588E-02,4.801935E-03,1.757797E-02,1.661657E-03,4.387935E-03,1.088208E-02,1.917968E-02,2.096141E-04,1.969652E-03,2.504045E-03,7.517677E-05,5.726347E-03,2.990431E-05,2.454770E-02,5.225154E-04,3.598492E-02,9.991850E-03,9.661335E-03,1.213428E-03,1.410862E-03,5.231674E-04,2.228991E-02,6.011462E-05,1.723458E-03,4.738281E-03,1.507789E-02,1.362898E-03,3.853791E-03,1.975821E-03,1.228235E-03,4.229411E-03,1.847226E-02,4.984051E-06,4.212865E-02,8.344623E-03,2.144693E-02,1.099822E-02,1.491211E-02,9.617528E-04,1.592402E-03,3.682011E-03,2.530798E-03,5.138152E-03,1.897679E-04,1.246793E-04,5.871630E-04,3.953450E-04,1.351352E-02,2.911108E-03,3.141392E-03,2.846412E-03,1.531100E-03,1.895139E-04,1.297493E-04,1.273165E-03,2.889310E-04,1.158301E-03,2.303048E-03,1.144083E-03,1.982848E-02,1.848921E-03,8.478087E-05,1.612370E-02,1.263909E-02
6000,1.823672E-02,8.913792E-03,9.131892E-05,3.397490E-02,4.567816E-04,9.514209E-03,9.076243E-03,5.042164E-03,8.692957E-03,1.709948E-02,5.496500E-03,7.304534E-03,6.462046E-03,1.381852E-02,1.240694E-02,2.221825E-02,8.721404E-03,7.731155E-03,6.338738E-03,1.608834E-03,1.153806E-02,1.166734E-03,8.049165E-04,3.359838E-03,2.751354E-03,1.109576E-04,1.050940E-02,1.038293E-02,9.586425E-03,1.496828E-02,6.824462E-03,2.755277E-03,9.826687E-04,1.500108E-04,3.236936E-04,1.069682E-04,1.805151E-03,9.330949E-04,2.312369E-02,1.876807E-02,2.386288E-04,1.472899E-05,6.479486E-03,4.446865E-03,1.647631E-02,2.682282E-02,7.878150E-03,2.191427E-03,2.021502E-03,5.643431E-03,5.584591E-05,2.260451E-03,1.366284E-02,3.447797E-03,9.943767E-05,6.850134E-03,2.456179E-02,4.909662E-06,2.648514E-02,1.393484E-02,1.131608E-02,1.522743E-03,3.853129E-02,4.386523E-03,5.369932E-03,1.120619E-04,6.418673E-05,1.013992E-02,4.201243E-03,3.688240E-02,5.946452E-03,3.327682E-02,1.037603E-02,9.724176E-03,4.284642E-03,2.600600E-04,4.020181E-04,3.884863E-03,3.818373E-04,2.226902E-03,3.359018E-03,1.468940E-02,2.239626E-03,8.958869E-03,6.465823E-03,2.598120E-04,5.190729E-03,1.163061E-02,8.855398E-04,4.741659E-02,1.515933E-04,2.087845E-02,7.462849E-03,3.007627E-02,1.034520E-04,2.481861E-02,9.148524E-03,7.696586E-04,3.546997E-03,2.553486E-03,8.388030E-04,2.671104E-04,1.250047E-02,1.266628E-02,5.789780E-04,3.209624E-03,1.899815E-03,2.037490E-05,7.926332E-03,3.378304E-04,2.398120E-03,6.856481E-04,1.471658E-04,7.375207E-03,1.395492E-03,1.765759E-02,2.271420E-03,9.853136E-05,1.474668E-02,8.105214E-03
7000,1.735057E-02,7.238195E-04,1.178202E-03,1.036980E-02,4.601066E-04,2.237045E-02,1.614423E-02,1.501054E-02,9.268144E-04,9.584002E-03,5.112067E-03,1.505722E-05,2.043293E-02,2.051777E-02,9.336715E-04,1.583765E-02,1.129310E-02,7.119359E-03,1.994913E-02,5.292828E-03,9.612308E-03,8.888578E-04,8.521023E-05,6.105985E-03,5.019072E-06,5.520980E-05,4.338755E-03,8.817971E-03,6.860709E-04,1.651038E-02,4.794338E-03,2.293473E-04,4.296202E-04,7.354425E-03,3.011443E-05,3.995758E-05,1.046405E-04,0.000000E+00,2.437939E-02,2.582300E-02,1.202837E-04,2.992143E-05,1.239412E-02,5.512404E-03,6.080895E-03,2.408495E-02,2.439175E-03,4.981072E-06,4.286992E-04,5.851340E-03,2.846623E-03,1.279800E-02,6.762518E-03,2.059280E-02,1.141779E-02,9.433413E-03,2.502228E-02,9.550038E-04,2.030976E-02,4.105294E-03,1.193578E-02,2.498426E-04,7.677448E-03,8.395151E-04,3.876731E-03,4.534265E-04,1.453631E-04,1.521858E-02,1.320414E-02,5.487009E-02,1.505722E-05,2.983422E-02,9.961257E-03,9.137262E-04,7.312276E-04,1.141356E-03,3.509551E-05,1.482307E-02,2.810853E-03,2.003829E-05,8.093006E-03,1.695638E-02,7.966025E-03,1.797176E-04,7.650478E-03,4.227313E-03,6.961735E-03,8.195104E-03,8.118957E-04,5.090371E-02,0.000000E+00,2.303183E-02,6.852529E-03,5.038077E-02,6.243370E-04,1.898858E-02,1.101416E-04,6.517164E-04,1.378760E-03,1.709012E-02,5.403839E-03,8.669557E-03,4.226651E-03,1.069136E-02,4.996762E-04,3.169822E-03,7.385421E-03,2.361893E-03,7.340999E-03,4.086849E-04,1.009043E-03,8.710936E-04,7.022251E-04,1.601005E-02,1.975563E-03,3.880538E-03,3.096579E-03,2.286532E-03,1.444050E-02,4.303412E-04
8000,1.749335E-02,0.000000E+00,7.725449E-03,2.799036E-02,6.316345E-04,1.768403E-02,1.018166E-02,9.466289E-03,8.354324E-04,9.604346E-04,2.226110E-03,1.431678E-03,4.453309E-03,1.263628E-02,1.104939E-04,4.689547E-03,1.781058E-02,1.521239E-02,2.310746E-02,8.346710E-03,8.781246E-03,2.988087E-03,9.297957E-04,2.743814E-02,1.279360E-03,3.665536E-03,3.358972E-03,7.676200E-03,2.649486E-04,1.821117E-02,7.959626E-03,6.164236E-03,9.930070E-05,3.424550E-03,1.012205E-02,1.604203E-03,3.393180E-03,6.284256E-04,2.588786E-02,1.625886E-02,3.502562E-04,4.972637E-04,1.108344E-02,2.553216E-03,3.005919E-04,2.527562E-02,7.239882E-04,6.559712E-03,5.542502E-05,2.809988E-03,1.491831E-05,9.994478E-03,1.618406E-02,1.778498E-02,1.644940E-02,1.602513E-02,2.150494E-02,1.853636E-04,2.526864E-02,2.945520E-03,1.992944E-02,2.136419E-03,1.414935E-03,1.850045E-04,9.718928E-03,2.751452E-03,5.681182E-04,1.555419E-02,1.769295E-03,4.835811E-02,2.844702E-03,2.253552E-02,1.134956E-02,1.561556E-03,1.033020E-03,6.425357E-05,4.475794E-05,1.237073E-02,1.112221E-04,7.258108E-04,1.121972E-03,2.864566E-02,8.760473E-03,1.796294E-03,4.898407E-03,1.604752E-02,5.453570E-03,0.000000E+00,3.291342E-03,4.583977E-02,8.704173E-03,1.110619E-02,1.490596E-02,4.834767E-02,7.138513E-04,4.273622E-02,3.569727E-03,1.463452E-03,3.446833E-03,1.988687E-02,6.363642E-03,2.327177E-03,5.177006E-03,1.363604E-03,1.263217E-03,3.076459E-04,1.875717E-02,7.260638E-04,3.163534E-03,2.534242E-04,5.799179E-03,1.316516E-03,4.916421E-06,2.260176E-02,2.545580E-03,3.494630E-04,2.589068E-04,1.546317E-03,3.352071E-02,1.640544E-04
9000,2.973228E-02,7.994930E-03,1.366458E-02,2.479655E-02,9.944312E-06,3.008658E-02,3.633866E-03,1.108635E-02,6.493804E-05,7.955449E-05,1.364170E-03,3.251088E-03,2.514079E-05,5.295767E-03,2.283083E-03,1.651172E-04,1.897580E-02,1.905097E-02,2.308988E-02,1.368103E-02,1.456669E-02,1.195597E-04,6.611337E-04,3.275071E-02,8.661912E-04,4.983356E-05,1.035553E-02,3.387134E-03,2.230280E-03,1.606498E-02,7.968342E-03,6.088431E-04,1.497247E-05,5.028158E-06,1.860240E-02,3.185458E-03,5.517075E-03,3.287923E-04,2.974416E-02,2.486078E-05,3.726959E-03,6.016939E-04,1.025470E-02,8.026702E-04,2.247544E-03,2.036815E-02,7.525436E-05,1.016960E-03,3.192226E-03,5.687358E-04,5.927696E-04,1.166428E-03,2.081636E-02,2.116780E-02,1.877515E-02,1.605948E-02,1.960465E-02,4.959318E-03,2.572416E-02,5.028158E-06,2.229762E-02,6.943004E-03,1.197078E-03,4.334736E-04,6.463803E-05,1.087144E-03,3.544123E-03,1.087246E-02,3.352727E-03,4.968647E-02,4.579124E-03,3.072966E-02,1.665594E-02,1.350610E-02,4.972156E-06,2.816873E-03,1.000911E-04,3.130986E-03,4.416796E-03,1.747815E-04,8.406710E-03,2.665108E-02,5.793422E-03,2.300273E-02,4.486831E-04,1.287212E-02,2.163633E-03,8.013051E-05,4.110677E-03,3.142556E-02,1.875839E-02,1.877406E-02,1.364351E-02,4.354753E-02,6.204011E-03,3.305503E-02,1.829069E-03,9.944312E-06,9.903064E-03,1.293035E-02,3.082687E-04,6.155773E-04,3.693026E-04,7.384452E-04,4.998957E-05,4.166799E-03,7.413897E-03,1.931809E-03,0.000000E+00,8.212588E-04,4.674223E-03,1.135221E-03,1.141800E-03,2.089309E-02,1.392564E-04,2.508479E-05,1.215318E-03,7.240447E-03,4.169586E-02,5.501327E-03
10000,2.993656E-02,2.660095E-03,7.833600E-03,2.137145E-02,5.541898E-05,2.491503E-02,4.446640E-05,9.804612E-04,1.487854E-03,1.100658E-03,1.665014E-03,3.772492E-03,1.964737E-03,2.251691E-03,1.226410E-03,1.327947E-03,2.571814E-02,1.712149E-02,1.757609E-02,1.282826E-02,7.166499E-03,8.820628E-03,4.721737E-03,3.230542E-02,7.551487E-05,1.773660E-03,8.993255E-03,4.058784E-04,0.000000E+00,2.093418E-02,5.458866E-03,2.012290E-05,5.693632E-03,3.964371E-05,2.257447E-02,1.921228E-03,5.314743E-03,4.257773E-03,3.149182E-02,3.632963E-04,1.917393E-02,1.597770E-04,7.528354E-03,3.878098E-04,1.213871E-03,1.958932E-02,1.148105E-04,6.556156E-03,2.226721E-04,5.329517E-04,5.952457E-05,1.518219E-05,1.471034E-02,1.869006E-02,2.145097E-02,2.769330E-02,2.552811E-02,4.940711E-05,2.165352E-02,8.453217E-05,2.980247E-02,6.325474E-03,4.145847E-04,3.036437E-05,2.640400E-04,1.219127E-02,1.385450E-02,2.100959E-02,6.578947E-05,4.200096E-02,2.728657E-03,3.481092E-02,3.689239E-03,3.003628E-02,3.154058E-03,5.116029E-03,4.011578E-05,4.940711E-06,1.517018E-04,1.101749E-04,4.280626E-03,3.567910E-02,1.018805E-02,2.777094E-02,2.657163E-04,3.290062E-03,4.048583E-05,1.657383E-03,1.163968E-04,3.956895E-02,8.454960E-03,1.128782E-02,1.886499E-02,3.722103E-02,3.529490E-03,2.577220E-02,1.012146E-05,1.012146E-05,6.908351E-03,2.911430E-02,8.394429E-04,1.036829E-02,6.643417E-03,6.065049E-03,3.012434E-05,7.164826E-03,9.197995E-04,3.110692E-03,1.790966E-03,3.991789E-03,1.567217E-02,3.024436E-05,1.306791E-02,2.496293E-02,2.896039E-03,1.103998E-02,3.430404E-04,1.161228E-02,5.586021E-02,2.978651E-02
