Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,2.043309E-09,2.511445E-09,2.601251E-06,1.328004E-07,1.703554E-06,3.843916E-07,1.000337E-09,1.188757E-06,7.301519E-07,3.497401E-06,1.312681E-07,8.645128E-08,4.995696E-08,4.406096E-09,1.088179E-06,5.207743E-08,2.520803E-07,1.712446E-08,2.447831E-08,7.134551E-07,3.643028E-05,1.415604E-06,1.300515E-06,3.656548E-07,1.847422E-06,1.429413E-06,2.142129E-06,5.246819E-08,1.821828E-07,1.032812E-07,1.878781E-07,6.949540E-08,3.360173E-08,2.502778E-08,4.341553E-08,3.335245E-08,1.929492E-06,7.204772E-06,6.103299E-07,1.364929E-05,2.588255E-06,9.105707E-07,9.178440E-07,2.114275E-10,2.889184E-07,1.883111E-07,1.036233E-07,1.495364E-06,1.285915E-05,1.021542E-09,3.583488E-09,8.398709E-08,4.596939E-09,6.506561E-07,1.820641E-11,2.750515E-07,7.424161E-08,2.398874E-08,4.895662E-10,4.233443E-07,1.875049E-08,2.034602E-08,4.871846E-07,1.082834E-07,2.205113E-07,1.900474E-07,2.229026E-06,1.180838E-07,2.043084E-09,8.273669E-08,1.105427E-06,4.997661E-06,0.000000E+00,1.021771E-05,2.061245E-08,1.034637E-06,1.858162E-07,8.407444E-09,5.918316E-10,1.339122E-06,1.070676E-06,3.741382E-07,2.815906E-06,0.000000E+00,1.714360E-06,1.507947E-06,3.670275E-07,1.774975E-05,8.683106E-09,1.824506E-06,9.200135E-10,2.173917E-06,2.605493E-06,8.812191E-09,2.308685E-07,5.167240E-06,1.670031E-07,2.037835E-06,5.537923E-07,4.219299E-09,2.043084E-09,4.625235E-07,2.442993E-07,7.385806E-06,0.000000E+00,5.637337E-08,2.060419E-08,4.711727E-06,9.002272E-07,8.336193E-09,1.532313E-09,1.814219E-06,2.998013E-07,2.717193E-08,1.497705E-05,2.244316E-07,1.336621E-08,8.680312E-07,1.813718E-08,1.013060E-08
2000,4.223176E-08,1.586091E-05,7.607930E-06,7.057205E-06,6.982036E-06,1.370105E-07,2.824986E-07,6.261700E-07,3.494464E-07,5.119543E-06,2.487785E-08,8.759230E-07,1.290663E-06,1.574692E-08,1.947657E-07,3.369844E-06,6.211301E-07,8.350497E-07,1.096308E-07,2.331225E-07,7.458628E-09,1.096858E-07,5.936231E-07,1.024150E-07,8.494451E-07,2.459503E-07,3.374929E-06,1.193397E-05,4.442447E-07,4.983824E-06,2.938153E-07,7.126605E-07,4.978218E-07,4.732211E-06,2.601498E-06,2.424151E-05,4.119327E-07,2.548610E-07,3.812172E-05,1.620659E-05,1.981338E-07,8.882151E-09,2.102367E-09,6.224222E-06,0.000000E+00,6.274947E-08,2.332335E-06,2.822506E-08,7.887801E-06,2.077661E-09,2.337600E-07,0.000000E+00,5.555240E-06,2.960234E-06,3.330378E-07,9.132440E-08,2.484360E-07,2.363356E-07,1.000212E-09,2.434348E-07,2.034028E-09,1.595671E-05,1.932516E-06,4.731239E-08,2.066541E-07,9.166343E-08,2.997162E-06,2.246987E-05,3.676555E-07,1.652315E-07,8.069683E-07,6.082974E-06,1.145673E-07,3.362806E-06,0.000000E+00,3.303616E-08,4.574982E-07,8.749235E-06,9.554029E-06,1.050094E-06,1.993545E-06,2.854383E-06,9.409834E-06,3.843192E-07,4.701943E-07,1.886475E-07,4.717761E-07,2.514801E-06,1.839524E-07,2.776337E-06,2.631203E-06,4.564277E-07,5.777836E-08,5.141588E-06,1.628539E-06,8.494962E-06,8.756939E-06,6.392161E-09,1.775014E-06,8.026229E-06,3.069396E-06,3.941247E-05,1.149226E-07,1.218579E-07,2.780569E-07,3.856055E-06,2.187372E-07,2.471553E-06,9.102276E-08,1.264417E-07,5.685618E-07,6.960260E-07,1.681077E-08,2.878486E-06,1.101343E-07,1.262519E-07,1.966819E-09,1.745347E-05,3.165102E-07,3.421398E-06
3000,1.532398E-06,3.139871E-06,3.044314E-06,9.365663E-08,1.068155E-07,4.958802E-06,3.817083E-08,2.097347E-06,7.701719E-07,1.130411E-07,1.114104E-06,4.775492E-06,8.060629E-07,1.150677E-05,6.013730E-06,3.852953E-06,7.955604E-06,3.110416E-07,1.904987E-06,5.412246E-07,1.789368E-07,2.871364E-07,9.845673E-07,2.451711E-09,2.930458E-08,4.529968E-07,7.726587E-07,3.235057E-06,1.780272E-06,3.431333E-06,3.204807E-06,7.388818E-06,4.377596E-06,9.590663E-08,6.560981E-07,4.631883E-06,1.281011E-07,7.679976E-05,1.511010E-05,3.213096E-07,1.626816E-06,7.448071E-07,4.150241E-08,2.030655E-06,6.316749E-07,1.179415E-05,8.597386E-08,1.164331E-07,1.147043E-05,2.834205E-08,1.759321E-06,2.416662E-06,8.573774E-08,2.543118E-06,1.588709E-07,1.447739E-06,1.270081E-05,4.491495E-09,1.115188E-07,5.053230E-06,1.313558E-06,1.106875E-05,1.281838E-08,5.034346E-07,3.483811E-05,5.596436E-06,0.000000E+00,3.850063E-06,2.505521E-07,4.903422E-10,6.412201E-08,2.992604E-06,9.912700E-07,9.155812E-06,2.027369E-07,1.211133E-05,2.224183E-08,2.872164E-06,2.247687E-05,6.496119E-07,3.971772E-08,7.220956E-07,3.423836E-06,4.984925E-06,0.000000E+00,8.087173E-08,2.434889E-06,1.746900E-05,1.674204E-05,2.871732E-06,3.302936E-08,2.222274E-05,2.264231E-07,1.639582E-06,7.060928E-08,4.373840E-07,1.478784E-06,2.408722E-08,2.280098E-06,1.125253E-05,1.867692E-06,5.931823E-06,5.079856E-09,1.019892E-09,2.193191E-06,4.773824E-06,8.835862E-09,4.903422E-10,1.871377E-05,3.521207E-07,2.098710E-06,5.713162E-07,7.352526E-07,7.000871E-07,1.081286E-06,8.051094E-06,1.011869E-07,1.178219E-05,1.189240E-06,1.828116E-05
4000,2.884233E-07,1.686356E-05,3.238963E-05,6.004681E-07,1.588588E-07,1.115141E-05,4.286398E-07,1.543220E-06,4.296170E-07,4.494605E-09,1.289320E-06,1.301561E-08,3.728363E-07,1.997602E-09,7.197678E-07,7.934351E-06,6.739664E-06,4.510399E-07,1.071441E-06,1.005400E-05,9.866803E-07,2.202105E-07,1.340352E-06,3.383345E-06,1.000001E-09,1.814476E-07,1.311657E-05,3.636241E-06,5.236633E-08,6.246710E-07,1.958902E-07,2.399965E-05,0.000000E+00,1.736291E-07,1.158825E-06,5.710889E-06,9.015852E-07,2.597257E-06,9.537590E-06,2.494607E-09,4.846380E-06,8.792254E-06,2.651829E-07,6.095206E-06,1.431238E-07,7.047712E-07,5.041547E-08,1.188627E-06,5.564589E-05,3.000572E-06,8.560149E-08,4.067602E-06,6.595882E-06,1.183188E-06,4.629245E-07,9.121034E-07,1.644958E-05,3.450870E-07,6.439549E-06,1.557436E-05,8.531821E-07,1.203830E-05,2.705509E-06,1.277800E-05,1.219460E-06,1.338998E-05,1.163162E-06,3.234243E-08,2.041010E-09,2.238329E-07,6.305149E-08,1.835764E-05,2.500832E-06,1.107435E-05,3.945127E-07,1.477908E-06,1.597520E-06,3.159065E-05,2.141800E-05,2.362631E-07,5.055945E-08,2.638509E-06,4.004910E-06,1.175294E-06,1.310463E-07,2.965157E-05,1.153012E-06,9.714930E-05,7.178154E-06,6.837868E-07,1.001201E-09,9.477883E-07,6.187738E-08,1.884408E-06,1.258550E-05,1.085055E-06,1.006159E-07,6.307567E-08,6.685378E-06,1.639712E-05,6.337790E-07,4.033612E-06,6.568432E-07,5.482519E-08,1.131039E-07,2.653063E-08,9.416708E-07,1.243121E-08,3.796299E-06,2.340237E-05,1.963294E-08,2.014427E-09,8.155260E-06,1.390743E-06,2.693050E-05,1.378879E-06,2.599174E-07,2.705774E-08,4.965347E-05,2.830495E-05
5000,4.382974E-06,3.571438E-06,2.099632E-05,1.312824E-07,1.942852E-07,1.574299E-05,1.211345E-05,5.365175E-06,2.693384E-06,2.347335E-05,3.955993E-06,3.774344E-07,1.343724E-06,1.158345E-05,1.866262E-07,1.188113E-05,1.443078E-05,5.249519E-07,2.001478E-08,1.173011E-06,6.222018E-08,2.579894E-07,9.819183E-09,1.074009E-06,1.648106E-06,3.796112E-07,9.223623E-06,3.886832E-06,1.508739E-07,4.064018E-05,4.045828E-07,3.230142E-06,2.844708E-08,9.863861E-07,4.037345E-05,3.139294E-06,2.617613E-07,8.483145E-06,6.506095E-05,1.801089E-07,1.978115E-08,1.167990E-06,7.255033E-08,1.968713E-08,2.624777E-06,1.288903E-05,1.671554E-06,2.522562E-07,7.363904E-05,8.349345E-06,9.000390E-09,1.940530E-06,4.130578E-08,1.569117E-05,2.266812E-09,3.798852E-06,2.035440E-07,4.631418E-08,1.378698E-05,1.554809E-06,1.359559E-08,1.122076E-05,2.023608E-06,1.021131E-05,1.084985E-07,2.988663E-06,4.044737E-06,1.404617E-07,1.287344E-06,8.111788E-07,3.689807E-07,3.552269E-05,6.924774E-06,6.142794E-06,3.654594E-06,3.161538E-05,2.855672E-07,4.453066E-06,1.072374E-05,7.824782E-06,1.449214E-07,7.849121E-06,4.674371E-06,7.508015E-06,1.453714E-06,8.494534E-06,3.151386E-06,1.600435E-05,1.012764E-08,5.946898E-07,6.127640E-08,1.523218E-06,1.448227E-07,2.258255E-06,4.649452E-07,9.092248E-06,9.067272E-08,1.115596E-07,6.211079E-06,5.731843E-08,4.094337E-05,7.836572E-05,4.080956E-08,6.170763E-09,4.015448E-08,1.041406E-06,6.352087E-07,5.423467E-08,2.981126E-06,8.467979E-06,2.332049E-06,4.545876E-07,1.671032E-05,2.697315E-05,6.693746E-09,8.612077E-06,6.901789E-09,1.667191E-06,3.638272E-07,1.475470E-06
6000,2.676733E-06,3.462441E-07,1.393706E-06,1.762025E-06,3.516575E-08,7.414164E-05,1.068510E-05,8.789117E-09,9.591046E-06,3.383080E-06,7.480781E-07,1.772443E-07,1.100275E-06,2.861829E-07,1.542229E-06,1.441695E-05,8.354624E-06,1.603598E-08,4.836994E-09,7.008681E-09,1.337958E-06,6.382597E-07,7.354827E-07,9.033060E-08,2.038858E-06,3.330109E-06,1.212750E-05,2.747405E-05,1.801648E-06,3.890146E-05,4.394245E-06,3.077807E-05,4.818676E-06,7.190388E-06,2.116846E-05,1.580843E-06,4.794556E-09,1.753678E-05,4.503312E-06,6.935239E-06,7.901025E-06,8.461877E-09,2.158171E-07,4.355637E-07,9.817157E-06,3.423407E-05,4.248275E-07,6.232923E-09,5.014171E-06,5.444327E-06,2.507961E-06,1.451286E-06,1.819065E-07,2.656855E-08,2.087575E-09,1.286076E-06,8.345946E-07,7.524420E-07,1.834561E-05,2.895848E-05,1.917822E-09,1.466418E-05,5.753818E-07,3.583542E-05,1.633118E-05,1.379284E-07,1.782068E-06,1.304734E-08,1.696652E-06,1.479925E-05,3.392537E-09,1.048500E-07,6.814697E-06,2.938143E-05,1.864086E-05,5.240896E-06,1.352680E-08,1.488244E-04,2.409366E-06,1.518544E-06,7.349511E-07,8.984958E-06,7.931980E-06,5.441913E-07,2.087575E-09,1.256193E-07,1.288207E-05,1.160667E-05,1.141767E-06,1.823148E-06,3.236895E-07,1.194489E-06,1.001349E-09,1.537341E-06,2.613218E-08,1.560362E-05,1.464992E-06,1.917822E-09,2.581054E-06,2.336226E-06,1.845411E-05,2.066139E-05,5.875449E-06,5.857187E-07,2.639048E-07,5.298836E-08,1.824206E-06,1.084727E-05,2.122025E-06,1.302083E-06,9.362110E-06,3.192564E-08,2.678590E-05,4.150353E-06,3.286239E-05,1.198502E-06,1.167472E-07,1.028991E-05,9.048104E-07,3.560325E-05
7000,2.331535E-05,1.950077E-07,8.022518E-08,2.015486E-05,4.824461E-07,1.191703E-05,6.344281E-05,2.529764E-07,2.454899E-06,5.367452E-06,1.969582E-07,9.519637E-07,4.710418E-07,2.362692E-08,1.105168E-06,3.578414E-06,6.322154E-06,3.024338E-06,5.149261E-10,3.787926E-07,4.997685E-06,6.406851E-07,1.238923E-05,1.749811E-07,4.313944E-06,1.100793E-06,6.516087E-07,6.869276E-06,2.079404E-06,1.131064E-07,4.135711E-05,5.571050E-06,3.319281E-08,4.124451E-05,4.165868E-06,1.245740E-05,2.149439E-06,4.693184E-09,3.184216E-07,4.839137E-07,1.373478E-05,4.459165E-07,2.678273E-07,2.484517E-05,5.630514E-06,1.326209E-05,1.713398E-08,5.129994E-06,2.339867E-08,2.579647E-06,2.420930E-06,8.949210E-07,3.263002E-07,6.400020E-06,7.656701E-09,9.330007E-06,2.372322E-05,4.857136E-10,6.538686E-05,1.858058E-06,2.981821E-07,1.966228E-05,3.499438E-07,2.234523E-05,1.784770E-05,1.040038E-06,1.264211E-06,6.582573E-07,1.132296E-07,4.768898E-06,5.021838E-08,1.441846E-06,2.418860E-05,7.675135E-05,1.693113E-06,4.691263E-06,1.852898E-07,9.950287E-05,8.474801E-06,6.230564E-06,0.000000E+00,2.247292E-05,9.515613E-06,1.291574E-06,4.085884E-07,5.950179E-07,3.724106E-07,1.553757E-06,4.336716E-08,6.408496E-07,1.556084E-05,1.759086E-07,2.345003E-06,7.347521E-07,0.000000E+00,6.798989E-06,7.233077E-07,4.334622E-06,2.708953E-09,1.299741E-07,1.100563E-05,4.068040E-05,3.939146E-08,5.508205E-06,1.583177E-05,2.189656E-05,2.201545E-06,1.227161E-06,1.924483E-04,2.830056E-09,1.284941E-07,3.300280E-08,1.372650E-05,8.387321E-05,2.426914E-06,3.108567E-08,8.999284E-07,1.933126E-06,9.861613E-07,2.285162E-05
8000,1.699992E-06,1.989965E-06,8.996881E-06,2.422148E-05,8.523593E-07,2.521414E-06,1.523948E-05,2.928655E-07,1.542959E-08,2.941800E-06,8.322213E-07,2.569726E-07,2.668287E-07,0.000000E+00,1.961637E-06,2.986842E-05,8.360660E-08,1.255110E-07,3.017437E-09,4.094822E-07,5.307841E-07,2.429457E-05,3.451241E-07,3.569944E-07,3.220082E-06,3.519807E-05,1.526437E-06,5.338286E-06,3.451687E-05,2.712777E-07,5.134384E-06,1.304357E-05,3.893503E-06,1.973556E-06,6.362615E-06,4.269627E-06,5.255917E-10,3.323544E-06,6.960690E-06,8.493539E-09,2.532740E-06,9.477959E-07,3.065180E-06,1.050116E-06,1.012679E-05,4.246333E-05,5.978608E-07,3.088058E-06,3.246931E-08,2.779090E-07,4.432916E-07,1.044701E-06,3.177849E-07,8.952256E-07,2.957833E-07,3.102092E-06,3.147358E-05,2.216330E-08,1.843394E-05,4.497657E-06,4.917047E-10,5.580571E-06,4.425342E-09,3.670902E-05,2.441151E-05,5.941617E-08,2.542535E-09,1.887175E-06,2.034028E-08,3.583560E-05,2.384310E-06,1.687137E-06,1.350141E-04,2.645512E-05,1.201459E-05,5.220177E-06,2.678577E-07,1.259970E-05,3.673991E-06,4.838569E-06,1.136510E-07,1.532580E-05,4.625029E-06,3.017437E-09,3.231788E-06,3.976081E-06,3.185057E-07,2.081610E-05,5.620979E-06,4.301836E-07,6.566044E-05,1.947329E-05,2.056242E-05,1.881476E-08,9.716873E-08,5.838800E-07,1.460243E-06,1.872240E-06,1.418289E-07,9.745563E-06,1.115308E-05,1.025060E-04,1.224112E-06,9.099143E-06,1.866826E-08,2.448417E-05,4.000847E-09,1.971206E-05,6.452374E-07,8.207010E-06,1.326593E-06,8.260101E-08,4.619474E-05,7.265793E-07,2.652751E-06,5.113729E-08,1.177573E-05,4.917047E-10,4.745622E-07,1.406188E-05
9000,3.783758E-05,3.374022E-06,2.143520E-07,9.706275E-06,7.043242E-06,6.247212E-06,1.242834E-05,4.654900E-07,1.040676E-08,1.088132E-07,1.466953E-05,5.063575E-06,2.968922E-09,5.286703E-07,2.272814E-05,4.033141E-06,2.789418E-08,4.241277E-06,7.643118E-07,1.882606E-08,6.653787E-08,8.600577E-05,3.874987E-08,8.245013E-06,2.190617E-05,9.127908E-05,3.140406E-09,2.762187E-06,8.653450E-06,2.728631E-06,2.084022E-06,0.000000E+00,2.546778E-07,8.445607E-05,1.758977E-06,7.394748E-06,7.156085E-08,1.069396E-08,3.070445E-06,1.025491E-07,2.473232E-04,5.388601E-08,8.318364E-07,2.986090E-06,3.082385E-06,5.227315E-08,3.925874E-06,1.006825E-06,4.342854E-07,8.581102E-06,3.709681E-05,8.061569E-08,1.464626E-07,5.980410E-06,9.251985E-07,2.944843E-06,1.116266E-05,2.461775E-08,8.326801E-06,4.006398E-06,3.829313E-08,7.899550E-06,7.737825E-09,2.603292E-05,3.006486E-05,5.172330E-10,3.391558E-06,6.669747E-08,4.601058E-07,6.331475E-06,1.531468E-05,4.605234E-08,1.109203E-05,6.045024E-06,5.962962E-07,8.559152E-06,4.430969E-06,3.866142E-05,9.280693E-06,1.893407E-06,2.038811E-05,9.790118E-05,2.794579E-06,1.792734E-08,1.790773E-07,2.283289E-05,5.186514E-06,7.336909E-06,8.173841E-07,4.760284E-06,5.408981E-05,3.017663E-07,4.963900E-05,8.574774E-07,2.633724E-06,1.038213E-05,5.791753E-07,1.402481E-08,6.697003E-07,4.354508E-06,1.084782E-04,1.635572E-05,3.595824E-06,1.872853E-05,2.165449E-07,2.401294E-05,2.081350E-05,3.347558E-05,1.486316E-06,3.964214E-06,2.910226E-06,6.255520E-06,3.918488E-05,1.280786E-06,8.647351E-06,1.437511E-06,9.530104E-08,8.413029E-09,5.986130E-08,4.699938E-06
10000,1.288699E-05,1.205465E-06,6.239820E-06,2.464925E-05,1.006341E-06,2.707275E-05,4.041323E-06,2.616887E-07,6.094511E-05,9.787568E-09,1.465254E-05,2.941400E-06,2.162505E-06,3.871162E-06,1.267821E-05,7.093440E-09,4.709724E-07,1.942089E-09,1.114692E-06,2.362928E-07,1.102548E-07,3.783091E-06,1.326866E-06,1.486180E-09,2.938288E-06,8.361949E-06,9.194913E-07,1.121151E-05,1.927863E-05,7.862077E-07,0.000000E+00,1.072150E-06,4.177479E-07,2.592435E-06,8.933517E-06,1.564428E-06,6.101418E-07,1.429612E-07,2.414805E-05,1.727767E-07,1.471386E-05,1.012205E-06,2.286280E-07,3.049733E-05,6.849018E-08,2.437682E-06,4.860448E-07,2.643108E-06,2.161042E-07,1.495135E-07,4.055828E-05,1.361603E-07,1.661016E-07,9.152762E-07,0.000000E+00,2.299498E-08,2.447446E-06,2.469527E-06,4.092564E-06,1.264004E-05,1.638632E-06,0.000000E+00,6.851736E-06,8.373809E-05,1.084134E-05,3.059196E-08,1.121575E-06,6.516717E-07,2.575676E-09,2.279059E-05,1.425997E-05,3.523834E-08,2.306506E-05,1.139830E-05,1.165773E-06,9.023147E-05,3.516851E-08,1.891571E-05,7.647415E-06,1.080895E-05,6.124894E-07,1.597335E-06,2.273565E-06,3.296865E-08,4.221147E-08,9.416978E-06,5.875129E-06,6.601066E-07,1.256590E-06,2.587948E-06,9.875330E-06,4.751723E-05,1.854811E-08,3.554433E-08,3.973262E-07,7.834493E-06,6.411168E-06,2.541948E-07,3.029292E-07,5.100456E-07,6.118165E-05,1.927606E-05,4.383835E-06,1.210437E-05,2.469813E-06,8.233429E-06,5.252310E-07,2.511079E-05,4.684470E-06,6.341574E-05,3.333785E-06,6.339552E-06,2.993497E-05,1.170475E-07,2.962028E-06,5.898351E-07,5.712078E-08,2.546063E-09,1.593186E-06,4.901763E-06
