Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,2.010726E-05,2.505582E-05,5.769732E-03,9.096422E-05,2.707490E-03,5.598789E-04,1.000112E-05,7.285889E-04,1.775909E-03,1.917974E-03,8.591065E-05,1.839687E-04,5.947668E-05,1.484267E-05,7.036241E-04,6.053680E-05,6.376606E-04,6.964983E-05,3.958045E-05,2.324898E-03,5.855801E-03,1.583050E-03,4.619509E-04,2.340813E-04,3.478586E-03,2.914913E-03,7.701735E-03,3.646320E-04,1.736505E-04,2.292890E-03,2.161063E-04,2.096756E-04,1.749227E-04,3.537497E-05,5.558925E-05,5.999199E-03,9.083781E-04,3.167749E-03,4.538635E-03,3.234014E-03,1.368837E-03,1.179321E-03,2.218897E-03,1.646935E-04,9.230327E-04,3.571851E-03,1.754687E-04,1.204565E-03,3.582813E-03,1.010714E-05,8.523858E-05,2.089815E-04,1.516070E-05,4.944976E-04,8.992910E-05,8.398954E-04,1.767015E-03,3.463289E-05,4.947556E-06,1.968771E-04,2.393429E-04,4.021652E-05,1.785701E-03,9.096422E-05,3.456674E-03,9.083191E-04,2.258709E-03,2.353324E-04,1.010714E-05,6.431823E-05,5.433170E-03,1.328599E-02,0.000000E+00,3.241430E-03,5.373044E-04,7.550858E-04,2.627410E-03,3.484492E-05,6.852790E-04,1.803540E-03,2.245813E-03,4.205993E-04,3.721589E-03,0.000000E+00,7.482931E-04,7.426134E-04,9.313586E-04,8.304934E-03,2.526784E-05,4.425190E-03,4.998562E-05,3.100590E-03,1.350417E-03,2.968534E-05,1.516070E-04,7.636543E-03,4.588676E-04,3.564391E-03,4.011641E-04,4.482804E-05,1.010714E-05,2.990764E-03,3.175099E-03,3.022489E-03,0.000000E+00,6.809115E-04,4.968758E-05,2.342385E-03,3.064437E-03,2.895155E-04,1.516070E-05,1.287654E-03,1.464475E-04,1.750967E-04,1.417391E-03,1.524799E-03,4.021052E-05,2.807784E-03,7.484041E-05,3.010938E-05
2000,8.479598E-05,1.375837E-02,7.231353E-03,4.372064E-03,5.790027E-03,6.361479E-04,3.441223E-04,9.940421E-04,2.115709E-04,2.342365E-03,6.477657E-05,8.074900E-04,9.967694E-03,5.538191E-05,2.106089E-04,2.220415E-03,2.898289E-03,3.092852E-03,1.392118E-04,4.492277E-04,2.794137E-04,7.917069E-04,8.517331E-04,1.164703E-03,5.889468E-03,3.137391E-03,1.655173E-02,1.206221E-02,8.840284E-04,2.027351E-03,1.360346E-04,8.406203E-04,4.952629E-04,1.592168E-03,8.927090E-04,9.557867E-03,4.893945E-04,7.992315E-03,1.533756E-02,1.194451E-02,2.385948E-04,2.098408E-04,3.007812E-05,2.955443E-03,0.000000E+00,3.327977E-03,2.805492E-03,2.888594E-04,1.329475E-02,3.239049E-04,7.024986E-04,0.000000E+00,1.416814E-03,1.544917E-02,1.381517E-03,1.843670E-04,1.138845E-03,1.337137E-03,1.000071E-05,1.462045E-03,1.008471E-05,5.804954E-03,9.717586E-04,9.017436E-05,6.348687E-03,3.748203E-03,8.425975E-04,6.733066E-03,2.393679E-04,1.057195E-04,1.455152E-03,1.584498E-02,1.068694E-03,7.978443E-04,0.000000E+00,4.529720E-05,9.047158E-04,1.794067E-02,1.327681E-02,1.113447E-03,9.657761E-04,2.167171E-03,7.882844E-03,1.035156E-03,2.409010E-04,4.430243E-03,1.237097E-02,1.889890E-02,5.266772E-04,2.663666E-03,2.758731E-03,5.619098E-03,5.364634E-03,7.221570E-04,5.432938E-03,8.653600E-03,2.453472E-03,2.479175E-05,1.637114E-03,9.340526E-03,1.655769E-03,1.694289E-02,8.067769E-05,1.305902E-04,8.370251E-04,1.620258E-03,2.941268E-04,4.726934E-04,8.572005E-05,6.137313E-04,3.764056E-04,4.219888E-04,4.729934E-04,3.262627E-03,9.434266E-05,1.891033E-04,9.916700E-06,6.044843E-03,9.139385E-04,3.027715E-03
3000,3.010753E-03,1.516965E-02,1.075036E-02,7.246361E-03,6.765550E-04,1.012998E-02,5.929300E-03,2.193318E-03,3.335920E-04,1.254020E-04,5.903597E-03,3.039062E-03,9.637006E-04,3.508337E-03,1.707916E-03,1.478895E-03,5.709376E-03,2.457812E-03,2.539902E-03,6.925735E-04,1.503864E-04,9.865417E-04,1.806752E-03,1.485443E-05,9.475410E-05,1.557018E-03,1.333168E-02,3.264774E-03,8.324409E-04,3.297259E-03,1.503436E-03,4.531069E-03,1.060270E-03,1.590553E-04,8.191487E-04,1.624395E-02,1.713525E-04,1.971127E-02,1.518824E-02,2.262247E-04,2.047785E-03,2.180769E-04,6.971270E-05,3.933409E-03,9.868518E-04,1.287192E-02,5.365075E-04,8.049713E-04,2.456710E-02,2.001942E-04,8.076916E-04,2.974016E-03,2.291960E-04,1.329257E-03,8.912656E-05,4.169539E-03,8.699952E-03,2.495340E-05,1.905163E-04,1.548943E-02,6.544108E-04,5.323297E-03,3.239181E-04,6.187014E-04,1.664177E-02,5.819329E-03,0.000000E+00,9.699532E-03,2.077389E-03,4.951476E-06,1.653129E-04,2.221446E-02,9.355098E-04,7.313063E-03,5.367185E-04,8.426327E-03,4.485731E-05,1.374116E-02,2.308933E-02,1.379406E-03,4.456328E-05,4.239937E-03,4.117664E-03,5.373945E-03,0.000000E+00,4.802730E-03,1.476870E-02,1.773431E-02,9.976851E-03,7.381779E-04,6.466321E-05,3.371895E-03,1.181079E-03,1.033205E-03,5.941771E-05,8.907091E-03,8.385665E-04,3.147432E-04,1.080878E-02,1.986510E-03,7.100762E-03,4.834765E-03,2.009993E-05,1.009897E-05,2.598147E-03,1.250733E-02,1.696663E-04,4.951476E-06,6.334506E-03,4.488011E-04,8.575024E-04,6.306776E-04,2.568768E-03,2.388967E-03,1.577217E-03,1.403754E-03,8.942059E-05,1.477143E-02,1.657883E-03,1.114382E-02
4000,2.096661E-04,8.986772E-03,1.365490E-02,5.394786E-03,5.232882E-04,9.675729E-03,3.144053E-03,1.946221E-03,1.396139E-03,1.499101E-05,2.217465E-03,3.001801E-05,4.590882E-04,9.994004E-06,4.878462E-04,1.100722E-02,1.634984E-02,1.550871E-04,1.877062E-03,6.508212E-03,4.095541E-04,1.149150E-04,2.397500E-03,1.159722E-03,1.000000E-05,4.134251E-04,4.923431E-03,9.933311E-03,1.248710E-04,2.349760E-03,9.702253E-04,1.124016E-02,0.000000E+00,7.527691E-03,7.166235E-03,1.939466E-02,2.751351E-04,1.695986E-02,1.959217E-02,3.498501E-05,3.468264E-03,3.326432E-03,1.249310E-04,1.741452E-03,1.600241E-04,9.667525E-03,7.494303E-05,2.026298E-03,2.367186E-02,4.169109E-03,7.503903E-05,5.122573E-03,4.914406E-03,2.868134E-03,7.019273E-04,3.336013E-03,4.014114E-03,2.748651E-04,7.103354E-03,1.225910E-02,4.431045E-03,6.334195E-03,6.150220E-03,1.646129E-02,8.644806E-03,9.914726E-03,1.739751E-03,2.046951E-04,1.697181E-04,3.052419E-03,4.233472E-04,2.732062E-02,7.766624E-03,2.274110E-02,6.880062E-04,1.589249E-02,3.877833E-03,2.178582E-02,2.029371E-02,2.000901E-04,5.502702E-05,1.321297E-02,8.087094E-03,5.466964E-03,4.593112E-04,1.166482E-02,4.108659E-03,2.505326E-02,1.682622E-02,7.415796E-03,1.000600E-05,4.464117E-03,4.535092E-04,1.808298E-03,5.130676E-03,6.796173E-03,8.503903E-05,7.004203E-05,1.366747E-02,7.271655E-03,8.766386E-03,1.788060E-02,1.001258E-03,2.695081E-04,3.339791E-04,5.502702E-05,8.411443E-04,1.847091E-04,7.800193E-03,8.736276E-03,4.379537E-03,5.997102E-05,2.595828E-02,7.467918E-03,7.457175E-03,5.391289E-03,2.649591E-04,1.698431E-04,1.415257E-02,3.562293E-02
5000,1.252926E-02,6.610398E-03,1.796191E-02,2.197341E-03,1.202677E-04,3.068908E-02,5.147733E-03,3.403510E-03,3.482836E-03,4.823059E-03,1.638593E-02,2.043396E-03,1.961152E-03,2.410284E-03,3.315850E-03,1.816225E-02,1.706437E-02,2.709539E-04,4.282802E-04,8.179798E-04,2.490023E-03,4.395993E-04,8.984730E-05,2.698953E-03,7.517879E-04,1.246161E-02,6.831121E-03,3.600910E-03,8.045876E-04,1.297551E-02,7.568639E-03,7.008882E-03,7.648350E-04,1.506900E-03,1.198120E-02,8.171953E-03,1.082494E-03,1.476395E-02,1.467563E-02,3.642983E-04,8.990130E-05,9.164752E-04,6.022887E-05,2.218367E-03,2.123696E-03,2.328395E-02,2.017444E-03,2.193312E-04,1.529208E-02,4.373469E-03,3.000043E-05,3.807755E-04,5.015272E-05,6.327445E-03,1.697525E-04,2.197480E-03,1.104196E-04,1.102096E-04,8.034334E-03,1.103236E-02,3.509551E-05,1.529457E-02,8.993026E-03,1.645174E-02,1.675980E-02,1.408640E-02,4.082005E-03,2.183726E-03,3.727793E-03,2.595100E-03,6.098338E-04,7.107347E-03,1.112205E-02,6.873974E-03,1.001683E-02,1.922621E-02,7.926114E-04,2.472472E-02,1.361183E-02,1.253766E-02,1.499293E-03,7.014686E-03,2.016079E-02,7.560169E-03,3.096023E-03,9.880685E-03,6.207717E-03,1.856856E-02,5.712068E-03,3.300588E-04,4.503286E-03,5.881215E-03,4.786629E-04,2.571745E-03,8.526553E-04,2.019280E-02,9.026730E-05,1.853627E-04,1.145401E-02,6.856389E-04,1.435430E-02,2.424343E-02,4.517165E-05,6.705127E-04,1.297139E-04,1.482246E-03,2.196830E-03,3.394049E-04,1.037315E-02,4.533965E-03,1.544964E-03,6.530764E-04,3.434492E-02,1.456388E-02,1.475937E-02,2.562707E-03,4.987672E-05,1.960866E-03,5.680511E-03,3.307486E-02
6000,2.501393E-02,2.185199E-03,2.414288E-03,3.030359E-03,2.567144E-03,2.914696E-02,1.139638E-02,3.533188E-05,5.819071E-03,6.947490E-03,1.426724E-02,1.164303E-04,6.352265E-04,3.875110E-03,1.012742E-02,1.665029E-02,1.034241E-02,8.001996E-05,1.979690E-05,3.735239E-04,1.771099E-03,3.087188E-04,4.693439E-04,3.042547E-04,1.187021E-03,4.473291E-03,4.970106E-03,9.558756E-03,4.320602E-04,6.345906E-03,1.236205E-02,7.730654E-03,9.401325E-04,2.516926E-02,1.711204E-02,2.181019E-02,1.958480E-05,1.237156E-02,2.840100E-02,3.258471E-03,8.189099E-03,3.656007E-03,4.579326E-03,1.328078E-03,6.465413E-03,1.841090E-02,6.429099E-04,2.448100E-05,2.043754E-03,2.030000E-03,2.167866E-03,4.412375E-03,3.969744E-04,1.298473E-02,1.021659E-05,3.475334E-03,1.318181E-03,3.587018E-03,1.640036E-02,7.779549E-03,9.792401E-06,1.567532E-02,5.746241E-03,3.470060E-02,2.367257E-02,5.844985E-03,1.098387E-03,2.554148E-05,1.305914E-03,7.581085E-03,1.551777E-04,2.247190E-04,2.362957E-02,2.597066E-02,4.967622E-03,1.068888E-02,3.043768E-05,2.952325E-02,5.828698E-03,1.210664E-02,1.341090E-03,8.789967E-03,1.993923E-02,2.245901E-03,1.021659E-05,1.013175E-04,1.293345E-02,1.974290E-02,7.214132E-04,4.392834E-04,1.066945E-02,2.647150E-04,1.000450E-05,7.485874E-04,1.965690E-03,1.633918E-02,9.317808E-04,9.792401E-06,5.539270E-03,2.239070E-03,1.691531E-02,3.086047E-02,3.216737E-03,8.155585E-04,1.834504E-04,6.861884E-04,6.272461E-03,3.826042E-03,2.786570E-02,5.469653E-03,5.407479E-03,4.230171E-04,3.284082E-02,4.259676E-03,1.209560E-02,2.759764E-03,2.724394E-04,5.911751E-03,6.390332E-04,1.987714E-02
7000,2.430729E-02,2.558815E-04,1.139853E-04,1.396886E-02,9.745637E-04,2.291966E-02,2.258962E-02,1.519665E-03,3.466096E-03,6.989371E-03,7.081177E-03,5.361363E-04,5.932445E-04,8.519716E-05,8.761207E-03,2.348547E-02,3.623109E-03,6.009227E-03,5.074082E-06,5.194737E-04,3.714616E-03,9.487632E-04,6.176692E-03,1.130948E-03,1.874890E-03,4.071238E-04,4.104675E-03,1.166236E-02,3.562067E-03,1.808771E-03,9.680736E-03,1.276367E-02,5.058578E-05,1.881113E-02,9.967887E-03,1.808064E-02,1.655281E-03,2.396911E-04,2.403117E-02,2.331157E-04,1.149974E-02,7.181251E-04,3.624022E-03,1.316828E-02,4.412743E-03,2.083819E-02,1.855197E-03,6.695382E-03,5.448261E-05,2.087128E-03,9.610974E-03,2.108929E-03,1.532790E-03,6.812466E-03,2.970933E-05,5.052525E-03,2.101954E-02,4.928050E-06,2.500230E-02,1.798138E-02,2.841336E-04,2.801743E-02,3.056832E-04,2.461259E-02,2.307277E-02,1.626589E-03,9.589854E-04,1.468245E-03,1.413008E-03,1.703710E-02,1.689980E-04,3.427308E-03,2.285937E-02,3.789386E-02,1.568425E-02,8.606243E-03,8.026291E-04,3.591770E-02,8.495497E-03,1.255534E-02,0.000000E+00,1.552878E-02,2.739422E-02,2.959467E-03,1.619325E-04,1.135883E-03,1.415526E-02,2.343356E-02,9.538533E-05,3.375129E-04,2.249807E-02,1.191494E-04,6.402542E-03,1.404889E-03,0.000000E+00,1.002239E-02,4.833246E-03,4.013821E-03,1.799124E-04,8.348500E-04,2.128536E-02,4.184683E-02,2.837245E-04,1.300094E-03,2.767138E-03,4.900830E-03,1.527876E-03,3.843767E-03,2.181620E-02,3.985450E-05,5.972473E-04,5.523077E-05,3.411923E-02,1.345530E-02,8.085951E-03,3.942440E-05,4.476974E-03,1.434030E-03,1.578557E-03,2.211852E-02
8000,2.549671E-02,1.720375E-03,3.638827E-03,8.211494E-03,4.698572E-04,1.605674E-02,7.369526E-03,3.610755E-04,1.000461E-04,3.835948E-03,1.293571E-02,5.096580E-04,6.105371E-04,0.000000E+00,1.993755E-02,1.902382E-02,6.950090E-05,4.281222E-04,2.000141E-05,1.685374E-03,1.034955E-03,9.066530E-03,1.560050E-04,1.885013E-04,2.079377E-03,9.265546E-03,1.184486E-03,1.636212E-02,3.006953E-02,1.692559E-04,5.034953E-03,2.866118E-03,3.603520E-03,2.334523E-02,2.464872E-02,2.596011E-02,1.504106E-05,1.134063E-02,2.048511E-02,4.504418E-05,8.865038E-03,8.686573E-04,4.213913E-03,1.286198E-02,7.504121E-03,2.152809E-02,2.440252E-04,1.651891E-02,4.966750E-05,5.765397E-03,3.160343E-04,5.048856E-04,6.529661E-04,7.234370E-04,1.639616E-04,1.600177E-03,2.720099E-02,1.248828E-04,2.980860E-02,2.102394E-02,4.958350E-06,8.004080E-03,1.487505E-05,5.921830E-02,1.721058E-02,1.315821E-03,1.512707E-05,1.784364E-03,4.033885E-05,2.475399E-02,1.732376E-03,2.904941E-03,2.170929E-02,2.772120E-02,5.693322E-03,1.740191E-02,1.142058E-03,4.386840E-02,1.275520E-02,3.674849E-03,9.437666E-05,8.665545E-03,2.291904E-02,2.000141E-05,3.694045E-03,6.237563E-03,1.139615E-02,2.514301E-02,1.542432E-02,3.335911E-03,3.100003E-02,7.332818E-03,1.003970E-02,3.529649E-05,2.192175E-04,2.028086E-02,3.908974E-03,2.737873E-03,2.251079E-04,7.784576E-03,2.527821E-02,4.275007E-02,6.463496E-04,5.459437E-03,4.966550E-05,1.622032E-02,2.000141E-05,6.609904E-03,2.296010E-02,4.634705E-03,1.465141E-03,1.053014E-04,3.801999E-02,4.032605E-04,1.298575E-03,5.950020E-05,3.631167E-03,4.958350E-06,1.637936E-04,1.273980E-02
9000,2.445711E-02,6.528891E-03,3.214997E-04,3.262873E-03,2.869297E-03,2.048988E-02,1.069542E-02,7.423655E-04,2.172476E-03,7.376082E-05,2.202710E-02,3.353516E-03,2.000565E-05,3.912744E-04,7.462080E-03,5.291628E-03,6.575656E-05,6.500195E-04,3.181088E-04,4.050843E-05,1.098430E-04,1.770955E-02,2.025966E-03,4.093571E-03,4.078771E-03,1.418036E-02,4.017334E-05,2.216485E-02,1.099279E-02,2.137799E-03,6.881278E-03,0.000000E+00,1.839028E-03,2.362024E-02,2.356908E-02,2.779950E-02,1.191726E-04,3.127659E-03,1.988054E-02,1.531681E-03,1.758470E-02,1.838159E-04,3.283705E-03,1.339063E-02,2.662500E-03,2.479140E-02,3.138306E-03,2.060070E-02,2.163651E-04,5.994454E-03,5.741008E-03,4.854658E-03,1.665434E-03,7.081114E-03,2.229656E-03,2.273823E-03,3.385488E-02,5.984889E-05,3.609718E-02,2.067840E-02,3.928589E-04,2.053845E-03,1.966955E-05,7.190619E-02,1.152507E-02,5.085435E-06,1.835256E-03,8.633707E-04,8.421797E-04,2.609304E-02,1.003846E-02,8.051673E-05,1.241784E-02,3.495704E-02,1.917781E-04,1.995446E-02,1.847723E-02,4.303878E-02,1.804444E-02,4.212449E-03,2.710832E-03,1.906864E-02,2.220310E-02,3.458976E-05,6.244422E-04,7.927428E-03,1.284096E-02,1.169219E-02,1.271556E-02,2.037459E-03,3.097342E-02,1.238410E-02,1.224117E-02,4.341341E-03,2.809123E-03,2.197506E-02,1.895395E-02,4.425649E-05,7.669765E-04,2.511013E-03,3.288028E-02,1.907737E-02,4.026896E-03,9.872416E-03,3.770104E-04,3.361302E-02,3.015629E-03,1.016450E-02,1.467797E-02,1.687200E-02,9.967966E-03,1.135520E-02,3.722545E-02,1.963864E-03,7.352515E-03,2.491140E-03,2.028052E-04,3.033956E-05,8.424178E-05,1.213175E-02
10000,2.607550E-02,1.119332E-02,1.707962E-03,1.771661E-02,1.826951E-03,2.351700E-02,7.390678E-03,1.827040E-04,1.810010E-02,3.552578E-05,2.214997E-02,2.164254E-03,7.505124E-04,2.055280E-03,5.505646E-03,3.015461E-05,8.066747E-04,9.854158E-06,1.438106E-03,2.629516E-04,4.842861E-04,3.326776E-02,8.711858E-04,1.492927E-05,1.699900E-02,2.337523E-02,1.647763E-03,2.511975E-02,1.073016E-02,1.147603E-02,0.000000E+00,2.882313E-03,2.858296E-03,1.676000E-02,1.217460E-02,2.082277E-02,3.380704E-03,4.548736E-04,2.249473E-02,3.187938E-04,8.999744E-03,2.066453E-03,3.455474E-03,1.675010E-02,6.774304E-04,2.502686E-02,2.821778E-04,2.531270E-02,1.203380E-03,2.323319E-03,1.388224E-02,4.482694E-03,1.742922E-04,4.883550E-03,0.000000E+00,8.573798E-04,2.294802E-02,7.424096E-04,2.507596E-02,1.173881E-02,4.270307E-03,0.000000E+00,6.659683E-03,4.794273E-02,7.088845E-03,9.998590E-05,2.103463E-03,1.091041E-03,1.522533E-05,3.337568E-02,1.357232E-02,2.039787E-04,1.348065E-02,5.483811E-02,4.010999E-04,1.244011E-02,6.691352E-03,3.124750E-02,6.539054E-03,9.898696E-03,1.372605E-03,1.179043E-02,2.765488E-02,4.060089E-05,5.060308E-05,6.179077E-03,9.923042E-03,2.379041E-04,1.148078E-02,1.897136E-03,2.722003E-02,2.965140E-02,4.778307E-04,5.582623E-05,5.360818E-03,4.484614E-02,9.949988E-03,7.041662E-04,4.661381E-04,1.065941E-03,3.346121E-02,3.474623E-02,1.497359E-03,1.348534E-02,1.548733E-03,1.778895E-02,2.701963E-03,1.199270E-02,1.414989E-02,1.753417E-02,1.455429E-02,4.844230E-03,2.564625E-02,1.041928E-04,1.014524E-02,7.868604E-04,7.583061E-05,1.507730E-05,4.875808E-04,2.037785E-02
