Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,5.108208E-05,5.022577E-05,2.254172E-04,7.382305E-04,3.147319E-04,3.441176E-04,5.001374E-05,8.194044E-04,2.053527E-04,9.101811E-04,7.726628E-04,2.337386E-04,4.164382E-04,1.468754E-04,7.747241E-04,4.341143E-04,1.977677E-04,1.223895E-04,3.060401E-04,1.535927E-04,3.125855E-03,4.470584E-04,1.401132E-03,7.790179E-04,2.654588E-04,2.450179E-04,1.390797E-04,7.206700E-05,5.211913E-04,2.252078E-05,4.375549E-04,1.656664E-04,9.608600E-05,3.576247E-04,3.947948E-04,2.779150E-06,1.067611E-03,1.134822E-03,6.724482E-05,2.108605E-03,9.465966E-04,3.868509E-04,2.071983E-04,6.416763E-07,1.567417E-04,2.636706E-05,2.965234E-04,6.225652E-04,1.793482E-03,5.107391E-05,2.108634E-05,2.002753E-04,1.532371E-04,6.589560E-04,1.012265E-07,1.635131E-04,2.099832E-05,3.427778E-04,4.895357E-05,1.086531E-03,3.910312E-05,2.543603E-04,1.362777E-04,6.018615E-04,3.189374E-05,1.044968E-04,4.928938E-04,2.514608E-04,1.021529E-04,6.367784E-04,1.017041E-04,1.880191E-04,NA,1.574957E-03,1.917787E-05,6.831041E-04,3.534604E-05,1.201074E-04,4.317515E-07,3.706112E-04,2.380855E-04,4.468704E-04,3.783773E-04,NA,1.141627E-03,1.011324E-03,1.970442E-04,1.068377E-03,1.736721E-04,2.064149E-04,9.202874E-06,3.502666E-04,9.676250E-04,1.468754E-04,7.700552E-04,3.386014E-04,1.822557E-04,2.855735E-04,6.929014E-04,4.689693E-05,1.021529E-04,7.731452E-05,3.847956E-05,1.220853E-03,NA,4.141938E-05,2.060620E-04,1.003967E-03,1.467874E-04,1.440755E-05,5.107391E-05,7.044743E-04,1.034729E-03,7.776143E-05,5.345786E-03,7.352361E-05,1.671111E-04,1.545951E-04,1.209304E-04,1.688525E-04
2000,2.484667E-04,5.763727E-04,5.263550E-04,8.087642E-04,6.035879E-04,1.075156E-04,4.102858E-04,3.146049E-04,8.327952E-04,1.096242E-03,1.914451E-04,5.436161E-04,6.476375E-05,1.431639E-04,4.640808E-04,7.605477E-04,1.071855E-04,1.350419E-04,3.920221E-04,2.598744E-04,1.333909E-05,6.931726E-05,3.488600E-04,4.395426E-05,7.215008E-05,3.921510E-05,1.019400E-04,4.947995E-04,2.515345E-04,1.228318E-03,1.089494E-03,4.241395E-04,5.039865E-04,1.484505E-03,1.464025E-03,1.268715E-03,4.211047E-04,1.594362E-05,1.243273E-03,6.790867E-04,4.134948E-04,2.118144E-05,3.504749E-05,1.052679E-03,NA,9.427713E-06,4.152478E-04,4.880200E-05,2.966385E-04,3.205973E-06,1.666726E-04,NA,1.970233E-03,9.579199E-05,1.204918E-04,2.470012E-04,1.089658E-04,8.843602E-05,5.000956E-05,8.321992E-05,1.017044E-04,1.377078E-03,9.919369E-04,2.628967E-04,1.627175E-05,1.222524E-05,1.788276E-03,1.668787E-03,7.669542E-04,7.873853E-04,2.777269E-04,1.919979E-04,5.358402E-05,2.103475E-03,NA,3.671751E-04,2.525332E-04,2.438588E-04,3.599717E-04,4.712736E-04,1.031573E-03,6.597094E-04,5.975585E-04,1.853933E-04,9.806116E-04,2.128625E-05,1.906952E-05,6.652256E-05,1.744178E-04,5.204391E-04,4.768459E-04,4.060565E-05,5.384516E-06,3.591615E-03,1.498700E-04,4.914243E-04,1.787248E-03,1.278508E-04,5.416460E-04,4.296177E-04,9.257876E-04,1.164761E-03,7.187231E-04,4.688926E-04,1.659211E-04,1.188725E-03,3.709742E-04,2.639383E-03,5.356722E-04,1.030000E-04,7.592858E-04,8.222095E-04,1.777875E-05,4.412561E-04,5.801643E-04,3.326018E-04,9.834383E-05,1.443866E-03,1.735608E-04,5.649899E-04
3000,2.545194E-04,1.035131E-04,1.415584E-04,6.461722E-06,7.896916E-05,2.447042E-04,3.218495E-06,4.776031E-04,1.151485E-03,4.525057E-04,9.437186E-05,7.852547E-04,4.175028E-04,1.640220E-03,1.757983E-03,1.298435E-03,6.972635E-04,6.330393E-05,3.746948E-04,3.905313E-04,5.968305E-04,1.457111E-04,2.725340E-04,8.172266E-05,1.542600E-04,1.452647E-04,2.897592E-05,4.961755E-04,1.070983E-03,5.212039E-04,1.064630E-03,8.144812E-04,2.060403E-03,3.001033E-04,4.015881E-04,1.425997E-04,3.769502E-04,1.952817E-03,4.976216E-04,7.145237E-04,3.966520E-04,1.696147E-03,2.965062E-04,2.584104E-04,3.195997E-04,4.584815E-04,8.001415E-05,7.236971E-05,2.334869E-04,7.096469E-05,1.093025E-03,4.060262E-04,1.865969E-04,9.553648E-04,8.833262E-04,1.734739E-04,7.306468E-04,8.982935E-05,2.936656E-04,1.631588E-04,9.989749E-04,1.039000E-03,1.977194E-05,4.081015E-04,1.047352E-03,4.805871E-04,NA,1.985536E-04,6.027666E-05,4.903196E-05,1.946116E-04,6.735936E-05,5.289686E-04,6.267466E-04,1.884237E-04,7.197503E-04,2.471695E-04,1.044911E-04,4.867756E-04,2.353734E-04,4.414643E-04,8.520643E-05,4.153555E-04,4.645133E-04,NA,8.419819E-06,8.241762E-05,4.927118E-04,8.402384E-04,1.939399E-03,2.541131E-04,3.315547E-03,9.596578E-05,7.960552E-04,5.887074E-04,2.455548E-05,8.826041E-04,3.831994E-05,1.055089E-04,2.829903E-03,1.314846E-04,6.130618E-04,1.270001E-04,5.099225E-05,4.227060E-04,1.908840E-04,2.602468E-05,4.903196E-05,1.477531E-03,3.923546E-04,1.229803E-03,4.544080E-04,1.432121E-04,1.464518E-04,3.430506E-04,2.862170E-03,5.624174E-04,3.988843E-04,3.592338E-04,8.204320E-04
4000,6.880341E-04,9.391844E-04,1.187379E-03,5.565495E-05,1.518130E-04,5.765662E-04,6.817283E-05,3.965815E-04,1.538731E-04,1.498426E-04,2.907801E-04,2.169738E-04,4.062795E-04,9.989006E-05,7.380733E-04,3.605394E-04,2.061470E-04,1.457084E-03,2.854832E-04,7.730170E-04,1.206400E-03,9.585387E-04,2.796283E-04,1.460485E-03,5.000254E-05,2.195225E-04,1.333742E-03,1.830717E-04,2.096703E-04,1.329353E-04,1.009521E-04,1.068778E-03,NA,1.153296E-05,8.086155E-05,1.472519E-04,1.642005E-03,7.657655E-05,2.434659E-04,3.564461E-05,6.991680E-04,1.323195E-03,1.061859E-03,1.753453E-03,4.475287E-04,3.645227E-05,3.363239E-04,2.933834E-04,1.176755E-03,3.599938E-04,5.710019E-04,3.972011E-04,6.714748E-04,2.062971E-04,3.298428E-04,1.367187E-04,2.052860E-03,6.279622E-04,4.534756E-04,6.355971E-04,9.628156E-05,9.512341E-04,2.199900E-04,3.882628E-04,7.053538E-05,6.757426E-04,3.344295E-04,7.899502E-05,6.013190E-06,3.666580E-05,7.448019E-05,3.360716E-04,1.610288E-04,2.435536E-04,2.868317E-04,4.649975E-05,2.060152E-04,7.255441E-04,5.279892E-04,5.910061E-04,4.598423E-04,9.985621E-05,2.476656E-04,1.074999E-04,1.426867E-04,1.272538E-03,1.403347E-04,1.942632E-03,2.133508E-04,4.610607E-05,5.006254E-05,1.061704E-04,6.823385E-05,5.212705E-04,1.227848E-03,7.983318E-05,5.922082E-04,4.507432E-04,2.446321E-04,1.128843E-03,3.614906E-05,1.128066E-04,3.280921E-04,1.017102E-04,1.693791E-04,2.412456E-04,5.600559E-04,3.364809E-05,2.433969E-04,1.341083E-03,2.241432E-06,1.679697E-05,1.571076E-04,9.312252E-05,1.809083E-03,1.278939E-04,4.909320E-04,7.965863E-05,1.757377E-03,3.974357E-04
5000,1.749136E-04,2.701592E-04,5.849090E-04,2.987249E-05,8.101615E-04,2.565557E-04,1.178579E-03,7.891118E-04,3.867052E-04,2.440123E-03,1.207178E-04,9.235143E-05,3.425592E-04,2.413067E-03,2.814481E-05,3.271287E-04,4.229079E-04,9.730579E-04,2.337317E-05,7.180671E-04,1.249268E-05,2.938026E-04,5.457752E-05,1.989685E-04,1.098612E-03,1.523149E-05,6.757704E-04,5.397554E-04,9.378455E-05,1.568334E-03,2.672935E-05,2.304383E-04,1.860090E-05,3.271684E-04,1.688084E-03,1.920909E-04,1.209303E-04,2.873467E-04,2.220835E-03,2.473758E-04,1.099352E-04,6.374684E-04,6.049404E-04,4.437029E-06,6.188522E-04,2.768405E-04,4.141415E-04,5.739992E-04,2.414614E-03,9.550157E-04,1.500268E-04,2.562527E-03,4.132213E-04,1.242026E-03,6.678350E-06,8.645021E-04,9.260369E-04,2.105983E-04,8.583539E-04,7.047353E-05,1.942573E-04,3.670316E-04,1.125337E-04,3.103761E-04,3.236785E-06,1.060925E-04,4.954908E-04,3.216382E-05,1.726759E-04,1.562738E-04,3.030312E-04,2.507460E-03,3.114474E-04,4.468744E-04,1.824629E-04,8.227742E-04,1.802399E-04,9.006199E-05,3.941195E-04,3.121012E-04,4.831891E-05,5.596277E-04,1.159378E-04,4.966790E-04,2.349250E-04,4.300756E-04,2.539257E-04,4.311809E-04,8.864863E-07,9.025267E-04,6.803450E-06,1.294999E-04,1.513497E-04,4.393394E-04,2.728345E-04,2.252071E-04,5.039820E-04,3.017239E-04,2.711933E-04,4.181477E-05,1.427791E-03,1.618709E-03,4.536372E-04,4.601932E-06,1.546242E-04,3.511281E-04,1.445513E-04,7.992096E-05,1.437298E-04,9.348334E-04,7.552495E-04,3.480663E-04,2.433259E-04,9.270505E-04,2.267597E-07,1.684542E-03,6.903553E-05,4.256356E-04,3.202128E-05,2.230493E-05
6000,5.349467E-05,7.930363E-05,2.878820E-04,2.899653E-04,6.848924E-06,1.273803E-03,4.680964E-04,1.255248E-04,8.227576E-04,2.436545E-04,2.621415E-05,7.708525E-04,8.616540E-04,3.688940E-05,7.606822E-05,4.327460E-04,4.038501E-04,1.002099E-04,1.208856E-04,9.374023E-06,3.765018E-04,1.030579E-03,7.759373E-04,1.482111E-04,8.542382E-04,3.726518E-04,1.226367E-03,1.434843E-03,2.125148E-03,3.083281E-03,1.777677E-04,1.987130E-03,2.596754E-03,1.427594E-04,6.183816E-04,3.621693E-05,1.198250E-04,7.104555E-04,7.928021E-05,1.061116E-03,4.815994E-04,1.156865E-06,2.355282E-05,1.636400E-04,7.578647E-04,9.294473E-04,3.283548E-04,1.246186E-04,1.234926E-03,1.335256E-03,5.798161E-04,1.644858E-04,2.308268E-04,1.022692E-06,1.043423E-04,1.847151E-04,3.152122E-04,1.049624E-04,5.589384E-04,1.869000E-03,9.585761E-05,4.669794E-04,5.007255E-05,5.165308E-04,3.451052E-04,1.179083E-05,8.070690E-04,2.608948E-04,6.515836E-04,9.750793E-04,1.095368E-05,2.332386E-04,1.441771E-04,5.654461E-04,1.886324E-03,2.451161E-04,2.253942E-04,2.525329E-03,2.064639E-04,6.264375E-05,2.750948E-04,5.102887E-04,1.989002E-04,1.209383E-04,1.043423E-04,6.281941E-04,4.986472E-04,2.940221E-04,7.963584E-04,2.100116E-03,1.515978E-05,2.217008E-03,5.004747E-05,1.041104E-03,6.640465E-06,4.778238E-04,7.819376E-04,9.585761E-05,2.332795E-04,5.201826E-04,5.457773E-04,3.347243E-04,9.172595E-04,3.584753E-04,7.333505E-04,3.863535E-05,1.453719E-04,1.423761E-03,3.807014E-05,1.188634E-04,8.689289E-04,3.759597E-05,4.079123E-04,4.878295E-04,1.361783E-03,2.167036E-04,2.125763E-04,8.687846E-04,7.030051E-04,8.977884E-04
7000,4.796722E-04,3.832639E-04,3.491323E-04,7.221577E-04,2.474348E-04,2.600232E-04,1.404347E-03,8.313639E-05,3.539638E-04,3.835816E-04,1.390759E-05,8.940184E-04,3.971204E-04,1.390361E-04,6.308664E-05,7.616774E-05,8.714545E-04,2.513643E-04,5.148421E-05,3.660495E-04,6.715910E-04,3.385993E-04,1.001459E-03,7.723389E-05,1.155954E-03,1.346080E-03,7.933022E-05,2.943644E-04,2.923497E-04,3.124859E-05,2.143820E-03,2.182287E-04,3.320233E-04,1.097864E-03,2.088523E-04,3.444254E-04,6.507572E-04,9.796139E-06,6.624145E-06,1.052838E-03,5.981314E-04,3.116345E-04,3.694240E-05,9.435558E-04,6.368227E-04,3.181546E-04,4.618199E-06,3.828214E-04,2.127869E-04,6.202567E-04,1.259904E-04,2.119323E-04,1.065542E-04,4.703024E-04,1.276228E-04,9.220291E-04,5.639859E-04,4.856344E-05,1.309114E-03,5.166821E-05,5.235215E-04,3.508673E-04,5.744984E-04,4.538678E-04,3.867789E-04,3.192071E-04,6.575473E-04,2.248565E-04,4.010933E-05,1.399732E-04,1.478340E-04,2.099507E-04,5.294584E-04,1.012867E-03,5.395696E-05,2.727056E-04,1.150655E-04,1.386142E-03,4.994496E-04,2.481819E-04,NA,7.244152E-04,1.736836E-04,2.179955E-04,1.278152E-03,2.611065E-04,1.315298E-05,3.314398E-05,2.282518E-04,9.587415E-04,3.458980E-04,7.333461E-04,1.829408E-04,2.624572E-04,NA,3.390591E-04,7.484997E-05,5.392575E-04,7.534715E-06,7.784855E-05,2.584876E-04,4.861534E-04,6.919246E-05,2.133518E-03,2.856050E-03,2.237776E-03,7.243282E-04,1.597797E-04,4.425969E-03,3.537657E-05,1.075849E-04,3.000501E-04,2.011072E-04,3.119619E-03,1.500701E-04,3.886435E-04,1.004585E-04,6.730103E-04,3.116521E-04,5.168410E-04
8000,3.333900E-05,5.792111E-04,1.240452E-03,1.475622E-03,9.083537E-04,7.849688E-05,1.035722E-03,4.072238E-04,7.718301E-05,3.838600E-04,3.216972E-05,2.527463E-04,2.181963E-04,NA,4.919011E-05,7.858873E-04,5.975106E-04,1.464050E-04,7.543627E-05,1.216024E-04,2.565363E-04,1.342004E-03,1.114845E-03,9.402909E-04,7.756740E-04,1.904709E-03,6.433759E-04,1.631343E-04,5.739259E-04,7.984651E-04,5.101686E-04,2.275858E-03,5.402425E-04,4.226645E-05,1.290736E-04,8.222528E-05,1.752111E-05,1.465701E-04,1.698891E-04,9.437701E-05,1.428334E-04,5.474781E-04,3.639471E-04,4.081208E-05,6.746989E-04,9.873388E-04,1.221677E-03,9.349738E-05,3.247774E-04,2.409666E-05,7.045355E-04,1.038311E-03,2.433853E-04,6.197158E-04,8.970668E-04,9.684923E-04,5.787829E-04,8.871418E-05,3.093037E-04,1.069620E-04,4.916946E-05,3.488741E-04,1.475231E-04,3.099845E-04,7.094399E-04,2.258229E-05,8.475226E-05,5.283387E-04,2.542992E-04,7.242753E-04,6.874593E-04,2.905849E-04,3.120470E-03,4.772847E-04,1.057270E-03,1.500202E-04,1.174249E-04,1.436201E-04,1.439858E-04,6.592469E-04,5.984847E-04,8.856152E-04,1.009137E-04,7.543627E-05,4.373629E-04,3.186994E-04,1.397419E-05,4.141078E-04,1.822640E-04,6.445197E-05,1.060224E-03,1.330749E-03,1.024134E-03,2.688344E-04,2.210832E-04,1.439389E-05,1.868050E-04,3.423311E-04,3.156507E-04,6.262848E-04,2.205910E-04,1.200546E-03,9.518383E-04,8.348135E-04,1.867123E-04,7.549491E-04,1.000241E-04,1.491697E-03,1.405000E-05,8.873538E-04,4.522089E-04,3.934631E-04,6.078398E-04,8.993703E-04,1.019990E-03,4.262987E-04,1.621841E-03,4.916946E-05,1.440071E-03,5.524133E-04
9000,7.740121E-04,2.582424E-04,3.352208E-04,1.494183E-03,1.232150E-03,1.524328E-04,5.817431E-04,3.146340E-04,2.394232E-06,7.257607E-04,3.328270E-04,7.571967E-04,7.420768E-05,6.797970E-04,1.528093E-03,3.815961E-04,2.146133E-04,3.229166E-03,1.215896E-03,2.353534E-04,3.025053E-04,2.429080E-03,9.566199E-06,1.004432E-03,2.680703E-03,3.233544E-03,3.925136E-05,6.228139E-05,3.937907E-04,6.399560E-04,1.513251E-04,NA,6.914261E-05,1.791137E-03,3.730093E-05,1.330125E-04,2.982289E-04,1.709131E-06,7.718180E-05,3.347138E-05,7.063733E-03,1.458666E-04,1.267532E-04,1.114248E-04,5.779520E-04,1.053972E-06,6.240773E-04,2.443153E-05,9.877417E-04,7.158749E-04,3.251714E-03,8.300538E-06,4.391483E-05,4.222250E-04,2.073894E-04,6.501794E-04,1.649095E-04,2.051328E-04,1.153029E-04,9.681973E-05,4.864598E-05,1.916850E-03,1.934297E-04,1.810370E-04,1.303794E-03,5.171129E-05,9.276257E-04,3.864215E-05,2.741290E-04,1.213102E-04,7.648557E-04,2.878628E-04,4.469732E-04,8.646552E-05,1.530953E-03,2.143287E-04,1.198991E-04,4.490881E-04,2.570764E-04,2.251033E-04,3.747409E-03,2.569087E-03,6.291148E-05,2.561003E-04,1.436985E-04,1.444853E-03,2.020336E-04,3.135713E-04,3.212863E-05,1.175933E-03,8.736016E-04,1.217785E-05,2.027351E-03,9.878100E-05,4.680790E-04,2.362454E-04,1.527154E-05,1.558123E-04,4.366741E-04,8.686878E-04,1.651015E-03,4.290425E-04,4.461108E-04,9.477671E-04,2.858773E-04,3.573215E-04,3.485153E-03,1.651943E-03,5.062632E-05,1.174336E-04,1.458888E-04,2.756223E-04,5.263889E-04,3.270150E-04,5.874527E-04,2.880369E-04,2.326060E-04,1.402196E-04,3.522632E-04,1.937933E-04
10000,2.471282E-04,5.382673E-05,1.821358E-03,6.949999E-04,2.760027E-04,5.757532E-04,2.734961E-04,7.272669E-04,1.683869E-03,1.398107E-04,3.306841E-04,6.808578E-04,1.433282E-03,9.400605E-04,1.155002E-03,1.182119E-04,2.911925E-04,9.709288E-05,3.863133E-04,4.546244E-04,1.140372E-04,5.686147E-05,7.570012E-04,4.953094E-05,8.640420E-05,1.789049E-04,2.785188E-04,2.231461E-04,8.990926E-04,3.425549E-05,NA,1.859610E-04,7.298218E-05,7.731226E-05,3.666958E-04,3.755753E-05,9.014371E-05,1.576529E-04,5.367951E-04,2.705609E-04,8.170929E-04,2.445824E-04,3.307877E-05,9.105247E-04,5.056493E-05,4.868972E-05,8.697084E-04,5.219021E-05,8.983824E-05,3.215151E-05,1.461123E-03,1.518331E-05,4.749204E-04,9.379244E-05,NA,1.340227E-05,5.331784E-05,1.654199E-03,8.159017E-05,5.382033E-04,1.919669E-04,NA,5.138943E-04,8.737267E-04,7.661073E-04,1.530051E-04,2.670033E-04,2.985946E-04,8.584421E-05,3.414723E-04,5.259825E-04,8.610486E-05,8.571441E-04,1.039193E-04,1.443957E-03,3.633547E-03,2.627518E-06,3.027891E-04,5.841795E-04,5.456303E-04,2.226057E-04,6.775210E-05,4.110538E-05,4.121827E-04,4.221953E-04,7.627888E-04,2.960824E-04,1.377308E-03,5.470969E-05,6.817772E-04,1.813444E-04,8.020005E-04,1.939693E-05,3.231608E-04,3.706901E-05,8.736092E-05,3.219879E-04,1.800774E-04,3.237160E-04,2.385002E-04,9.151682E-04,2.773721E-04,1.475194E-03,4.492088E-04,8.000821E-04,2.314503E-04,9.708670E-05,1.048837E-03,1.655102E-04,1.809428E-03,1.144912E-04,6.537775E-04,5.839739E-04,5.576518E-04,1.459400E-04,3.761285E-04,3.808627E-04,8.485724E-05,1.650103E-03,1.202216E-04
