Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,2.010522E-05,2.505330E-05,5.767131E-03,9.083142E-05,2.705787E-03,5.594945E-04,1.000012E-05,7.274001E-04,1.775178E-03,1.914476E-03,8.577938E-05,1.838822E-04,5.942673E-05,1.483826E-05,7.025359E-04,6.048472E-05,6.374086E-04,6.963270E-05,3.955597E-05,2.324185E-03,5.819371E-03,1.581634E-03,4.606504E-04,2.337156E-04,3.476738E-03,2.913483E-03,7.699593E-03,3.645795E-04,1.734683E-04,2.292786E-03,2.159184E-04,2.096061E-04,1.748891E-04,3.534995E-05,5.554583E-05,5.999166E-03,9.064486E-04,3.160544E-03,4.538025E-03,3.220365E-03,1.366249E-03,1.178410E-03,2.217979E-03,1.646933E-04,9.227438E-04,3.571663E-03,1.753651E-04,1.203070E-03,3.569953E-03,1.010611E-05,8.523499E-05,2.088975E-04,1.515611E-05,4.938469E-04,8.992909E-05,8.396203E-04,1.766940E-03,3.460890E-05,4.947066E-06,1.964538E-04,2.393241E-04,4.019617E-05,1.785213E-03,9.085594E-05,3.456454E-03,9.081290E-04,2.256480E-03,2.352144E-04,1.010509E-05,6.423549E-05,5.432065E-03,1.328099E-02,0.000000E+00,3.231212E-03,5.372838E-04,7.540512E-04,2.627224E-03,3.483651E-05,6.852784E-04,1.802201E-03,2.244743E-03,4.202251E-04,3.718773E-03,0.000000E+00,7.465787E-04,7.411055E-04,9.309916E-04,8.287184E-03,2.525916E-05,4.423366E-03,4.998470E-05,3.098416E-03,1.347811E-03,2.967652E-05,1.513762E-04,7.631376E-03,4.587006E-04,3.562354E-03,4.006103E-04,4.482382E-05,1.010509E-05,2.990302E-03,3.174854E-03,3.015103E-03,0.000000E+00,6.808551E-04,4.966698E-05,2.337673E-03,3.063537E-03,2.895072E-04,1.515917E-05,1.285839E-03,1.461477E-04,1.750695E-04,1.402414E-03,1.524575E-03,4.019715E-05,2.806916E-03,7.482227E-05,3.009925E-05
2000,8.475375E-05,1.374251E-02,7.223745E-03,4.365007E-03,5.783045E-03,6.360109E-04,3.438398E-04,9.934160E-04,2.112215E-04,2.337246E-03,6.475169E-05,8.066141E-04,9.966404E-03,5.536616E-05,2.104141E-04,2.217045E-03,2.897667E-03,3.092017E-03,1.391022E-04,4.489946E-04,2.794063E-04,7.915972E-04,8.511395E-04,1.164601E-03,5.888618E-03,3.137145E-03,1.654835E-02,1.205028E-02,8.835841E-04,2.022367E-03,1.357408E-04,8.399077E-04,4.947651E-04,1.587436E-03,8.901075E-04,9.533626E-03,4.889826E-04,7.992060E-03,1.529944E-02,1.192830E-02,2.383967E-04,2.098319E-04,3.007602E-05,2.949218E-03,0.000000E+00,3.327914E-03,2.803160E-03,2.888312E-04,1.328686E-02,3.239028E-04,7.022648E-04,0.000000E+00,1.411259E-03,1.544621E-02,1.381184E-03,1.842757E-04,1.138597E-03,1.336901E-03,9.999705E-06,1.461802E-03,1.008268E-05,5.788997E-03,9.698261E-04,9.012705E-05,6.348480E-03,3.748112E-03,8.396003E-04,6.710596E-03,2.390002E-04,1.055542E-04,1.454345E-03,1.583889E-02,1.068580E-03,7.944815E-04,0.000000E+00,4.526416E-05,9.042583E-04,1.793192E-02,1.326725E-02,1.112396E-03,9.637826E-04,2.164317E-03,7.873434E-03,1.034772E-03,2.404308E-04,4.430054E-03,1.237050E-02,1.889638E-02,5.264932E-04,2.660890E-03,2.756099E-03,5.618642E-03,5.364576E-03,7.170154E-04,5.431310E-03,8.645105E-03,2.444715E-03,2.478536E-05,1.635339E-03,9.332500E-03,1.652699E-03,1.690348E-02,8.056277E-05,1.304684E-04,8.367470E-04,1.616402E-03,2.939080E-04,4.702218E-04,8.562903E-05,6.136049E-04,3.758370E-04,4.212927E-04,4.729766E-04,3.259749E-03,9.423252E-05,1.889771E-04,9.914733E-06,6.027389E-03,9.136220E-04,3.024293E-03
3000,3.009221E-03,1.516651E-02,1.074732E-02,7.246267E-03,6.764482E-04,1.012502E-02,5.929262E-03,2.191220E-03,3.328219E-04,1.252890E-04,5.902483E-03,3.034286E-03,9.628945E-04,3.496830E-03,1.701902E-03,1.475042E-03,5.701421E-03,2.457501E-03,2.537997E-03,6.920323E-04,1.502075E-04,9.862546E-04,1.805767E-03,1.485197E-05,9.472480E-05,1.556565E-03,1.333091E-02,3.261538E-03,8.306607E-04,3.293827E-03,1.500232E-03,4.523680E-03,1.055892E-03,1.589594E-04,8.184926E-04,1.623931E-02,1.712244E-04,1.963447E-02,1.517313E-02,2.259034E-04,2.046158E-03,2.173321E-04,6.967119E-05,3.931378E-03,9.862201E-04,1.286013E-02,5.364216E-04,8.048549E-04,2.455563E-02,2.001659E-04,8.059323E-04,2.971599E-03,2.291103E-04,1.326714E-03,8.896769E-05,4.168092E-03,8.687251E-03,2.494891E-05,1.904048E-04,1.548438E-02,6.530973E-04,5.312228E-03,3.239053E-04,6.181980E-04,1.660693E-02,5.813732E-03,0.000000E+00,9.695681E-03,2.077138E-03,4.950985E-06,1.652488E-04,2.221147E-02,9.345186E-04,7.303908E-03,5.365158E-04,8.414216E-03,4.483507E-05,1.373829E-02,2.306686E-02,1.378757E-03,4.452356E-05,4.239215E-03,4.114241E-03,5.368960E-03,0.000000E+00,4.802649E-03,1.476627E-02,1.771684E-02,9.960109E-03,7.353062E-04,6.463018E-05,3.349672E-03,1.180853E-03,1.031566E-03,5.934710E-05,8.906654E-03,8.370878E-04,3.147191E-04,1.080650E-02,1.975257E-03,7.098894E-03,4.828834E-03,2.009485E-05,1.009795E-05,2.595953E-03,1.250256E-02,1.696575E-04,4.950985E-06,6.315793E-03,4.484490E-04,8.554036E-04,6.301063E-04,2.568032E-03,2.388267E-03,1.576136E-03,1.395703E-03,8.931940E-05,1.475964E-02,1.656694E-03,1.112554E-02
4000,2.093777E-04,8.969909E-03,1.362251E-02,5.394185E-03,5.231293E-04,9.664578E-03,3.143624E-03,1.944677E-03,1.395709E-03,1.498651E-05,2.216175E-03,3.000500E-05,4.587153E-04,9.992006E-06,4.871264E-04,1.099928E-02,1.634310E-02,1.546360E-04,1.875990E-03,6.498158E-03,4.085675E-04,1.146948E-04,2.396160E-03,1.156339E-03,9.999004E-06,4.132437E-04,4.910314E-03,9.929674E-03,1.248187E-04,2.349135E-03,9.700295E-04,1.121616E-02,0.000000E+00,7.527517E-03,7.165076E-03,1.938895E-02,2.742335E-04,1.695727E-02,1.958263E-02,3.498252E-05,3.463418E-03,3.317640E-03,1.246659E-04,1.735356E-03,1.598809E-04,9.666821E-03,7.489261E-05,2.025109E-03,2.361621E-02,4.166108E-03,7.495343E-05,5.118505E-03,4.907810E-03,2.866951E-03,7.014643E-04,3.335101E-03,3.997665E-03,2.745200E-04,7.096914E-03,1.224353E-02,4.430191E-03,6.322157E-03,6.147515E-03,1.644851E-02,8.643587E-03,9.901336E-03,1.738587E-03,2.046627E-04,1.697160E-04,3.052195E-03,4.232841E-04,2.730227E-02,7.764123E-03,2.273003E-02,6.876117E-04,1.589101E-02,3.876236E-03,2.175423E-02,2.027229E-02,1.998538E-04,5.497646E-05,1.321033E-02,8.083089E-03,5.465789E-03,4.591801E-04,1.163517E-02,4.107506E-03,2.495611E-02,1.681904E-02,7.415112E-03,1.000500E-05,4.463169E-03,4.534473E-04,1.806413E-03,5.118090E-03,6.795088E-03,8.493841E-05,6.997895E-05,1.366078E-02,7.255258E-03,8.765752E-03,1.787656E-02,1.000602E-03,2.694533E-04,3.338660E-04,5.500049E-05,8.402026E-04,1.846966E-04,7.796397E-03,8.712874E-03,4.379517E-03,5.996901E-05,2.595013E-02,7.466527E-03,7.430244E-03,5.389910E-03,2.646992E-04,1.698160E-04,1.410292E-02,3.559463E-02
5000,1.252488E-02,6.606827E-03,1.794092E-02,2.197209E-03,1.200735E-04,3.067334E-02,5.135620E-03,3.398145E-03,3.480143E-03,4.799585E-03,1.638197E-02,2.043018E-03,1.959809E-03,2.398700E-03,3.315663E-03,1.815037E-02,1.704994E-02,2.704290E-04,4.282602E-04,8.168068E-04,2.489961E-03,4.393414E-04,8.983748E-05,2.697879E-03,7.501398E-04,1.246123E-02,6.821897E-03,3.597023E-03,8.044367E-04,1.293487E-02,7.568235E-03,7.005652E-03,7.648066E-04,1.505913E-03,1.194082E-02,8.168814E-03,1.082232E-03,1.475546E-02,1.461057E-02,3.641182E-04,8.988152E-05,9.153072E-04,6.015632E-05,2.218347E-03,2.121071E-03,2.327107E-02,2.015773E-03,2.190789E-04,1.521844E-02,4.365120E-03,2.999143E-05,3.788350E-04,5.011142E-05,6.311754E-03,1.697502E-04,2.193681E-03,1.102161E-04,1.101633E-04,8.020547E-03,1.103081E-02,3.508191E-05,1.528335E-02,8.991002E-03,1.644153E-02,1.675969E-02,1.408341E-02,4.077960E-03,2.183585E-03,3.726505E-03,2.594289E-03,6.094648E-04,7.071824E-03,1.111513E-02,6.867831E-03,1.001318E-02,1.919460E-02,7.923259E-04,2.472026E-02,1.360111E-02,1.252984E-02,1.499148E-03,7.006837E-03,2.015611E-02,7.552661E-03,3.094569E-03,9.872190E-03,6.204565E-03,1.855256E-02,5.712058E-03,3.294641E-04,4.503225E-03,5.879692E-03,4.785181E-04,2.569487E-03,8.521904E-04,2.018370E-02,9.017663E-05,1.852511E-04,1.144780E-02,6.855816E-04,1.431336E-02,2.416506E-02,4.513084E-05,6.705065E-04,1.296737E-04,1.481205E-03,2.196195E-03,3.393507E-04,1.037017E-02,4.525497E-03,1.542632E-03,6.526218E-04,3.432821E-02,1.453691E-02,1.475937E-02,2.554095E-03,4.986982E-05,1.959199E-03,5.680147E-03,3.307339E-02
6000,2.501125E-02,2.184853E-03,2.412894E-03,3.028597E-03,2.567109E-03,2.907282E-02,1.138570E-02,3.532309E-05,5.809480E-03,6.944107E-03,1.426650E-02,1.162531E-04,6.341262E-04,3.874823E-03,1.012588E-02,1.663588E-02,1.033405E-02,8.000393E-05,1.979206E-05,3.735169E-04,1.769761E-03,3.080805E-04,4.686085E-04,3.041644E-04,1.184983E-03,4.469961E-03,4.957978E-03,9.531282E-03,4.302585E-04,6.307005E-03,1.235765E-02,7.699876E-03,9.353139E-04,2.516206E-02,1.709087E-02,2.180861E-02,1.958001E-05,1.235403E-02,2.839650E-02,3.251536E-03,8.181197E-03,3.655999E-03,4.579110E-03,1.327642E-03,6.455596E-03,1.837666E-02,6.424851E-04,2.447477E-05,2.038739E-03,2.024556E-03,2.165358E-03,4.410924E-03,3.967925E-04,1.298470E-02,1.021450E-05,3.474048E-03,1.317347E-03,3.586266E-03,1.638201E-02,7.750591E-03,9.790483E-06,1.566065E-02,5.745665E-03,3.466477E-02,2.365624E-02,5.844847E-03,1.096605E-03,2.552843E-05,1.304217E-03,7.566286E-03,1.551744E-04,2.246141E-04,2.362275E-02,2.594128E-02,4.948981E-03,1.068364E-02,3.042415E-05,2.937443E-02,5.826288E-03,1.210512E-02,1.340355E-03,8.780982E-03,1.993129E-02,2.245357E-03,1.021450E-05,1.011919E-04,1.292057E-02,1.973129E-02,7.202715E-04,4.374603E-04,1.066913E-02,2.635205E-04,1.000350E-05,7.470501E-04,1.965664E-03,1.632357E-02,9.303158E-04,9.790483E-06,5.536689E-03,2.236734E-03,1.689685E-02,3.083981E-02,3.210861E-03,8.149728E-04,1.831865E-04,6.861354E-04,6.270637E-03,3.815194E-03,2.786357E-02,5.468351E-03,5.398117E-03,4.229852E-04,3.281403E-02,4.255526E-03,1.206274E-02,2.758566E-03,2.723227E-04,5.901461E-03,6.381284E-04,1.984153E-02
7000,2.428397E-02,2.556865E-04,1.139051E-04,1.394871E-02,9.740813E-04,2.290774E-02,2.252617E-02,1.519412E-03,3.463641E-03,6.984003E-03,7.080980E-03,5.351843E-04,5.927734E-04,8.517353E-05,8.760101E-03,2.348189E-02,3.616787E-03,6.006203E-03,5.073567E-06,5.190949E-04,3.709618E-03,9.481226E-04,6.164302E-03,1.130773E-03,1.870576E-03,4.060230E-04,4.104023E-03,1.165550E-02,3.559988E-03,1.808657E-03,9.639378E-03,1.275810E-02,5.055259E-05,1.876988E-02,9.963721E-03,1.806818E-02,1.653131E-03,2.396864E-04,2.403085E-02,2.326318E-04,1.148601E-02,7.176792E-04,3.623755E-03,1.314344E-02,4.407112E-03,2.082492E-02,1.855180E-03,6.690252E-03,5.445921E-05,2.084548E-03,9.608553E-03,2.108034E-03,1.532463E-03,6.806066E-03,2.970168E-05,5.043195E-03,2.099582E-02,4.927565E-06,2.493691E-02,1.797952E-02,2.838354E-04,2.799776E-02,3.053332E-04,2.459025E-02,2.305492E-02,1.625549E-03,9.577212E-04,1.467587E-03,1.412895E-03,1.703233E-02,1.689478E-04,3.425866E-03,2.283518E-02,3.781711E-02,1.568255E-02,8.601551E-03,8.024438E-04,3.581820E-02,8.487022E-03,1.254911E-02,0.000000E+00,1.550630E-02,2.738471E-02,2.958175E-03,1.615239E-04,1.135288E-03,1.415489E-02,2.343200E-02,9.534197E-05,3.368721E-04,2.248251E-02,1.189735E-04,6.400197E-03,1.404155E-03,0.000000E+00,1.001559E-02,4.832523E-03,4.009486E-03,1.799096E-04,8.347200E-04,2.127435E-02,4.180615E-02,2.836851E-04,1.294586E-03,2.751306E-03,4.878933E-03,1.525674E-03,3.842540E-03,2.162375E-02,3.985167E-05,5.971188E-04,5.519777E-05,3.410550E-02,1.337142E-02,8.083524E-03,3.939332E-05,4.476074E-03,1.432097E-03,1.577571E-03,2.209567E-02
8000,2.549501E-02,1.718385E-03,3.629830E-03,8.187273E-03,4.690048E-04,1.605422E-02,7.354287E-03,3.607826E-04,1.000306E-04,3.833006E-03,1.293488E-02,5.094010E-04,6.102703E-04,0.000000E+00,1.993559E-02,1.899395E-02,6.941730E-05,4.279967E-04,1.999839E-05,1.684964E-03,1.034424E-03,9.042235E-03,1.556599E-04,1.881443E-04,2.076157E-03,9.230348E-03,1.182959E-03,1.635678E-02,3.003501E-02,1.689847E-04,5.029819E-03,2.853075E-03,3.599627E-03,2.334325E-02,2.464235E-02,2.595584E-02,1.504054E-05,1.133730E-02,2.047815E-02,4.503568E-05,8.862505E-03,8.677095E-04,4.210848E-03,1.286093E-02,7.493995E-03,2.148563E-02,2.434274E-04,1.651582E-02,4.963504E-05,5.765119E-03,3.155910E-04,5.038409E-04,6.526483E-04,7.225418E-04,1.636658E-04,1.597075E-03,2.716952E-02,1.248606E-04,2.979017E-02,2.101944E-02,4.957858E-06,7.998499E-03,1.487062E-05,5.918159E-02,1.718617E-02,1.315761E-03,1.512452E-05,1.782477E-03,4.031851E-05,2.471815E-02,1.729992E-03,2.903254E-03,2.157428E-02,2.769475E-02,5.681307E-03,1.739669E-02,1.141790E-03,4.385580E-02,1.275153E-02,3.670011E-03,9.426301E-05,8.650220E-03,2.291441E-02,1.999839E-05,3.690813E-03,6.233587E-03,1.139583E-02,2.512219E-02,1.541870E-02,3.335481E-03,3.093437E-02,7.313345E-03,1.001914E-02,3.527768E-05,2.191203E-04,2.028028E-02,3.907514E-03,2.736001E-03,2.249661E-04,7.774831E-03,2.526705E-02,4.264756E-02,6.451255E-04,5.450338E-03,4.964684E-05,1.619583E-02,1.999741E-05,6.590192E-03,2.295946E-02,4.626498E-03,1.463815E-03,1.052188E-04,3.797379E-02,4.025339E-04,1.295922E-03,5.944906E-05,3.619391E-03,4.957858E-06,1.633190E-04,1.272574E-02
9000,2.441928E-02,6.525517E-03,3.212854E-04,3.253167E-03,2.862254E-03,2.048363E-02,1.068299E-02,7.419000E-04,2.172466E-03,7.365201E-05,2.201243E-02,3.348453E-03,2.000268E-05,3.907458E-04,7.439352E-03,5.287594E-03,6.572866E-05,6.457782E-04,3.173445E-04,4.048961E-05,1.097765E-04,1.762355E-02,2.025927E-03,4.085326E-03,4.056865E-03,1.408908E-02,4.017020E-05,2.216209E-02,1.098413E-02,2.135071E-03,6.879194E-03,0.000000E+00,1.838773E-03,2.353579E-02,2.356733E-02,2.779211E-02,1.191011E-04,3.127648E-03,1.987747E-02,1.531579E-03,1.733737E-02,1.837620E-04,3.282873E-03,1.338765E-02,2.659418E-03,2.479135E-02,3.134380E-03,2.059970E-02,2.159308E-04,5.985873E-03,5.703912E-03,4.854578E-03,1.665288E-03,7.075133E-03,2.228731E-03,2.270878E-03,3.384371E-02,5.982427E-05,3.608885E-02,2.067440E-02,3.928206E-04,2.045945E-03,1.966181E-05,7.188016E-02,1.149501E-02,5.084918E-06,1.831864E-03,8.633040E-04,8.417196E-04,2.608671E-02,1.002315E-02,8.047067E-05,1.240675E-02,3.495100E-02,1.911818E-04,1.994590E-02,1.847280E-02,4.300011E-02,1.803516E-02,4.210556E-03,2.690444E-03,1.897074E-02,2.220031E-02,3.457184E-05,6.242632E-04,7.904596E-03,1.283577E-02,1.168485E-02,1.271474E-02,2.032699E-03,3.091933E-02,1.238380E-02,1.219153E-02,4.340484E-03,2.806489E-03,2.196468E-02,1.895337E-02,4.424247E-05,7.663068E-04,2.506658E-03,3.277180E-02,1.906101E-02,4.023300E-03,9.853688E-03,3.767939E-04,3.358901E-02,2.994816E-03,1.013102E-02,1.467648E-02,1.686804E-02,9.965056E-03,1.134895E-02,3.718627E-02,1.962583E-03,7.343868E-03,2.489703E-03,2.027099E-04,3.033115E-05,8.418192E-05,1.212705E-02
10000,2.606262E-02,1.119212E-02,1.701722E-03,1.769196E-02,1.825945E-03,2.348993E-02,7.386637E-03,1.824423E-04,1.803915E-02,3.551599E-05,2.213532E-02,2.161313E-03,7.483499E-04,2.051409E-03,5.492968E-03,3.014751E-05,8.062037E-04,9.852216E-06,1.436991E-03,2.627153E-04,4.841758E-04,3.326398E-02,8.698590E-04,1.492778E-05,1.699606E-02,2.336687E-02,1.646843E-03,2.510854E-02,1.071088E-02,1.147524E-02,0.000000E+00,2.881241E-03,2.857878E-03,1.675741E-02,1.216567E-02,2.082121E-02,3.380093E-03,4.547307E-04,2.247059E-02,3.186211E-04,8.985030E-03,2.065440E-03,3.455245E-03,1.671960E-02,6.773619E-04,2.502442E-02,2.816918E-04,2.531006E-02,1.203163E-03,2.323169E-03,1.384169E-02,4.482558E-03,1.741261E-04,4.882634E-03,0.000000E+00,8.573568E-04,2.294557E-02,7.399401E-04,2.507186E-02,1.172617E-02,4.268669E-03,0.000000E+00,6.652831E-03,4.785899E-02,7.078003E-03,9.995531E-05,2.102341E-03,1.090389E-03,1.522276E-05,3.335289E-02,1.355806E-02,2.039434E-04,1.345759E-02,5.482671E-02,3.999341E-04,1.234988E-02,6.691317E-03,3.122858E-02,6.531407E-03,9.887887E-03,1.371992E-03,1.178883E-02,2.765260E-02,4.056792E-05,5.056087E-05,6.169660E-03,9.917166E-03,2.372440E-04,1.147952E-02,1.894548E-03,2.721015E-02,2.960388E-02,4.778121E-04,5.579068E-05,5.360421E-03,4.483831E-02,9.943577E-03,7.039120E-04,4.658352E-04,1.065431E-03,3.340002E-02,3.472695E-02,1.492975E-03,1.347323E-02,1.546263E-03,1.778072E-02,2.701438E-03,1.196759E-02,1.414521E-02,1.747075E-02,1.455096E-02,4.837891E-03,2.561631E-02,1.040758E-04,1.014227E-02,7.862705E-04,7.577349E-05,1.507476E-05,4.859876E-04,2.037295E-02
