Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,8.756548E-07,5.164415E-07,1.324789E-08,8.021066E-08,1.905787E-05,1.059540E-06,7.039462E-09,5.892438E-05,1.595063E-07,2.374393E-06,2.068293E-06,3.676592E-08,5.646429E-08,7.087638E-06,2.718680E-06,2.034483E-07,2.135101E-06,2.514457E-06,1.153914E-06,2.058264E-07,1.516493E-06,1.195713E-07,9.144440E-07,7.508234E-08,2.676476E-09,2.889486E-07,1.355982E-06,9.814618E-10,8.203501E-08,3.551251E-06,4.687715E-08,8.224370E-06,2.743826E-08,2.326232E-07,1.746057E-07,1.567403E-06,3.836777E-07,1.409501E-06,3.429438E-07,0.000000E+00,3.216082E-06,5.546692E-08,0.000000E+00,7.094004E-07,1.667814E-06,4.821062E-07,1.235162E-06,2.374377E-06,4.332224E-07,1.655986E-07,2.527271E-07,4.957926E-06,4.173534E-06,4.442055E-07,2.723990E-07,1.275390E-06,2.846345E-07,1.740312E-06,5.276961E-08,3.038402E-09,1.543813E-06,1.442896E-07,6.091630E-08,1.993466E-07,8.643278E-09,5.071172E-06,1.540220E-08,1.365997E-06,0.000000E+00,1.488923E-06,6.461213E-08,1.353342E-06,3.772618E-08,8.366809E-08,4.611923E-07,1.290057E-06,4.446151E-07,1.767512E-13,2.043945E-06,2.174119E-07,8.300617E-08,1.637047E-07,6.233317E-09,6.732736E-07,2.550258E-07,1.655648E-07,3.981174E-07,2.669959E-07,1.073709E-06,5.668107E-07,5.414497E-06,2.966750E-06,2.219782E-07,1.670234E-08,7.739853E-06,5.059044E-07,2.529575E-09,3.656417E-06,1.493293E-05,2.352373E-06,6.038892E-06,2.963189E-09,2.714427E-06,3.017345E-06,3.719600E-08,1.856207E-06,1.135016E-06,1.854458E-06,1.484653E-05,1.802459E-05,7.358965E-06,1.174275E-06,5.425180E-08,1.127137E-06,0.000000E+00,1.246290E-07,8.466133E-07,8.361229E-09,1.530470E-08,1.145414E-07
2000,2.259685E-07,5.919247E-08,4.147528E-07,1.852166E-06,2.294856E-06,3.213676E-07,1.623119E-06,3.724480E-06,2.573586E-09,1.942195E-07,4.646719E-07,2.058868E-07,3.604265E-09,2.821675E-07,1.231331E-05,1.533759E-07,5.727930E-06,2.420534E-06,4.632454E-09,8.415469E-08,2.869068E-06,1.099037E-07,7.933836E-06,5.118359E-09,4.462190E-06,2.077360E-07,8.263269E-08,5.661888E-09,3.748390E-07,2.762878E-07,9.463402E-08,1.746117E-05,9.554230E-06,4.894826E-07,5.189890E-07,4.859052E-10,5.684924E-07,1.269098E-06,2.994175E-06,4.647602E-07,4.980754E-06,2.573586E-09,4.035382E-07,2.498345E-06,2.989952E-08,4.477428E-06,1.675318E-08,1.943621E-09,9.861754E-08,1.355394E-07,8.499007E-06,4.053840E-05,8.831514E-06,2.058868E-09,2.093267E-06,7.765596E-06,1.914958E-06,8.698719E-08,3.862051E-08,6.371817E-07,2.651369E-06,1.913051E-07,3.542942E-07,1.296551E-07,4.208064E-06,1.020731E-06,3.191555E-07,6.293091E-06,1.954546E-07,7.631221E-08,0.000000E+00,1.889301E-07,4.336081E-08,3.590250E-07,3.457347E-07,4.972198E-08,3.562137E-08,2.812522E-09,5.118359E-09,3.192485E-06,6.400391E-07,7.445819E-06,1.943621E-09,4.632454E-09,1.832974E-08,4.915116E-06,2.669645E-05,3.072066E-07,8.552361E-07,8.169135E-08,1.232693E-06,1.906380E-07,1.102199E-06,2.969918E-07,2.550041E-06,1.979667E-06,1.300355E-07,5.763038E-07,2.562274E-07,7.716029E-06,1.200731E-05,8.965402E-09,1.596551E-06,5.788351E-06,2.630430E-08,5.492984E-07,6.931166E-06,1.943621E-09,7.445702E-07,4.592742E-07,1.307267E-05,1.406215E-06,4.142365E-07,1.824687E-06,8.708406E-07,1.000622E-09,2.223117E-08,7.511989E-08,1.872127E-06,6.230871E-06
3000,7.668420E-07,8.442664E-08,6.214467E-09,2.151003E-06,1.244446E-07,4.473422E-07,1.210620E-05,2.436246E-08,1.322385E-07,3.060627E-07,1.705912E-07,4.327036E-06,1.599218E-07,4.652741E-07,2.406458E-05,1.558358E-06,1.006047E-07,2.074190E-05,1.715968E-06,3.387991E-07,2.759062E-07,9.854718E-07,2.708080E-05,2.959868E-07,2.815265E-06,3.286356E-07,2.494697E-07,1.311256E-07,1.883165E-07,4.352683E-06,0.000000E+00,3.221046E-08,3.056415E-06,2.156928E-06,1.757976E-06,2.187992E-09,4.400937E-06,1.886471E-07,1.854148E-08,9.037420E-07,2.016558E-05,8.212127E-09,8.804470E-07,1.952468E-07,1.393720E-05,5.132580E-10,1.732875E-07,6.648946E-08,3.653030E-08,0.000000E+00,5.545573E-06,7.525508E-06,5.601457E-06,3.606182E-06,4.104126E-07,8.336567E-07,5.333101E-07,2.729116E-07,4.390481E-05,2.997776E-08,9.835190E-06,3.840978E-07,1.027985E-06,3.997906E-05,4.872492E-10,2.425554E-08,6.365690E-07,4.689078E-05,2.129683E-07,4.654722E-07,0.000000E+00,2.116066E-09,4.898839E-09,6.359483E-06,4.872492E-09,2.353186E-05,3.565039E-06,1.274592E-05,2.636745E-07,1.737116E-06,1.465965E-05,3.106623E-05,1.244869E-07,1.101443E-07,4.438366E-06,4.462926E-06,8.342154E-06,2.926251E-06,4.018823E-06,2.106768E-07,9.302396E-08,5.844326E-06,4.717119E-07,5.132580E-10,1.455066E-05,1.078980E-05,4.421256E-05,5.773642E-05,6.821911E-06,1.288935E-06,6.584425E-06,0.000000E+00,4.965190E-06,5.356495E-06,6.329300E-09,2.267355E-08,8.199511E-06,4.463202E-07,1.958460E-06,9.827736E-07,4.488835E-06,2.205626E-08,2.013454E-07,4.923818E-08,1.195729E-07,6.642920E-06,4.385243E-09,3.548739E-07,1.338516E-07,3.905336E-05
4000,5.228979E-06,3.678302E-07,1.183032E-07,1.602182E-07,8.587881E-07,6.801037E-08,3.391773E-07,8.276299E-06,1.295589E-06,5.187000E-06,5.100855E-06,2.541493E-05,4.027705E-07,6.257556E-08,2.483419E-05,7.407636E-08,5.252106E-08,2.844248E-06,2.992675E-06,5.340215E-07,4.349440E-06,4.408454E-06,4.980384E-05,6.814833E-08,4.829511E-06,3.064046E-07,6.557142E-07,1.579559E-06,2.082276E-08,1.629401E-07,3.500965E-07,2.066842E-07,2.278246E-07,3.464282E-08,4.331238E-06,7.013531E-06,8.942748E-09,1.286655E-06,0.000000E+00,1.604539E-06,6.071432E-05,7.430271E-07,8.050856E-05,8.802437E-07,2.304862E-05,8.044682E-06,9.333336E-05,2.887448E-06,8.174438E-07,5.842275E-06,7.079518E-07,1.549464E-05,6.724776E-06,4.291393E-06,5.489414E-09,7.400748E-07,4.266306E-06,5.197393E-08,1.491562E-06,1.151849E-07,2.880446E-05,6.412780E-07,1.000039E-09,1.944463E-05,7.329496E-07,1.250419E-08,2.968481E-07,4.401913E-06,8.789716E-07,1.001843E-07,1.875134E-06,4.948440E-07,5.548723E-08,2.904927E-07,2.968735E-07,7.194229E-07,2.518098E-08,2.045430E-06,3.240350E-06,5.890830E-07,1.985023E-07,2.230782E-05,1.947132E-07,5.642374E-06,6.787182E-06,4.320734E-06,6.600230E-07,9.815595E-06,2.417728E-07,4.886445E-05,3.413313E-06,2.510897E-09,1.902530E-07,5.336629E-06,1.406637E-05,1.005116E-05,2.224349E-06,7.243467E-05,5.525466E-09,2.357685E-05,2.404144E-05,4.142876E-07,5.706401E-07,1.374185E-05,8.771106E-08,1.806561E-08,2.178636E-05,7.181951E-06,6.323874E-06,2.872933E-07,3.490617E-07,4.277237E-07,7.213198E-08,3.530077E-08,1.663944E-07,1.484198E-05,5.492593E-06,6.201812E-07,1.308691E-08,2.573404E-07
5000,5.168008E-07,3.195307E-08,4.849277E-07,1.757982E-07,8.393050E-07,8.506905E-06,1.837693E-07,1.038025E-06,8.586594E-07,1.836837E-06,4.580258E-09,3.013973E-06,2.407382E-06,9.062499E-08,8.271728E-06,3.462086E-06,2.901780E-06,9.156127E-08,6.553692E-06,4.613671E-07,4.230245E-06,6.336066E-06,9.656013E-05,4.492273E-08,4.136966E-06,5.703680E-08,0.000000E+00,2.058554E-07,2.113679E-07,2.993401E-05,3.278509E-07,2.474177E-09,2.682540E-07,4.193931E-08,2.387877E-07,3.501412E-07,6.884563E-07,1.908449E-05,4.365841E-07,1.223051E-06,6.341179E-07,2.439128E-06,1.577779E-05,9.562270E-06,8.404189E-07,1.000232E-09,4.582293E-05,5.076064E-06,6.896039E-06,1.149549E-07,3.001983E-07,4.137949E-06,6.118971E-06,8.909957E-07,8.156154E-07,0.000000E+00,1.457465E-05,2.325632E-05,1.848049E-05,2.559750E-07,3.070793E-05,3.041099E-07,3.047987E-07,3.596716E-05,1.542622E-07,8.791633E-09,5.489168E-07,1.540742E-05,1.450318E-06,5.942326E-06,4.000929E-09,5.641168E-05,6.995952E-07,4.024367E-07,2.326353E-07,6.948512E-06,2.338173E-06,2.598506E-07,2.180100E-06,9.423943E-06,6.554195E-06,7.035935E-06,9.507592E-08,1.525520E-05,1.752029E-05,6.980668E-07,1.787955E-06,2.113131E-07,4.760730E-06,1.151104E-05,8.206221E-06,1.233826E-06,4.535766E-08,2.426850E-05,7.314435E-06,6.788946E-08,2.381712E-06,1.569676E-05,3.144415E-08,6.561593E-06,2.520660E-05,5.582250E-08,2.847666E-05,2.082216E-05,4.176309E-07,4.270230E-07,4.631720E-06,1.381053E-05,7.969370E-06,2.380895E-07,3.130355E-06,4.128115E-08,1.644133E-07,2.404247E-06,2.388318E-06,6.705839E-08,1.207758E-06,6.309478E-07,4.286285E-07,3.736295E-05
6000,2.622378E-06,8.515973E-08,1.052334E-07,1.235134E-08,4.457283E-08,1.884415E-06,3.188736E-08,5.321150E-08,1.961941E-06,9.548096E-06,4.940536E-10,7.904857E-09,9.018633E-07,1.282994E-06,2.009414E-08,1.764862E-05,1.149578E-06,1.796323E-06,7.567142E-06,5.564403E-06,4.003960E-09,6.846612E-08,1.651397E-06,1.073156E-06,1.552716E-07,3.895419E-08,7.564212E-06,1.485728E-05,3.432149E-07,1.067210E-05,8.949923E-07,1.008955E-06,1.250234E-06,1.506983E-07,3.802194E-08,2.331236E-06,5.061264E-10,1.595134E-05,6.027454E-08,8.246494E-09,1.506943E-05,4.920729E-06,6.181371E-06,3.337364E-05,1.308619E-06,2.756650E-06,2.253832E-05,4.561555E-07,3.238748E-08,4.290145E-07,5.706937E-06,1.302259E-05,1.329636E-06,8.202159E-06,2.522182E-07,5.102111E-07,3.130162E-05,2.770554E-06,1.147044E-05,1.107767E-07,4.753057E-06,1.028133E-05,6.114023E-07,8.278909E-06,1.287722E-06,4.780247E-06,1.264327E-06,6.607043E-06,1.032405E-07,3.299019E-08,1.664042E-06,9.599119E-05,1.039263E-04,5.750173E-06,7.559084E-08,5.964469E-07,1.775981E-06,1.393965E-06,4.916155E-06,1.535344E-04,4.980364E-06,3.499062E-05,1.235134E-08,3.347723E-06,1.891503E-06,1.433869E-07,2.926260E-05,0.000000E+00,1.055011E-07,1.471016E-05,9.689025E-06,8.096871E-09,3.674003E-07,8.671589E-06,4.849495E-07,4.446482E-09,1.022454E-06,1.292232E-04,6.078059E-08,1.691236E-05,3.289376E-05,1.447276E-07,6.411543E-07,1.505738E-06,6.014130E-06,4.646224E-08,3.995065E-05,4.252857E-07,5.222740E-07,5.308783E-07,9.881071E-09,4.340949E-07,0.000000E+00,1.509150E-05,2.144109E-07,3.752290E-08,4.940536E-10,2.649706E-06,5.422098E-06,1.082365E-05
7000,5.376350E-07,2.608686E-05,1.954663E-06,4.750721E-07,6.862860E-07,6.206935E-07,3.371934E-06,1.548187E-06,8.008251E-07,2.262942E-06,2.997056E-06,6.534067E-06,8.455764E-06,1.973794E-06,6.935759E-06,8.476799E-07,8.062818E-06,1.647500E-05,2.157172E-05,2.308215E-05,6.769655E-06,1.486975E-07,7.855484E-06,4.828091E-06,0.000000E+00,2.347622E-09,2.575519E-07,2.470485E-06,7.882901E-09,9.848238E-06,3.635403E-07,8.072423E-06,1.439170E-08,3.881590E-06,1.752777E-06,1.302978E-07,7.444563E-07,1.052111E-05,3.537900E-07,7.361533E-08,6.545059E-07,2.751765E-07,5.936852E-06,1.703232E-06,2.802596E-07,5.011279E-05,1.295636E-06,4.994272E-06,1.168822E-08,1.001419E-06,7.670666E-08,1.138485E-05,8.611025E-07,2.266160E-06,3.628244E-06,8.014193E-06,4.523390E-05,6.147689E-06,2.577091E-05,8.842198E-08,7.081572E-07,3.093991E-06,7.840462E-07,1.681372E-05,2.736820E-08,5.662931E-07,1.077150E-06,1.764746E-05,9.778963E-08,1.507647E-09,1.138408E-05,7.545711E-06,1.591127E-07,2.302039E-05,0.000000E+00,7.823579E-06,9.271814E-06,2.934931E-06,3.356154E-08,2.177415E-05,1.229148E-07,2.121736E-05,5.389541E-06,8.900177E-05,6.581613E-05,2.422076E-05,1.377685E-06,1.084571E-07,1.977969E-05,7.727653E-06,1.000164E-09,1.583198E-07,2.633103E-07,4.111008E-05,1.385275E-05,3.768916E-06,1.775420E-06,4.163491E-05,7.635533E-07,5.725105E-07,1.917419E-05,1.539679E-07,4.902231E-05,1.043632E-05,2.870328E-05,7.291684E-08,4.636875E-05,2.196649E-07,7.696221E-05,3.287463E-06,3.769597E-07,2.507853E-06,1.936912E-07,1.690858E-06,1.600043E-05,6.657930E-09,2.476958E-06,1.009770E-07,4.089255E-08,2.264381E-06
8000,2.305635E-06,1.540286E-07,5.813776E-07,0.000000E+00,6.202249E-08,1.577303E-07,1.907536E-06,2.004956E-05,2.008829E-07,4.014059E-05,1.516516E-06,1.536361E-06,2.462182E-05,1.623820E-07,1.914224E-05,1.395680E-08,1.120131E-05,1.482673E-05,1.299998E-05,3.234597E-05,1.179878E-06,4.792748E-07,8.953371E-05,1.575948E-06,3.367755E-07,8.191871E-07,3.861775E-07,5.030838E-07,7.606676E-08,4.463363E-06,4.829239E-07,7.184062E-08,1.024709E-07,2.558705E-05,1.473568E-06,2.460789E-06,6.916258E-07,1.600185E-05,6.237054E-08,8.365326E-07,7.547393E-06,5.595537E-06,7.285054E-05,5.657033E-06,1.320922E-07,2.545176E-05,6.936755E-07,9.496349E-06,4.776720E-06,7.312079E-07,1.617167E-08,1.732141E-08,4.473056E-07,4.611370E-06,2.010154E-06,1.809533E-06,6.809965E-07,2.958055E-06,1.987003E-05,1.615230E-06,1.878779E-07,1.907163E-06,1.732703E-06,6.640501E-05,1.591870E-06,2.063627E-09,5.624842E-06,3.835919E-06,4.413772E-09,1.010416E-08,4.995785E-08,2.597009E-05,5.162854E-05,3.598302E-05,4.596519E-09,1.102964E-05,6.182830E-07,1.792494E-08,1.004143E-09,7.050757E-05,4.168259E-06,8.761828E-06,4.702605E-06,1.038027E-04,4.452133E-05,4.667642E-05,1.173044E-06,1.010586E-07,4.836759E-08,6.906711E-07,1.732141E-07,1.880621E-07,5.906528E-06,1.782962E-06,1.342950E-07,3.401116E-06,5.065896E-06,5.421609E-05,1.582984E-07,1.624649E-07,5.828397E-06,2.761241E-09,1.166132E-06,8.698809E-06,4.485367E-05,5.218253E-06,7.785494E-06,4.651828E-08,1.156371E-04,2.453691E-06,1.889808E-08,2.387395E-06,1.011955E-06,2.958459E-05,4.215599E-05,1.063530E-06,2.340436E-07,8.667028E-07,1.235863E-06,1.845215E-05
9000,7.696165E-07,3.136578E-06,9.722175E-06,5.579776E-09,1.209101E-06,2.611811E-07,1.097895E-05,2.709783E-05,1.620914E-07,6.580949E-08,4.117024E-06,2.452314E-08,7.764730E-05,5.428357E-06,5.767796E-05,0.000000E+00,3.489936E-05,3.042383E-07,5.124514E-05,6.070107E-06,1.383684E-05,4.354627E-09,2.476627E-05,6.310131E-07,2.566270E-07,7.041346E-07,2.424677E-07,5.458467E-06,1.118709E-07,1.864026E-05,4.563668E-09,2.372777E-06,2.259184E-06,1.529272E-06,7.377546E-06,3.264936E-06,3.904208E-06,1.791824E-06,1.225604E-05,5.830756E-06,4.388348E-08,2.514595E-05,9.882486E-05,6.792100E-05,4.711894E-07,5.070742E-10,8.738324E-06,9.095331E-07,2.302057E-05,1.801594E-07,4.564060E-09,1.824369E-08,7.376901E-07,7.114320E-05,4.602383E-06,2.066363E-06,1.192527E-05,9.216018E-08,1.369753E-06,3.263281E-06,3.223238E-07,7.347461E-06,2.465364E-09,2.353514E-06,1.127628E-05,1.902522E-05,3.129127E-07,7.233868E-06,1.183690E-06,1.526088E-06,1.389937E-07,2.944929E-05,1.312135E-05,4.004641E-05,1.253368E-07,1.277511E-06,2.711040E-06,1.000147E-09,1.246981E-06,4.536984E-05,2.997197E-06,3.113908E-06,3.367911E-06,5.763730E-05,8.503669E-06,9.799842E-06,2.555695E-06,2.382816E-06,5.039154E-06,1.878588E-07,1.692493E-06,5.552000E-07,5.047237E-07,1.343432E-05,5.966181E-08,4.678093E-07,3.587052E-07,1.402992E-05,2.766808E-08,5.863521E-06,2.135489E-06,1.586862E-07,3.677456E-05,1.384239E-06,1.832437E-05,1.221843E-07,2.147309E-06,2.586381E-08,8.399421E-06,1.527570E-07,3.123445E-08,3.007691E-07,1.064856E-08,4.871326E-07,4.275003E-06,5.922439E-07,2.609650E-07,2.636210E-07,7.408509E-08,2.761969E-05
10000,1.375694E-06,6.177712E-07,2.130200E-05,4.223576E-06,2.110847E-07,2.136913E-08,2.553148E-06,1.029984E-05,6.004434E-08,1.693263E-06,9.799823E-06,2.758303E-08,1.628830E-05,3.633927E-06,2.065499E-06,2.563173E-09,1.017118E-05,4.890564E-09,2.179675E-04,2.560692E-08,2.643142E-06,2.538365E-09,9.497722E-05,2.025648E-06,2.059184E-06,3.085354E-09,1.778648E-07,3.859089E-06,4.403530E-07,2.065568E-05,3.882691E-07,2.089783E-08,1.646846E-07,2.987966E-07,1.414523E-05,4.002928E-05,1.104204E-05,2.149697E-06,5.083323E-08,1.071947E-06,4.604568E-06,5.107255E-06,4.222551E-05,1.777126E-06,2.156679E-06,1.420199E-08,1.482688E-05,2.342232E-06,6.070761E-06,4.303808E-06,1.845484E-08,7.808015E-08,6.405876E-07,9.171329E-06,7.033096E-06,3.083006E-05,1.764547E-05,3.197186E-09,8.671855E-07,2.180552E-08,3.942159E-07,1.311385E-05,2.557177E-07,1.568497E-07,4.351340E-07,2.826585E-08,5.126345E-10,6.342793E-06,1.704982E-07,1.749953E-07,6.477817E-07,1.086194E-05,4.060656E-07,9.380829E-05,1.557353E-06,2.454201E-05,5.997674E-06,9.728064E-08,7.190727E-07,6.987953E-06,9.611376E-07,1.876383E-05,3.927423E-09,1.545188E-05,1.627043E-05,9.325997E-06,1.573393E-07,5.126345E-10,2.568967E-08,1.951308E-09,9.214663E-06,9.902713E-07,5.822109E-06,2.188243E-06,4.632031E-07,4.613711E-09,2.523657E-07,4.661020E-05,3.890003E-08,4.662493E-08,2.858685E-05,9.303819E-09,7.828488E-06,3.574432E-06,7.201440E-07,9.349079E-09,2.592491E-05,2.842613E-06,6.077219E-05,7.353129E-06,5.073400E-08,1.253975E-06,6.288045E-06,5.824600E-08,2.139770E-05,8.811183E-06,6.674987E-08,3.607542E-06,8.627188E-09,1.004800E-04
