Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,5.860028E-04,6.773298E-04,4.037957E-05,1.400044E-04,6.453969E-03,5.901831E-04,3.000265E-05,9.500789E-03,9.420932E-05,1.191541E-03,1.052800E-03,1.003609E-04,6.419057E-04,5.516157E-03,2.904083E-03,1.641195E-04,1.130422E-03,1.250294E-03,3.778584E-04,1.658077E-04,4.843565E-03,9.561945E-05,1.208642E-03,2.725772E-03,9.983482E-05,2.945750E-04,1.244939E-03,9.906875E-06,9.590147E-05,3.640073E-03,1.009489E-04,2.892767E-03,2.827118E-03,1.889087E-04,1.395243E-04,2.737522E-03,7.249792E-03,2.841235E-03,6.832774E-04,0.000000E+00,1.222858E-02,1.103798E-04,0.000000E+00,5.662380E-04,6.587332E-04,1.786620E-03,7.121549E-04,1.625784E-03,4.117314E-04,1.261861E-04,7.319127E-04,4.278827E-03,4.667775E-03,2.231867E-04,3.903027E-03,6.352411E-03,3.484068E-04,2.256474E-03,1.097277E-04,2.009578E-05,2.925639E-04,2.295573E-04,8.603987E-03,7.405904E-04,2.514322E-05,2.770075E-03,1.004599E-04,5.606207E-03,0.000000E+00,8.631423E-04,1.691544E-03,3.015658E-03,6.505275E-05,5.861618E-04,3.764113E-04,9.481788E-04,2.407440E-03,9.999884E-06,3.302801E-03,2.014338E-04,1.221173E-03,2.485479E-03,6.474672E-05,1.223450E-03,6.580711E-04,4.722767E-04,2.393882E-04,1.615183E-04,1.469165E-03,2.469488E-04,2.456087E-03,3.307034E-03,7.011200E-04,5.523688E-05,1.024951E-02,1.188758E-03,3.504610E-05,1.447474E-03,3.741257E-03,1.394768E-03,1.211625E-02,1.990776E-05,3.016379E-03,3.757234E-03,5.552191E-05,9.523385E-03,5.130682E-03,1.635523E-03,5.859200E-03,3.741154E-03,7.917881E-03,8.049121E-04,7.318097E-04,1.838259E-03,0.000000E+00,1.358110E-04,1.550009E-03,2.486120E-05,2.446666E-04,1.600881E-04
2000,1.118840E-03,8.624188E-05,5.637549E-04,7.323507E-03,1.972977E-03,3.161756E-04,6.130855E-03,8.434550E-03,1.521916E-05,1.931200E-04,4.537471E-04,1.014610E-04,3.507627E-05,1.382240E-02,8.295455E-03,3.724482E-04,3.978581E-03,3.641474E-03,1.521916E-05,2.905362E-04,4.697540E-03,9.392348E-05,9.114589E-03,2.014818E-05,2.797470E-03,3.080079E-04,6.915034E-05,2.536526E-05,4.650844E-04,1.366843E-04,6.929977E-04,7.581061E-03,1.243950E-02,2.865474E-04,7.880034E-04,4.929022E-06,2.288096E-02,2.411007E-03,5.134457E-03,7.918652E-04,1.832258E-02,1.521916E-05,1.420455E-04,4.672618E-03,6.450938E-05,2.012874E-03,7.435342E-05,9.858044E-06,1.505852E-04,3.685894E-04,1.119722E-02,8.192121E-03,5.932554E-03,1.014610E-05,7.695856E-03,2.812734E-03,2.216494E-03,6.594968E-05,7.325565E-03,2.323082E-04,5.492702E-03,6.399207E-04,9.106838E-04,1.146366E-03,2.822364E-03,3.367562E-03,5.155709E-03,1.978745E-02,1.284985E-03,2.052596E-04,0.000000E+00,7.507869E-03,6.436535E-05,3.252690E-03,2.363780E-04,9.030673E-05,4.510815E-03,1.682653E-03,2.014818E-05,2.537428E-03,6.606650E-04,6.053396E-03,9.858044E-06,1.521916E-05,4.649794E-03,3.061495E-03,6.612866E-03,3.075288E-04,3.985964E-03,2.541887E-04,2.588849E-03,1.391734E-03,2.756962E-03,1.268263E-04,6.376034E-03,4.204632E-03,4.240749E-04,1.359385E-02,2.482372E-03,1.123078E-02,1.043853E-02,8.968860E-05,2.742559E-03,1.009105E-02,5.015440E-05,4.986116E-03,8.453721E-03,9.858044E-06,1.223218E-03,6.261642E-03,1.203550E-02,6.808332E-04,3.029148E-04,2.531258E-03,7.812370E-04,1.000207E-05,2.266454E-03,9.117091E-05,4.640573E-03,1.277201E-02
3000,3.790979E-03,4.153292E-04,6.458802E-04,6.308531E-03,3.598768E-04,1.208439E-03,6.418823E-03,3.948667E-05,1.010211E-04,3.030682E-03,1.809576E-04,1.496504E-03,9.897673E-05,3.873255E-04,1.182637E-02,4.750903E-04,1.363608E-03,1.004928E-02,7.779154E-03,1.961443E-03,1.236345E-02,1.141080E-03,1.770747E-02,9.628887E-04,1.027818E-02,2.725641E-04,4.081110E-04,4.683732E-04,9.609414E-04,1.186048E-03,0.000000E+00,4.961839E-05,3.314495E-03,3.237868E-03,6.927317E-03,6.478095E-05,8.267343E-03,2.056818E-04,3.961670E-05,3.581322E-03,2.605091E-02,2.026342E-05,4.551869E-03,6.447914E-03,8.267072E-03,5.065856E-06,2.898105E-03,7.053192E-05,2.740583E-04,0.000000E+00,2.033362E-03,1.030576E-02,1.106652E-02,2.161008E-03,2.673632E-04,6.786547E-04,6.650121E-03,2.075651E-04,1.753943E-02,1.704508E-04,8.759246E-03,1.225016E-03,2.285308E-03,4.729105E-03,4.935834E-06,6.558908E-05,6.542836E-04,2.164884E-02,9.178331E-04,7.425745E-04,0.000000E+00,6.239595E-03,2.987405E-05,1.391021E-02,1.974334E-05,3.564385E-03,7.210999E-04,5.175631E-03,5.588885E-04,3.437770E-03,7.327432E-03,1.759043E-02,1.162206E-04,7.910337E-05,7.427073E-03,4.176330E-03,1.265741E-02,1.181292E-02,2.141265E-03,3.699405E-04,1.559443E-02,2.591291E-03,3.362938E-04,5.065856E-06,1.212725E-02,4.697098E-03,4.292206E-03,1.893900E-02,8.499044E-03,8.056031E-03,9.285981E-03,0.000000E+00,4.465014E-03,9.217186E-03,2.888788E-04,4.987843E-05,1.408816E-02,1.678184E-04,3.371775E-03,5.550523E-03,8.960519E-03,5.468424E-05,2.105016E-04,5.442420E-05,1.763298E-04,5.287759E-03,1.480750E-05,1.879578E-04,7.996851E-04,2.005137E-02
4000,5.635985E-03,1.504419E-04,3.193461E-04,3.646437E-04,9.992303E-03,2.204591E-03,1.674774E-03,5.463119E-03,4.193860E-03,2.661534E-03,8.450891E-03,7.548215E-03,4.292336E-04,1.450479E-04,9.953541E-03,1.452659E-04,8.019304E-05,3.421592E-03,5.674750E-03,8.969986E-04,4.338116E-03,7.310058E-03,4.179434E-02,1.595053E-03,6.797350E-03,2.766182E-03,8.742433E-04,8.827508E-03,1.051034E-04,8.185309E-03,6.765338E-04,4.583499E-04,1.968677E-03,1.381483E-03,1.687088E-03,7.348317E-03,2.992839E-05,6.170820E-04,0.000000E+00,9.033957E-04,2.383564E-02,6.826088E-04,9.719376E-03,4.614639E-03,1.205319E-02,2.486732E-03,8.169972E-03,3.292545E-03,5.825575E-04,2.624309E-03,5.961677E-04,1.824396E-02,6.396408E-03,7.819727E-03,3.494645E-05,6.271731E-04,1.104983E-02,3.591857E-04,2.184928E-02,1.252356E-04,1.434816E-02,4.565776E-03,1.000013E-05,4.044443E-03,3.845880E-04,4.501458E-05,4.088843E-04,1.504651E-02,1.378580E-03,1.153075E-04,1.270514E-03,7.188743E-03,1.387676E-03,1.454644E-02,8.413419E-04,4.016527E-03,4.014452E-05,2.511654E-03,1.142754E-03,3.471825E-03,1.233406E-02,1.615585E-02,2.099901E-03,6.564325E-03,2.058127E-03,3.435897E-03,8.519577E-03,5.644903E-03,1.131477E-03,8.117733E-03,1.442186E-02,1.501819E-05,1.202896E-04,2.585216E-03,1.465429E-02,3.168376E-03,9.744919E-03,3.433651E-02,3.505245E-05,1.104111E-02,2.530368E-02,3.212483E-03,2.984851E-03,5.327619E-03,1.495739E-04,7.006891E-05,2.881020E-02,8.987828E-03,2.632735E-03,3.992292E-04,7.460278E-03,6.386043E-04,2.099517E-04,3.391124E-04,1.043252E-03,9.607816E-03,5.676748E-03,4.068211E-03,3.007239E-05,2.015102E-02
5000,4.689363E-04,4.469546E-05,2.230373E-04,1.737985E-04,4.469137E-03,8.640645E-03,1.289540E-04,1.316643E-03,3.241303E-03,8.102777E-04,1.513317E-05,1.581341E-03,3.092726E-03,1.252917E-04,9.390666E-03,4.968443E-03,1.577446E-03,1.652678E-04,1.973955E-02,2.574971E-03,7.060802E-03,5.938234E-03,3.791327E-02,2.788350E-03,6.702732E-03,3.641532E-04,0.000000E+00,1.454583E-02,7.836687E-04,1.488475E-02,2.237413E-04,1.495716E-05,1.092239E-03,5.376886E-04,8.628478E-04,5.125373E-03,3.680445E-04,5.123725E-03,4.976675E-04,8.412111E-04,1.843844E-02,5.807504E-03,1.837332E-02,1.602953E-02,2.204847E-03,1.000077E-05,1.642250E-02,9.481034E-04,2.261467E-03,6.563598E-04,1.941670E-04,8.232020E-03,2.533220E-03,3.699047E-03,4.769331E-03,0.000000E+00,1.706729E-02,2.059398E-02,1.355450E-02,1.437351E-04,7.942157E-03,4.443338E-03,3.583478E-04,1.574136E-02,3.450267E-04,3.982208E-05,3.407013E-03,9.615613E-03,4.314834E-04,1.014368E-02,2.000155E-05,2.066868E-02,1.301144E-02,1.216422E-02,1.813860E-04,7.443142E-03,6.622603E-04,1.712233E-04,3.315166E-03,1.137052E-02,2.098018E-02,1.915016E-02,2.406316E-04,3.052367E-02,1.364668E-02,4.174189E-03,4.701030E-03,1.500996E-04,3.328570E-03,5.818810E-03,2.011419E-02,7.089519E-04,3.036645E-04,8.346815E-03,1.264693E-02,1.093045E-04,5.592064E-03,3.801500E-02,3.965107E-05,1.996763E-02,3.487691E-02,7.035745E-05,1.318021E-02,8.310964E-03,1.459965E-03,2.531276E-04,1.949939E-02,1.338560E-02,1.936721E-02,8.224117E-04,5.670771E-03,8.745017E-04,4.091837E-04,5.719387E-03,8.971035E-03,1.123028E-03,1.441484E-03,5.731944E-04,3.030127E-03,1.358899E-02
6000,1.650646E-03,3.495576E-04,9.443340E-05,2.485089E-05,5.982215E-05,3.418203E-03,2.504028E-03,1.172666E-03,5.057143E-03,1.795645E-03,4.970179E-06,1.988072E-05,9.968021E-03,5.651044E-03,7.004512E-04,5.139014E-03,1.103413E-02,9.853985E-04,9.144053E-03,5.994536E-03,8.995424E-05,1.150841E-04,2.409421E-02,3.222880E-03,1.742503E-04,7.539271E-05,2.482436E-03,6.409355E-03,1.556996E-04,1.872794E-02,5.889102E-04,5.201307E-03,5.210066E-03,1.441952E-04,5.966775E-04,2.654951E-03,1.502954E-05,1.700783E-02,5.964215E-05,1.274355E-03,1.316300E-02,4.839386E-03,3.654401E-02,1.298779E-02,8.993264E-04,1.886948E-03,1.076764E-02,5.622590E-03,4.024145E-05,8.980883E-04,8.910438E-03,4.273367E-03,6.162622E-04,1.832158E-02,4.501246E-03,3.301079E-04,2.028918E-02,9.608026E-03,3.152555E-02,4.837794E-04,1.015737E-02,2.347469E-02,1.249491E-03,1.986048E-02,4.543636E-03,1.901614E-03,3.092744E-03,2.222797E-02,2.597934E-04,5.526299E-05,8.103145E-03,2.675918E-02,2.241975E-02,9.580651E-03,1.045448E-04,1.266869E-02,9.924931E-03,6.580347E-04,3.314669E-03,1.592018E-02,1.421753E-02,2.903007E-02,2.485089E-05,2.843215E-02,1.515507E-02,7.442718E-03,1.111352E-02,0.000000E+00,1.950620E-04,2.262525E-02,5.659744E-03,2.012072E-05,7.585773E-04,7.186403E-03,1.161635E-02,1.491054E-05,2.367352E-03,3.101241E-02,9.449340E-05,5.168231E-03,3.789706E-02,1.199443E-04,1.532177E-02,1.262000E-02,1.700343E-02,2.905863E-03,2.002294E-02,2.944206E-04,2.570619E-02,5.713426E-04,2.982107E-05,1.206195E-03,0.000000E+00,1.295234E-02,9.479374E-03,5.074533E-04,4.970179E-06,1.082671E-02,1.708011E-03,1.501028E-02
7000,6.972391E-03,3.811980E-03,1.205974E-02,8.421361E-04,1.287963E-03,9.134730E-04,1.901193E-02,9.843153E-03,3.682314E-03,4.645969E-03,1.896281E-03,4.925887E-03,1.513728E-02,3.316113E-03,1.164643E-03,1.483494E-03,2.168271E-02,6.999770E-03,1.098452E-02,1.389856E-02,5.148581E-03,1.654381E-04,2.520732E-02,3.683083E-03,0.000000E+00,5.486800E-05,4.489496E-04,3.159700E-03,1.985309E-05,5.677618E-03,2.084926E-03,8.027229E-03,5.488901E-05,3.173051E-03,2.549120E-03,3.936186E-04,2.631274E-04,1.841197E-02,3.996329E-04,9.040395E-05,1.535218E-02,5.678836E-03,3.820953E-02,2.610563E-02,1.701573E-04,2.302826E-02,6.224871E-03,1.101840E-02,6.495456E-05,2.237246E-03,3.808933E-03,9.952221E-03,6.172358E-04,2.115261E-02,1.642246E-02,3.328252E-03,6.006026E-03,8.724491E-03,1.510748E-02,9.036095E-05,7.319401E-04,3.225676E-02,7.668460E-04,2.249516E-02,5.947028E-03,5.747768E-03,2.187824E-03,1.953230E-02,6.611372E-04,1.503782E-05,1.424751E-03,1.400807E-02,7.931568E-03,1.535146E-02,0.000000E+00,1.736161E-02,4.803160E-03,1.048460E-02,4.978073E-05,2.863252E-02,2.747055E-03,2.158496E-02,4.280193E-03,2.731249E-02,3.136377E-02,1.580829E-02,6.456104E-04,8.521227E-04,1.194622E-02,1.112013E-02,1.000055E-05,6.329877E-04,4.587978E-03,1.632060E-02,5.487953E-03,1.502799E-03,7.570531E-03,2.696096E-02,4.448514E-04,2.680907E-04,3.047690E-02,4.500826E-04,2.472944E-02,9.188053E-03,1.213507E-02,6.948581E-05,2.323995E-02,2.634280E-03,2.747567E-02,2.684636E-03,3.827740E-04,1.171142E-02,2.294386E-04,3.397567E-03,1.313491E-02,2.194100E-04,2.227347E-03,3.436698E-04,5.459599E-05,1.598845E-02
8000,1.353137E-02,1.213657E-04,7.586107E-03,0.000000E+00,2.334249E-04,6.176415E-04,1.594567E-03,1.907032E-02,5.393270E-04,7.297693E-03,1.042569E-03,8.474451E-03,1.618748E-02,3.442245E-03,7.441677E-03,3.248733E-04,2.449673E-02,7.249062E-03,1.161873E-02,2.182398E-02,1.674690E-02,7.574211E-04,2.802045E-02,6.261178E-03,1.628403E-03,8.937974E-04,7.083886E-04,2.399594E-03,1.308102E-04,1.827887E-02,1.139881E-03,2.262553E-03,8.137363E-05,4.254081E-03,7.138888E-03,1.357916E-03,6.866494E-04,1.376932E-02,1.107758E-03,1.409199E-03,2.967244E-03,1.290587E-02,3.671263E-02,2.750120E-02,1.025900E-03,6.499662E-03,1.554478E-02,1.470620E-02,7.517928E-03,5.406924E-03,3.929989E-04,2.942908E-05,4.028376E-04,2.045155E-02,6.011811E-03,1.069146E-02,1.478625E-02,2.314050E-03,1.215722E-02,1.130412E-03,5.990054E-03,2.093578E-02,1.863489E-03,1.449733E-02,3.882067E-03,1.161186E-02,2.519896E-03,8.150005E-03,2.496640E-04,3.433392E-05,1.958547E-04,2.212194E-02,6.313332E-03,2.774448E-02,2.939406E-04,1.961425E-02,3.056369E-03,1.005919E-04,3.000729E-05,2.307406E-02,2.438449E-03,4.931481E-03,5.703156E-03,2.204525E-02,2.768275E-02,2.716140E-02,2.746714E-04,2.217855E-04,5.098227E-03,4.638116E-04,1.177163E-04,2.256644E-03,4.082340E-03,1.906162E-02,1.881128E-04,2.160435E-03,6.420663E-03,3.796719E-02,1.030018E-04,1.071861E-03,2.247852E-02,3.529628E-05,8.326924E-04,1.255448E-02,2.285241E-02,3.771105E-03,2.319697E-02,1.111358E-04,2.474719E-02,1.560192E-03,9.167460E-04,4.030438E-03,3.031839E-03,6.294434E-03,1.466994E-02,4.089289E-04,5.811617E-04,1.760771E-03,2.160560E-03,4.625381E-02
9000,8.314923E-03,2.397171E-03,1.021792E-02,7.508868E-05,2.670299E-03,4.132893E-04,1.156710E-02,1.852382E-02,2.137205E-03,2.450780E-04,9.108919E-03,1.894749E-03,2.120422E-02,3.281633E-03,1.430912E-02,0.000000E+00,1.531223E-02,4.921891E-04,1.815071E-02,8.901949E-03,1.738161E-02,3.488671E-05,2.857153E-02,1.621647E-03,1.163462E-03,1.235602E-03,7.165411E-04,1.280347E-02,6.465177E-04,1.901968E-02,1.510574E-05,5.938902E-03,3.132804E-03,7.855545E-04,1.875178E-02,7.100328E-03,1.158255E-02,1.823912E-02,4.302138E-03,1.081634E-03,7.447865E-05,1.353706E-02,4.762482E-02,3.654338E-02,9.283685E-04,5.035247E-06,1.417129E-02,9.159677E-03,3.923469E-03,8.377585E-03,3.510272E-05,3.475670E-05,8.351989E-04,2.585080E-02,1.055996E-02,1.318323E-02,2.390495E-02,3.298412E-04,4.165570E-03,4.923547E-03,2.660780E-04,2.637330E-02,1.489573E-05,1.277913E-03,4.657333E-03,1.590408E-02,1.410735E-03,1.246223E-02,1.678793E-03,2.744349E-03,1.457431E-03,1.049458E-02,1.122443E-02,2.679908E-02,4.632657E-04,2.343640E-02,4.073600E-04,1.000049E-05,2.929494E-04,3.266386E-02,3.181475E-03,1.078464E-02,2.567549E-03,2.456657E-02,3.116952E-02,2.937567E-02,1.360435E-03,8.882255E-04,1.242689E-03,5.824815E-04,8.686516E-04,2.780536E-04,1.031304E-02,1.901380E-02,5.461768E-05,5.324921E-04,7.295727E-04,3.443798E-02,5.972293E-05,1.720844E-03,1.361489E-02,1.559526E-04,1.067419E-02,1.288504E-02,1.602900E-02,1.745206E-04,2.544841E-02,4.993245E-05,1.556466E-02,1.925484E-03,1.247321E-04,5.005953E-03,3.524673E-05,7.312164E-03,7.457611E-03,3.675718E-03,1.949918E-03,1.952286E-04,5.630646E-04,5.123952E-02
10000,1.041462E-03,1.014663E-02,1.770505E-02,3.160586E-03,6.248453E-03,8.441498E-05,1.415619E-02,1.888042E-02,8.026034E-05,2.638805E-03,2.610359E-02,5.037975E-05,3.192293E-02,1.583820E-02,1.708082E-02,1.518834E-05,4.802017E-03,3.143343E-04,4.962996E-02,4.037821E-05,3.041228E-02,1.506432E-05,2.553862E-02,5.202025E-03,2.342844E-03,5.868502E-04,4.286879E-04,1.332451E-02,2.075739E-04,3.229587E-02,1.411327E-03,1.994037E-04,5.542672E-04,3.313509E-04,2.476847E-02,1.720066E-02,6.387254E-03,3.436147E-03,5.951315E-05,7.000016E-04,2.765689E-03,1.296511E-02,5.029271E-02,3.875020E-02,1.640680E-03,4.197873E-03,1.460290E-02,1.603197E-02,7.599783E-03,1.847590E-02,3.037667E-05,1.292119E-04,1.293932E-03,2.631413E-02,2.840284E-02,1.997826E-02,1.835774E-02,9.994337E-05,1.276350E-03,5.444337E-05,1.771972E-04,1.347556E-02,2.143500E-04,1.894221E-04,2.718618E-04,2.438057E-02,5.062778E-06,1.800482E-02,1.741448E-04,4.425312E-03,1.192981E-03,1.796965E-02,9.482768E-04,3.210827E-02,6.436990E-04,1.999213E-02,4.691440E-03,1.371572E-03,3.173122E-03,3.853793E-02,4.352205E-03,1.153299E-02,2.975658E-05,2.625414E-02,3.428244E-02,2.839384E-02,2.515547E-04,5.062778E-06,6.665055E-04,9.877519E-06,3.516871E-03,5.286943E-04,8.453396E-03,9.529875E-03,5.287453E-03,1.518834E-05,2.614857E-03,2.696106E-02,1.497710E-04,6.569210E-05,1.038415E-02,8.513909E-05,1.925668E-02,2.289320E-02,1.766820E-02,4.828973E-04,1.497280E-02,1.190561E-03,2.421538E-02,5.537737E-03,5.926511E-05,8.120909E-04,1.212152E-03,1.678404E-03,7.867148E-03,3.147447E-03,1.206385E-04,1.139706E-03,4.630972E-04,6.669135E-02
