Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,7.500328E-04,3.810137E-04,1.656109E-04,2.865396E-04,1.480544E-03,8.952697E-04,1.173277E-04,3.104048E-03,8.401515E-04,1.000288E-03,9.845047E-04,1.838906E-04,4.398024E-05,6.423499E-04,4.687451E-04,6.172047E-04,9.417856E-04,1.006504E-03,1.541681E-03,6.244189E-04,1.564927E-04,6.296565E-04,3.777621E-04,1.376928E-05,1.339211E-05,4.904611E-04,5.459641E-04,4.907121E-05,4.319081E-04,4.888231E-04,2.344189E-04,1.420799E-03,4.852380E-06,6.127347E-04,6.240113E-04,2.862004E-04,2.645540E-05,2.478050E-04,2.515149E-04,NA,1.314926E-04,2.521769E-04,NA,6.291470E-04,1.262279E-03,1.348088E-04,8.727703E-04,7.292679E-04,5.292686E-04,6.627668E-04,1.724682E-04,5.785963E-04,4.476209E-04,9.880296E-04,3.488243E-05,1.003610E-04,4.072236E-04,3.856571E-04,2.398985E-04,7.595904E-05,2.668482E-03,3.141219E-04,3.539913E-06,1.346792E-04,1.728797E-04,9.139273E-04,7.702463E-05,1.218784E-04,NA,8.631080E-04,1.910194E-05,2.242509E-04,2.902595E-04,7.127247E-05,6.158331E-04,6.787123E-04,9.240035E-05,8.837665E-09,3.092904E-04,5.440094E-04,3.398642E-05,3.294059E-05,4.796446E-05,2.748379E-04,1.937782E-04,1.748469E-04,8.302737E-04,8.349722E-04,3.658654E-04,1.157970E-03,1.104731E-03,4.490496E-04,1.582342E-04,1.518571E-04,3.774344E-04,2.128200E-04,3.613901E-05,1.261370E-03,1.995672E-03,8.420901E-04,2.492543E-04,7.407873E-05,4.502643E-04,4.011909E-04,3.382278E-04,9.749393E-05,1.105807E-04,5.684821E-04,1.266887E-03,2.411567E-03,4.651470E-04,7.321391E-04,3.708465E-05,3.062862E-04,NA,4.617578E-04,2.734963E-04,1.672382E-04,3.127163E-05,3.580827E-04
2000,1.011078E-04,3.482366E-04,3.677466E-04,1.265046E-04,5.803365E-04,5.106707E-04,1.324462E-04,2.209667E-04,8.577555E-05,4.984610E-04,5.117375E-04,1.030251E-03,5.148580E-05,1.020583E-05,7.423241E-04,2.049580E-04,7.218735E-04,3.320241E-04,1.544063E-04,1.453502E-04,3.058800E-04,5.787640E-04,4.348358E-04,1.279484E-04,7.962450E-04,3.359341E-04,5.904696E-04,1.132267E-04,4.038226E-04,1.024095E-03,6.843230E-05,1.154596E-03,3.835698E-04,8.593570E-04,3.278377E-04,4.858287E-05,1.241940E-05,2.634379E-04,2.911502E-04,2.938430E-04,1.358775E-04,8.577555E-05,1.442929E-03,2.668987E-04,2.300026E-04,1.113530E-03,1.116986E-04,9.717060E-05,3.288126E-04,1.834678E-04,3.792704E-04,2.485163E-03,7.437146E-04,1.029324E-04,1.360495E-04,1.376086E-03,4.334582E-04,6.694286E-04,2.635538E-06,1.357763E-03,2.415648E-04,1.490152E-04,1.940747E-04,5.650120E-05,7.442465E-04,1.513783E-04,3.095923E-05,1.590079E-04,7.613386E-05,1.862530E-04,NA,1.257978E-05,3.335897E-04,5.517012E-05,7.361072E-04,2.762511E-04,3.947223E-06,8.356012E-07,1.279484E-04,6.313975E-04,4.834325E-04,6.145460E-04,9.717060E-05,1.544063E-04,1.970589E-06,8.057345E-04,2.018496E-03,4.960181E-04,1.073222E-04,1.603070E-04,2.384033E-04,6.845646E-05,1.995802E-04,1.189093E-03,1.998304E-04,2.354617E-04,1.534680E-04,2.119584E-05,5.156927E-05,3.433340E-04,5.752085E-04,4.982320E-05,2.905169E-04,2.869520E-04,2.630568E-04,5.511587E-05,4.097747E-04,9.717060E-05,3.050902E-04,3.668124E-05,5.435717E-04,1.036606E-03,6.805191E-04,3.599761E-04,5.554386E-04,5.002324E-05,4.901988E-06,4.174155E-04,2.019452E-04,2.439621E-04
3000,1.010835E-04,1.018870E-04,4.808934E-06,1.703775E-04,1.729905E-04,1.847847E-04,9.450072E-04,3.045744E-04,6.617425E-04,5.048032E-05,4.746386E-04,1.442364E-03,8.001298E-04,6.047346E-04,1.019452E-03,1.630362E-03,3.688140E-05,1.033847E-03,1.102918E-04,8.625445E-05,1.115483E-05,4.310192E-04,7.657265E-04,1.537924E-04,1.369038E-04,5.982389E-04,3.046667E-04,1.399592E-04,9.786492E-05,1.837586E-03,NA,3.221565E-04,4.599533E-04,3.331969E-04,1.268292E-04,1.683725E-05,2.660649E-04,4.603981E-04,2.317843E-04,1.261746E-04,3.871329E-04,2.053096E-04,9.676850E-05,1.513910E-05,8.445308E-04,5.131969E-05,2.987481E-05,4.750650E-04,6.647826E-05,NA,1.361400E-03,3.655827E-04,2.530189E-04,8.342614E-04,7.614630E-04,6.111453E-04,4.008201E-05,6.501130E-04,1.252033E-03,8.828039E-05,5.609708E-04,1.570272E-04,2.251645E-04,4.231087E-03,4.871912E-05,1.866033E-04,4.884759E-04,1.084344E-03,1.156799E-04,3.141936E-04,NA,1.695430E-07,8.164304E-05,2.284696E-04,1.218069E-04,3.321644E-03,2.457454E-03,1.234830E-03,2.359466E-04,2.524169E-04,1.002848E-03,8.843603E-04,5.415999E-04,6.887721E-04,2.991222E-04,5.337349E-04,3.293816E-04,1.238018E-04,9.407660E-04,2.855215E-04,2.982113E-06,1.127893E-03,7.046843E-04,5.131969E-05,6.005604E-04,1.151438E-03,5.196002E-03,1.527228E-03,4.009709E-04,7.997312E-05,3.549196E-04,NA,5.558482E-04,2.908893E-04,1.094034E-05,2.267493E-04,2.911525E-04,1.314255E-03,2.903101E-04,8.856326E-05,2.503436E-04,2.005186E-04,4.796600E-04,4.477497E-04,3.418189E-04,6.294646E-04,1.461720E-04,9.352344E-04,8.375687E-05,9.751624E-04
4000,4.639074E-04,1.227808E-03,1.853860E-04,2.197723E-04,4.297776E-05,1.542603E-05,1.012413E-04,7.584067E-04,1.544543E-04,9.747823E-04,3.017886E-04,1.686990E-03,4.695137E-04,2.160473E-04,1.249543E-03,2.555712E-04,3.284576E-04,4.160473E-04,2.638082E-04,2.979374E-04,5.015451E-04,3.017054E-04,5.961535E-04,2.136664E-05,3.554492E-04,5.537230E-05,3.753711E-04,8.948756E-05,9.922110E-05,9.952994E-06,2.589866E-04,2.256920E-04,5.785838E-05,1.253683E-05,1.284024E-03,4.773899E-04,1.490662E-04,1.041992E-03,NA,8.877675E-04,1.275265E-03,5.452789E-04,4.156446E-03,9.540508E-05,9.573181E-04,1.622544E-03,5.740478E-03,4.388723E-04,7.016868E-04,1.113574E-03,5.933959E-04,4.248936E-04,5.259148E-04,2.743905E-04,7.842534E-05,5.909596E-04,1.931009E-04,7.236952E-05,3.413496E-05,4.609446E-04,1.005079E-03,7.023705E-05,5.000380E-05,2.407820E-03,9.554545E-04,1.389653E-04,3.628118E-04,1.462968E-04,3.188309E-04,4.357667E-04,7.388756E-04,3.441660E-05,1.999458E-05,9.984806E-06,1.764860E-04,8.953931E-05,3.148565E-04,4.072435E-04,1.417856E-03,8.485450E-05,8.047096E-06,6.909729E-04,4.634890E-05,4.297738E-04,1.653821E-03,6.295453E-04,3.873428E-05,8.699179E-04,1.068002E-04,3.020513E-03,1.183525E-04,8.370247E-05,7.933352E-04,1.034370E-03,4.801082E-04,1.587507E-03,1.141342E-04,1.055813E-03,7.894492E-05,1.069174E-03,4.752945E-04,6.450119E-05,9.557901E-05,1.290692E-03,2.927265E-04,1.290623E-04,3.782044E-04,3.996153E-04,1.203451E-03,3.596492E-04,2.339363E-05,3.348140E-04,1.719588E-04,5.202944E-05,7.978457E-05,7.732751E-04,4.838726E-04,7.623798E-05,2.181596E-04,6.385395E-06
5000,5.512291E-04,3.551348E-04,1.078717E-03,5.028315E-04,9.396709E-05,4.921372E-04,7.072591E-04,3.943920E-04,1.325792E-04,1.138298E-03,1.526863E-04,9.550655E-04,3.891685E-04,3.626772E-04,4.403535E-04,3.486198E-04,9.186557E-04,2.777487E-04,1.660617E-04,8.963923E-05,2.996839E-04,5.341840E-04,1.274775E-03,8.053783E-06,3.088535E-04,7.840499E-05,NA,7.075920E-06,1.350194E-04,1.005955E-03,7.290399E-04,8.247305E-05,1.227040E-04,3.903280E-05,1.382947E-04,3.414924E-05,9.317198E-04,1.864336E-03,4.378239E-04,7.264720E-04,1.719567E-05,2.100927E-04,4.294587E-04,2.982815E-04,1.903686E-04,5.001025E-05,1.397630E-03,2.695703E-03,1.523243E-03,8.765882E-05,7.703286E-04,2.513923E-04,1.209341E-03,1.204063E-04,8.547538E-05,NA,4.268814E-04,5.651284E-04,6.817979E-04,8.833977E-04,1.934596E-03,3.422089E-05,4.242203E-04,1.143757E-03,2.241416E-04,1.099130E-04,8.056550E-05,8.020678E-04,1.691330E-03,2.928860E-04,1.000255E-04,1.366030E-03,2.688522E-05,1.654186E-05,6.466979E-04,4.672667E-04,1.778043E-03,7.648799E-04,3.291546E-04,4.143375E-04,1.561802E-04,1.836614E-04,1.983177E-04,2.499436E-04,6.420457E-04,8.358754E-05,1.902110E-04,7.048181E-04,7.155670E-04,9.890650E-04,2.039795E-04,8.677882E-04,7.457116E-05,1.457360E-03,2.891499E-04,3.086614E-04,2.128369E-04,2.065093E-04,3.931787E-04,1.643053E-04,3.615412E-04,3.988580E-04,1.080673E-03,1.255270E-03,1.431164E-04,8.379490E-04,1.187679E-04,5.157772E-04,2.058052E-04,1.448713E-04,2.758747E-04,2.358677E-05,2.008145E-04,2.103227E-04,1.330646E-04,2.984637E-05,4.194365E-04,5.502123E-04,7.074709E-05,1.377468E-03
6000,7.961652E-04,1.219505E-04,5.541507E-04,2.470797E-04,3.715662E-04,2.755517E-04,6.366527E-06,2.268304E-05,1.940553E-04,2.671633E-03,4.940605E-05,1.976538E-04,4.523064E-05,1.135290E-04,1.433842E-05,1.722459E-03,5.208749E-05,9.104183E-04,4.139770E-04,4.646387E-04,2.225603E-05,2.977826E-04,3.426803E-05,1.664301E-04,4.439844E-04,2.597519E-04,1.523398E-03,1.161122E-03,1.108716E-03,2.850169E-04,7.615224E-04,9.696603E-05,1.199540E-04,5.199041E-04,3.187506E-05,4.393762E-04,1.687168E-05,4.692790E-04,5.025252E-04,3.235420E-06,5.728723E-04,5.089037E-04,8.458181E-05,1.285750E-03,7.293532E-04,7.309200E-04,1.048043E-03,4.057061E-05,4.049910E-04,2.391432E-04,3.204767E-04,1.524706E-03,1.077359E-03,2.238507E-04,2.800924E-05,7.747907E-04,7.718243E-04,1.441433E-04,1.819493E-04,1.144829E-04,2.340571E-04,2.190030E-04,2.447270E-04,2.084212E-04,1.417603E-04,1.255754E-03,2.044749E-04,1.486697E-04,1.990110E-04,3.000378E-04,1.026566E-04,1.796632E-03,2.321829E-03,3.002599E-04,3.601055E-04,2.354151E-05,8.946276E-05,1.062800E-03,7.415643E-04,4.848182E-03,1.751218E-04,6.030412E-04,2.470797E-04,5.886949E-05,6.240896E-05,9.632536E-06,1.317588E-03,NA,2.709592E-04,3.252412E-04,8.571893E-04,2.024550E-04,2.419492E-04,6.033878E-04,2.087152E-05,1.482330E-04,2.161161E-04,2.087739E-03,3.199899E-04,1.637306E-03,4.340996E-04,6.033747E-04,2.092131E-05,5.966494E-05,1.768331E-04,7.995007E-06,9.984346E-04,7.215146E-04,1.015810E-05,4.641061E-04,1.647060E-04,1.800985E-04,NA,5.827528E-04,1.130930E-05,3.694702E-05,4.940605E-05,1.223873E-04,1.587331E-03,3.605811E-04
7000,3.856178E-05,3.425682E-03,8.104453E-05,2.817783E-04,2.666072E-04,3.396733E-04,8.869249E-05,7.862627E-05,1.086801E-04,2.437645E-04,7.914746E-04,6.643445E-04,2.794526E-04,2.978846E-04,2.997732E-03,2.854849E-04,1.859655E-04,1.179009E-03,9.822673E-04,8.312161E-04,6.577753E-04,4.513185E-04,1.558252E-04,6.552927E-04,NA,2.135066E-05,2.873898E-04,3.914785E-04,1.971012E-04,8.673784E-04,8.712472E-05,5.033250E-04,1.308508E-04,6.113673E-04,3.438428E-04,1.651531E-04,1.406563E-03,2.857812E-04,4.438182E-04,4.093201E-04,2.131402E-05,2.422376E-05,7.769813E-05,3.262419E-05,8.249246E-04,1.089081E-03,1.041048E-04,2.267170E-04,8.992905E-05,2.236716E-04,1.007036E-05,5.724988E-04,6.972108E-04,5.356673E-05,1.104530E-04,1.207724E-03,3.773653E-03,3.524436E-04,8.532175E-04,4.915204E-04,4.828927E-04,4.795427E-05,5.119603E-04,3.737818E-04,2.300970E-06,4.924654E-05,2.459128E-04,4.517405E-04,7.401421E-05,5.025467E-05,3.995856E-03,2.692935E-04,1.003063E-05,7.500010E-04,NA,2.253801E-04,9.649773E-04,1.400018E-04,3.357111E-04,3.802347E-04,2.237689E-05,4.914262E-04,6.305754E-04,1.631849E-03,1.050638E-03,7.668785E-04,1.064717E-03,6.359995E-05,8.281545E-04,3.474056E-04,5.000798E-05,1.250807E-04,2.869764E-05,1.261341E-03,1.261863E-03,1.258116E-03,1.172388E-04,7.723782E-04,8.611490E-04,1.061288E-03,3.146525E-04,1.714382E-04,9.921899E-04,5.680487E-04,1.185374E-03,5.210815E-04,9.987433E-04,4.170463E-05,1.402586E-03,6.133384E-04,4.913745E-04,1.070759E-04,4.213260E-04,2.486414E-04,6.096662E-04,1.515725E-05,5.569155E-04,1.466638E-04,3.718704E-04,7.081848E-05
8000,8.512712E-05,6.421411E-04,3.832153E-05,NA,1.320484E-04,1.277415E-04,5.957013E-04,5.255913E-04,1.868010E-04,2.765781E-03,7.316423E-04,9.057305E-05,7.617825E-04,2.359620E-05,1.290638E-03,2.152570E-05,2.286757E-04,1.020775E-03,5.595391E-04,7.406648E-04,3.520273E-05,3.176075E-04,1.600127E-03,1.257247E-04,1.032369E-04,4.570013E-04,2.736103E-04,1.049469E-04,2.925725E-04,1.220003E-04,2.108415E-04,1.587807E-05,6.407146E-04,3.002971E-03,1.031219E-04,9.080748E-04,4.997378E-04,5.809222E-04,2.814970E-05,2.957564E-04,1.277750E-03,2.165884E-04,9.932428E-04,1.028295E-04,6.442376E-05,1.952708E-03,2.230696E-05,3.229571E-04,3.180097E-04,6.755269E-05,2.053986E-05,2.886681E-04,5.532525E-04,1.127265E-04,1.671067E-04,8.462351E-05,2.301411E-05,6.373354E-04,8.190031E-04,7.120287E-04,1.567207E-05,4.552295E-05,4.665337E-04,2.289450E-03,2.049297E-04,8.882624E-08,1.111768E-03,2.354192E-04,8.846337E-06,1.443124E-04,1.282512E-04,5.870819E-04,4.083534E-03,6.483644E-04,7.805989E-06,2.812423E-04,1.010461E-04,8.962413E-05,1.673193E-05,1.527744E-03,8.588580E-04,8.861670E-04,4.124303E-04,2.360244E-03,8.049821E-04,8.595806E-04,2.098502E-03,2.298890E-04,4.741426E-06,7.365187E-04,7.219953E-04,4.161119E-05,7.245561E-04,4.674534E-05,3.534357E-04,7.846819E-04,3.940033E-04,7.141083E-04,7.541091E-04,7.562380E-05,1.296281E-04,3.944187E-05,7.044562E-04,3.463085E-04,9.810665E-04,6.938287E-04,1.678621E-04,2.115431E-04,2.339010E-03,7.904822E-04,1.029964E-05,2.959032E-04,1.665564E-04,2.361606E-03,1.438743E-03,1.283553E-03,2.005631E-04,2.454250E-04,2.852043E-04,1.994845E-04
9000,4.628739E-05,6.549076E-04,4.757515E-04,3.720797E-05,2.266055E-04,3.152537E-04,4.749803E-04,7.317681E-04,3.790258E-05,1.345678E-04,2.259586E-04,6.471380E-06,1.833184E-03,8.269485E-04,2.018093E-03,NA,1.141026E-03,3.087060E-04,1.413057E-03,3.409279E-04,3.981328E-04,6.222769E-05,4.336151E-04,1.946486E-04,1.103465E-04,2.848245E-04,1.689753E-04,2.132633E-04,8.646004E-05,4.904048E-04,1.521376E-04,1.998678E-04,3.605623E-04,9.719173E-04,1.967260E-04,2.298932E-04,1.685765E-04,4.912619E-05,1.424772E-03,2.708709E-03,2.926290E-04,9.302303E-04,1.038651E-03,9.303554E-04,2.540910E-04,5.070747E-05,3.083079E-04,4.965514E-05,2.937893E-03,1.075117E-05,6.520930E-05,2.606803E-04,4.411254E-04,1.377811E-03,2.179904E-04,7.836340E-05,2.495216E-04,1.399897E-04,1.643902E-04,3.312237E-04,6.088595E-04,1.393328E-04,8.218163E-05,9.230170E-04,1.210786E-03,5.986642E-04,1.109806E-04,2.902485E-04,3.529198E-04,2.782112E-04,4.768595E-05,1.405876E-03,5.849871E-04,7.475195E-04,1.350592E-04,2.725370E-05,3.317105E-03,5.000740E-05,2.117963E-03,6.949984E-04,4.717129E-04,1.443541E-04,6.552798E-04,1.174474E-03,1.364274E-04,1.667964E-04,9.375924E-04,1.342946E-03,2.038607E-03,1.610424E-04,9.734232E-04,9.923777E-04,2.446968E-05,3.533570E-04,5.426520E-04,4.382240E-04,2.461514E-04,2.037540E-04,2.306099E-04,1.709601E-03,7.841418E-05,5.121245E-04,1.724293E-03,5.371283E-05,5.721163E-04,3.492699E-04,4.218492E-05,2.586927E-04,2.699253E-04,3.967606E-05,1.249764E-04,3.004065E-05,1.521376E-04,3.331564E-05,2.865607E-04,8.056650E-05,6.693026E-05,6.767033E-04,6.577123E-05,2.695870E-04
10000,6.587063E-04,3.044394E-05,6.013576E-04,6.675754E-04,1.688568E-05,1.257573E-04,9.018035E-05,2.726774E-04,3.753578E-04,3.213980E-04,1.876926E-04,2.758624E-04,2.551737E-04,1.147328E-04,6.046311E-05,8.543307E-05,1.059860E-03,7.783901E-06,2.201045E-03,3.201373E-04,4.344894E-05,8.460621E-05,1.862735E-03,1.948375E-04,4.391424E-04,2.629300E-06,2.072574E-04,1.448509E-04,1.074993E-03,3.199076E-04,1.377945E-04,5.230610E-05,1.489644E-04,4.532809E-04,2.855971E-04,1.163437E-03,8.662243E-04,3.132166E-04,4.237287E-04,7.628345E-04,8.313038E-04,1.970505E-04,4.199033E-04,2.292764E-05,6.558717E-04,1.691196E-06,5.074299E-04,7.306346E-05,3.988619E-04,1.164371E-04,3.076257E-04,3.005036E-04,2.470008E-04,1.742628E-04,1.238088E-04,7.723324E-04,4.811536E-04,1.599523E-05,3.406007E-04,1.982673E-04,1.127397E-03,4.864692E-04,5.953090E-04,4.131163E-04,8.071671E-04,5.795892E-07,5.125813E-05,1.760939E-04,4.875177E-04,1.977575E-05,2.720256E-04,3.021864E-04,2.145527E-04,1.463786E-03,1.203567E-03,6.137103E-04,6.384833E-04,3.542647E-05,1.131947E-04,9.064520E-05,1.104131E-04,8.139781E-04,6.545134E-05,2.943377E-04,2.373054E-04,1.642350E-04,3.150025E-04,5.125813E-05,1.927947E-05,9.756013E-05,1.312845E-03,9.361075E-04,3.443222E-04,1.148678E-04,4.378560E-05,1.537898E-04,4.826460E-05,8.655921E-04,1.297753E-04,3.587237E-04,1.379628E-03,5.476133E-05,2.032800E-04,7.805559E-05,2.037488E-05,9.679017E-06,8.660491E-04,1.200463E-03,1.256047E-03,6.649659E-04,4.229016E-04,7.752817E-04,2.586267E-03,1.735397E-05,1.359802E-03,1.398609E-03,2.781582E-04,1.592560E-03,9.318451E-06,7.536981E-04
