Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,5.851271E-04,6.768134E-04,4.036632E-05,1.399242E-04,6.434911E-03,5.891236E-04,2.999561E-05,9.441865E-03,9.404982E-05,1.189167E-03,1.050732E-03,1.003241E-04,6.418493E-04,5.509070E-03,2.901364E-03,1.639161E-04,1.128287E-03,1.247780E-03,3.767045E-04,1.656018E-04,4.842048E-03,9.549988E-05,1.207727E-03,2.725697E-03,9.983214E-05,2.942861E-04,1.243583E-03,9.905894E-06,9.581944E-05,3.636521E-03,1.009020E-04,2.884542E-03,2.827090E-03,1.886761E-04,1.393497E-04,2.735954E-03,7.249408E-03,2.839826E-03,6.829344E-04,0.000000E+00,1.222536E-02,1.103243E-04,0.000000E+00,5.655286E-04,6.570654E-04,1.786138E-03,7.109198E-04,1.623409E-03,4.112982E-04,1.260206E-04,7.316599E-04,4.273869E-03,4.663602E-03,2.227425E-04,3.902754E-03,6.351136E-03,3.481222E-04,2.254734E-03,1.096749E-04,2.009274E-05,2.910200E-04,2.294130E-04,8.603926E-03,7.403911E-04,2.513458E-05,2.765004E-03,1.004445E-04,5.604841E-03,0.000000E+00,8.616533E-04,1.691480E-03,3.014305E-03,6.501502E-05,5.860781E-04,3.759501E-04,9.468887E-04,2.406995E-03,9.999883E-06,3.300757E-03,2.012164E-04,1.221090E-03,2.485315E-03,6.474049E-05,1.222777E-03,6.578161E-04,4.721112E-04,2.389900E-04,1.612513E-04,1.468091E-03,2.463820E-04,2.450673E-03,3.304067E-03,7.008980E-04,5.522018E-05,1.024177E-02,1.188252E-03,3.504357E-05,1.443817E-03,3.726324E-03,1.392416E-03,1.211021E-02,1.990480E-05,3.013664E-03,3.754217E-03,5.548471E-05,9.521529E-03,5.129547E-03,1.633668E-03,5.844353E-03,3.723129E-03,7.910522E-03,8.037378E-04,7.317554E-04,1.837132E-03,0.000000E+00,1.356864E-04,1.549162E-03,2.485284E-05,2.446513E-04,1.599736E-04
2000,1.118614E-03,8.618269E-05,5.633401E-04,7.321654E-03,1.970682E-03,3.158542E-04,6.129232E-03,8.430826E-03,1.521658E-05,1.929258E-04,4.532824E-04,1.012552E-04,3.507267E-05,1.382212E-02,8.283142E-03,3.722949E-04,3.972853E-03,3.639054E-03,1.521452E-05,2.904521E-04,4.694671E-03,9.381357E-05,9.106655E-03,2.014306E-05,2.793008E-03,3.078001E-04,6.906771E-05,2.535960E-05,4.647096E-04,1.364081E-04,6.929031E-04,7.563600E-03,1.242994E-02,2.860579E-04,7.874844E-04,4.928536E-06,2.288039E-02,2.409738E-03,5.131463E-03,7.914004E-04,1.831760E-02,1.521658E-05,1.416419E-04,4.670120E-03,6.447948E-05,2.008397E-03,7.433666E-05,9.856101E-06,1.504866E-04,3.684539E-04,1.118872E-02,8.151582E-03,5.923723E-03,1.014405E-05,7.693763E-03,2.804969E-03,2.214579E-03,6.586269E-05,7.325526E-03,2.316710E-04,5.490051E-03,6.397294E-04,9.103295E-04,1.146236E-03,2.818156E-03,3.366542E-03,5.155390E-03,1.978116E-02,1.284790E-03,2.051833E-04,0.000000E+00,7.507680E-03,6.432199E-05,3.252331E-03,2.360323E-04,9.025700E-05,4.510780E-03,1.682650E-03,2.014306E-05,2.534236E-03,6.600250E-04,6.045950E-03,9.856101E-06,1.521452E-05,4.649776E-03,3.056580E-03,6.586170E-03,3.072216E-04,3.985108E-03,2.541070E-04,2.587616E-03,1.391543E-03,2.755859E-03,1.265293E-04,6.373484E-03,4.202652E-03,4.239449E-04,1.359328E-02,2.482116E-03,1.122306E-02,1.042652E-02,8.967963E-05,2.740962E-03,1.008527E-02,5.012810E-05,4.985567E-03,8.446790E-03,9.856101E-06,1.222473E-03,6.261183E-03,1.202242E-02,6.794270E-04,3.025006E-04,2.529433E-03,7.803662E-04,1.000107E-05,2.266432E-03,9.109579E-05,4.638701E-03,1.276578E-02
3000,3.790212E-03,4.152448E-04,6.458739E-04,6.306380E-03,3.597524E-04,1.207992E-03,6.406717E-03,3.946231E-05,1.008888E-04,3.030376E-03,1.807870E-04,1.492177E-03,9.881681E-05,3.868602E-04,1.180231E-02,4.735319E-04,1.363508E-03,1.002854E-02,7.777438E-03,1.961105E-03,1.236318E-02,1.140094E-03,1.768039E-02,9.625927E-04,1.027536E-02,2.722354E-04,4.078615E-04,4.682420E-04,9.607531E-04,1.181696E-03,0.000000E+00,4.958618E-05,3.311439E-03,3.235711E-03,6.925559E-03,6.477876E-05,8.262942E-03,2.054931E-04,3.959815E-05,3.580419E-03,2.603075E-02,2.025521E-05,4.550989E-03,6.447718E-03,8.253135E-03,5.065343E-06,2.897931E-03,7.046543E-05,2.740218E-04,0.000000E+00,2.027816E-03,1.029823E-02,1.106091E-02,2.157402E-03,2.669528E-04,6.778210E-04,6.649588E-03,2.072922E-04,1.749552E-02,1.704208E-04,8.749411E-03,1.224632E-03,2.284280E-03,4.689126E-03,4.935347E-06,6.556483E-05,6.536470E-04,2.160195E-02,9.176201E-04,7.421090E-04,0.000000E+00,6.239593E-03,2.986915E-05,1.390385E-02,1.973846E-05,3.540854E-03,7.175348E-04,5.162885E-03,5.586248E-04,3.436033E-03,7.312773E-03,1.755937E-02,1.160962E-04,7.899322E-05,7.422635E-03,4.171867E-03,1.264907E-02,1.180999E-02,2.137246E-03,3.697298E-04,1.559434E-02,2.585447E-03,3.358221E-04,5.065343E-06,1.211270E-02,4.686308E-03,4.247994E-03,1.888127E-02,8.492222E-03,8.054743E-03,9.279397E-03,0.000000E+00,4.460048E-03,9.211829E-03,2.888725E-04,4.985576E-05,1.407996E-02,1.673720E-04,3.369816E-03,5.549540E-03,8.956030E-03,5.466219E-05,2.103002E-04,5.437496E-05,1.762102E-04,5.281116E-03,1.480312E-05,1.876029E-04,7.995513E-04,2.001232E-02
4000,5.630756E-03,1.500741E-04,3.192278E-04,3.644835E-04,9.991444E-03,2.204523E-03,1.674435E-03,5.454843E-03,4.192565E-03,2.656347E-03,8.445790E-03,7.522800E-03,4.288308E-04,1.449853E-04,9.928707E-03,1.451918E-04,8.014052E-05,3.418748E-03,5.671757E-03,8.964646E-04,4.333767E-03,7.305649E-03,4.174454E-02,1.594985E-03,6.792521E-03,2.765875E-03,8.735876E-04,8.825929E-03,1.050825E-04,8.185146E-03,6.761837E-04,4.581433E-04,1.968449E-03,1.381448E-03,1.682757E-03,7.341304E-03,2.991945E-05,6.157953E-04,0.000000E+00,9.017912E-04,2.377492E-02,6.818658E-04,9.638867E-03,4.613759E-03,1.203014E-02,2.478688E-03,8.076639E-03,3.289657E-03,5.817401E-04,2.618467E-03,5.954598E-04,1.822847E-02,6.389683E-03,7.815436E-03,3.494096E-05,6.264331E-04,1.104556E-02,3.591337E-04,2.184778E-02,1.251204E-04,1.431935E-02,4.565135E-03,9.999130E-06,4.024999E-03,3.838550E-04,4.500208E-05,4.085875E-04,1.504211E-02,1.377701E-03,1.152073E-04,1.268639E-03,7.188248E-03,1.387620E-03,1.454615E-02,8.410450E-04,4.015808E-03,4.011934E-05,2.509608E-03,1.139513E-03,3.471236E-03,1.233386E-02,1.613355E-02,2.099707E-03,6.558683E-03,2.051339E-03,3.431576E-03,8.518917E-03,5.635088E-03,1.131235E-03,8.068869E-03,1.441844E-02,1.501568E-05,1.200993E-04,2.579879E-03,1.464022E-02,3.158325E-03,9.742695E-03,3.426407E-02,3.504693E-05,1.101753E-02,2.527964E-02,3.212068E-03,2.984280E-03,5.313877E-03,1.494862E-04,7.005084E-05,2.878841E-02,8.980647E-03,2.626411E-03,3.989419E-04,7.459929E-03,6.381766E-04,2.098796E-04,3.390771E-04,1.043085E-03,9.592974E-03,5.671255E-03,4.067591E-03,3.005930E-05,2.015076E-02
5000,4.684195E-04,4.466351E-05,2.225523E-04,1.736227E-04,4.468298E-03,8.632138E-03,1.287702E-04,1.315605E-03,3.240444E-03,8.084409E-04,1.512859E-05,1.578327E-03,3.090318E-03,1.252011E-04,9.382394E-03,4.964981E-03,1.574544E-03,1.651762E-04,1.973300E-02,2.574510E-03,7.056572E-03,5.931898E-03,3.781671E-02,2.788305E-03,6.698595E-03,3.640962E-04,0.000000E+00,1.454562E-02,7.834573E-04,1.485482E-02,2.234135E-04,1.495468E-05,1.091970E-03,5.376467E-04,8.626090E-04,5.125023E-03,3.673560E-04,5.104640E-03,4.972310E-04,8.399881E-04,1.843780E-02,5.805065E-03,1.835755E-02,1.601997E-02,2.204006E-03,9.999774E-06,1.637667E-02,9.430274E-04,2.254571E-03,6.562449E-04,1.938668E-04,8.227883E-03,2.527101E-03,3.698156E-03,4.768516E-03,0.000000E+00,1.705271E-02,2.057073E-02,1.353602E-02,1.434792E-04,7.911449E-03,4.443034E-03,3.580430E-04,1.570540E-02,3.448725E-04,3.981329E-05,3.406464E-03,9.600205E-03,4.300331E-04,1.013774E-02,1.999755E-05,2.061227E-02,1.301074E-02,1.216382E-02,1.811534E-04,7.436194E-03,6.599221E-04,1.709634E-04,3.312986E-03,1.136110E-02,2.097362E-02,1.914313E-02,2.405366E-04,3.050842E-02,1.362916E-02,4.173491E-03,4.699242E-03,1.498883E-04,3.323809E-03,5.807299E-03,2.010598E-02,7.077181E-04,3.036192E-04,8.322547E-03,1.263962E-02,1.092366E-04,5.589682E-03,3.799931E-02,3.961963E-05,1.996107E-02,3.485171E-02,7.030163E-05,1.315173E-02,8.290141E-03,1.459547E-03,2.527006E-04,1.949476E-02,1.337179E-02,1.935924E-02,8.221736E-04,5.667641E-03,8.744604E-04,4.090193E-04,5.716983E-03,8.968646E-03,1.122961E-03,1.440276E-03,5.725634E-04,3.029698E-03,1.355163E-02
6000,1.648024E-03,3.494724E-04,9.432817E-05,2.483854E-05,5.977758E-05,3.416319E-03,2.503996E-03,1.172613E-03,5.055181E-03,1.786097E-03,4.969685E-06,1.987281E-05,9.967119E-03,5.649761E-03,7.004311E-04,5.121365E-03,1.103298E-02,9.836022E-04,9.136486E-03,5.988971E-03,8.995023E-05,1.150157E-04,2.409256E-02,3.221807E-03,1.740950E-04,7.535376E-05,2.474872E-03,6.394497E-03,1.553564E-04,1.871727E-02,5.880152E-04,5.200298E-03,5.208815E-03,1.440445E-04,5.966395E-04,2.652619E-03,1.502903E-05,1.699188E-02,5.958187E-05,1.274347E-03,1.314793E-02,4.834465E-03,3.653783E-02,1.295441E-02,8.980178E-04,1.884191E-03,1.074510E-02,5.622134E-03,4.020906E-05,8.976593E-04,8.904731E-03,4.260344E-03,6.149325E-04,1.831338E-02,4.500994E-03,3.295977E-04,2.025788E-02,9.605255E-03,3.151408E-02,4.836686E-04,1.015262E-02,2.346441E-02,1.248880E-03,1.985221E-02,4.542348E-03,1.896834E-03,3.091480E-03,2.222136E-02,2.596901E-04,5.523000E-05,8.101481E-03,2.666319E-02,2.231582E-02,9.574901E-03,1.044692E-04,1.266809E-02,9.923155E-03,6.566407E-04,3.309753E-03,1.576664E-02,1.421255E-02,2.899508E-02,2.483854E-05,2.842880E-02,1.515318E-02,7.442575E-03,1.108426E-02,0.000000E+00,1.949565E-04,2.261054E-02,5.650055E-03,2.011263E-05,7.582099E-04,7.177731E-03,1.161587E-02,1.490609E-05,2.366330E-03,3.088319E-02,9.443262E-05,5.151319E-03,3.786416E-02,1.197996E-04,1.532113E-02,1.261849E-02,1.699741E-02,2.905816E-03,1.998299E-02,2.939953E-04,2.570567E-02,5.708117E-04,2.981119E-05,1.205761E-03,0.000000E+00,1.293725E-02,9.479160E-03,5.074157E-04,4.969685E-06,1.082406E-02,1.702589E-03,1.499945E-02
7000,6.971853E-03,3.785893E-03,1.205779E-02,8.416610E-04,1.287276E-03,9.128523E-04,1.900856E-02,9.841605E-03,3.681513E-03,4.643706E-03,1.893284E-03,4.919353E-03,1.512882E-02,3.314139E-03,1.157707E-03,1.482647E-03,2.167464E-02,6.983295E-03,1.096295E-02,1.387548E-02,5.141811E-03,1.652894E-04,2.519946E-02,3.678255E-03,0.000000E+00,5.486566E-05,4.486920E-04,3.157230E-03,1.984520E-05,5.667770E-03,2.084563E-03,8.019156E-03,5.487461E-05,3.169169E-03,2.547367E-03,3.934883E-04,2.623830E-04,1.840145E-02,3.992791E-04,9.033034E-05,1.535152E-02,5.678561E-03,3.820359E-02,2.610393E-02,1.698771E-04,2.297814E-02,6.223575E-03,1.101340E-02,6.494287E-05,2.236244E-03,3.808856E-03,9.940836E-03,6.163747E-04,2.115035E-02,1.641884E-02,3.320238E-03,5.960792E-03,8.718343E-03,1.508171E-02,9.027253E-05,7.312319E-04,3.225367E-02,7.660619E-04,2.247834E-02,5.947000E-03,5.747201E-03,2.186747E-03,1.951465E-02,6.610394E-04,1.503632E-05,1.413367E-03,1.400052E-02,7.931409E-03,1.532844E-02,0.000000E+00,1.735379E-02,4.793888E-03,1.048167E-02,4.974716E-05,2.861074E-02,2.746933E-03,2.156374E-02,4.274804E-03,2.722348E-02,3.129796E-02,1.578407E-02,6.442327E-04,8.520142E-04,1.192644E-02,1.111240E-02,9.999547E-06,6.328293E-04,4.587715E-03,1.627949E-02,5.474100E-03,1.499030E-03,7.568755E-03,2.691933E-02,4.440878E-04,2.675182E-04,3.045772E-02,4.499287E-04,2.468042E-02,9.177617E-03,1.210637E-02,6.941289E-05,2.319358E-02,2.634061E-03,2.739871E-02,2.681349E-03,3.823970E-04,1.170891E-02,2.292449E-04,3.395876E-03,1.311891E-02,2.194034E-04,2.224870E-03,3.435688E-04,5.455510E-05,1.598619E-02
8000,1.352907E-02,1.212116E-04,7.585526E-03,0.000000E+00,2.333628E-04,6.174837E-04,1.592660E-03,1.905027E-02,5.391261E-04,7.257552E-03,1.041053E-03,8.472915E-03,1.616285E-02,3.442082E-03,7.422535E-03,3.248593E-04,2.448553E-02,7.234236E-03,1.160573E-02,2.179163E-02,1.674572E-02,7.569418E-04,2.793092E-02,6.259603E-03,1.628066E-03,8.929782E-04,7.080024E-04,2.399091E-03,1.307342E-04,1.827441E-02,1.139398E-03,2.262481E-03,8.127115E-05,4.228494E-03,7.137414E-03,1.355455E-03,6.859578E-04,1.375332E-02,1.107696E-03,1.408363E-03,2.959696E-03,1.290028E-02,3.663978E-02,2.749554E-02,1.025768E-03,6.474210E-03,1.554409E-02,1.469670E-02,7.513152E-03,5.406193E-03,3.929827E-04,2.941175E-05,4.023903E-04,2.044693E-02,6.009800E-03,1.068965E-02,1.478557E-02,2.311092E-03,1.213735E-02,1.128797E-03,5.989867E-03,2.093387E-02,1.861757E-03,1.443093E-02,3.880475E-03,1.161186E-02,2.514272E-03,8.146169E-03,2.496595E-04,3.432382E-05,1.958048E-04,2.209597E-02,6.261704E-03,2.770850E-02,2.939360E-04,1.960322E-02,3.055751E-03,1.005739E-04,3.000629E-05,2.300355E-02,2.434280E-03,4.922719E-03,5.698454E-03,2.194144E-02,2.763823E-02,2.711473E-02,2.734983E-04,2.216844E-04,5.098178E-03,4.631209E-04,1.175431E-04,2.256456E-03,4.076434E-03,1.905984E-02,1.879785E-04,2.157034E-03,6.415598E-03,3.791297E-02,1.028435E-04,1.071699E-03,2.247269E-02,3.529352E-05,8.315263E-04,1.254578E-02,2.280756E-02,3.765887E-03,2.318919E-02,1.110893E-04,2.463156E-02,1.557739E-03,9.167271E-04,4.028051E-03,3.030827E-03,6.264849E-03,1.462779E-02,4.078654E-04,5.809277E-04,1.759904E-03,2.159324E-03,4.623536E-02
9000,8.314154E-03,2.394035E-03,1.020820E-02,7.508310E-05,2.669090E-03,4.130281E-04,1.155612E-02,1.849673E-02,2.137043E-03,2.450122E-04,9.104802E-03,1.894724E-03,2.112658E-02,3.276204E-03,1.425145E-02,0.000000E+00,1.527733E-02,4.918849E-04,1.809947E-02,8.895879E-03,1.736777E-02,3.488235E-05,2.854676E-02,1.621016E-03,1.163205E-03,1.234897E-03,7.162986E-04,1.279801E-02,6.464058E-04,1.900104E-02,1.510118E-05,5.936529E-03,3.130544E-03,7.840252E-04,1.874440E-02,7.097063E-03,1.157865E-02,1.823733E-02,4.289882E-03,1.075803E-03,7.443477E-05,1.351192E-02,4.752600E-02,3.647546E-02,9.278973E-04,5.034740E-06,1.416255E-02,9.158767E-03,3.900449E-03,8.377404E-03,3.509816E-05,3.473846E-05,8.344612E-04,2.577965E-02,1.055536E-02,1.318116E-02,2.389302E-02,3.297490E-04,4.164200E-03,4.920284E-03,2.657557E-04,2.636596E-02,1.489326E-05,1.275559E-03,4.646057E-03,1.588506E-02,1.410422E-03,1.245500E-02,1.677610E-03,2.742823E-03,1.457292E-03,1.046513E-02,1.121131E-02,2.675903E-02,4.631404E-04,2.343513E-02,4.046489E-04,9.999490E-06,2.917024E-04,3.261849E-02,3.178478E-03,1.078152E-02,2.564181E-03,2.450893E-02,3.116102E-02,2.936587E-02,1.357879E-03,8.858427E-04,1.237650E-03,5.822937E-04,8.669591E-04,2.774984E-04,1.031254E-02,1.900036E-02,5.455801E-05,5.320243E-04,7.292140E-04,3.442395E-02,5.969526E-05,1.714981E-03,1.361275E-02,1.557940E-04,1.063742E-02,1.288366E-02,1.601067E-02,1.743984E-04,2.544626E-02,4.990658E-05,1.555626E-02,1.925332E-03,1.247009E-04,5.005653E-03,3.523608E-05,7.311677E-03,7.453336E-03,3.675126E-03,1.949657E-03,1.949649E-04,5.629905E-04,5.121190E-02
10000,1.040086E-03,1.014601E-02,1.768375E-02,3.156362E-03,6.248242E-03,8.439361E-05,1.415364E-02,1.887012E-02,8.020030E-05,2.637111E-03,2.609379E-02,5.035216E-05,3.190664E-02,1.583456E-02,1.707875E-02,1.518577E-05,4.791846E-03,3.143294E-04,4.941200E-02,4.035260E-05,3.040963E-02,1.506178E-05,2.544364E-02,5.199999E-03,2.340785E-03,5.868471E-04,4.285101E-04,1.332065E-02,2.071336E-04,3.227521E-02,1.410939E-03,1.993828E-04,5.541025E-04,3.310522E-04,2.475433E-02,1.716063E-02,6.376212E-03,3.433998E-03,5.946232E-05,6.989297E-04,2.761085E-03,1.296000E-02,5.025048E-02,3.874842E-02,1.638524E-03,4.197859E-03,1.458808E-02,1.602963E-02,7.593712E-03,1.847159E-02,3.035822E-05,1.291338E-04,1.293291E-03,2.630496E-02,2.839581E-02,1.994743E-02,1.834009E-02,9.994017E-05,1.275483E-03,5.442157E-05,1.768030E-04,1.346245E-02,2.140942E-04,1.892653E-04,2.714267E-04,2.438054E-02,5.062266E-06,1.799848E-02,1.739743E-04,4.425137E-03,1.192334E-03,1.795878E-02,9.478707E-04,3.201447E-02,6.421416E-04,1.996758E-02,4.685443E-03,1.371475E-03,3.172403E-03,3.853094E-02,4.351244E-03,1.151423E-02,2.975265E-05,2.623869E-02,3.426617E-02,2.838451E-02,2.513973E-04,5.062266E-06,6.664798E-04,9.875567E-06,3.507656E-03,5.277040E-04,8.447574E-03,9.527687E-03,5.286990E-03,1.518372E-05,2.614605E-03,2.691445E-02,1.497321E-04,6.564548E-05,1.035557E-02,8.512979E-05,1.924885E-02,2.288962E-02,1.766748E-02,4.828879E-04,1.494688E-02,1.187718E-03,2.415461E-02,5.530384E-03,5.921438E-05,8.108369E-04,1.205864E-03,1.678346E-03,7.845750E-03,3.138636E-03,1.205718E-04,1.136099E-03,4.630886E-04,6.659087E-02
