Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,4.371523E-07,4.191313E-08,6.323452E-07,1.201833E-07,4.784454E-08,1.293837E-08,1.655902E-06,8.958710E-09,1.169249E-06,6.035809E-07,2.345713E-06,6.345011E-07,8.640608E-07,2.555371E-06,1.501913E-06,6.590975E-08,2.111418E-06,2.048840E-07,2.879426E-06,8.064184E-07,1.406618E-07,1.437823E-06,1.511813E-07,7.927788E-10,1.071063E-06,5.531281E-08,8.240208E-07,5.084841E-09,1.428198E-06,8.454220E-07,8.050044E-07,1.281732E-05,8.470270E-08,5.751249E-08,5.925419E-07,1.280652E-08,3.377592E-06,1.358388E-06,2.779809E-08,5.033420E-08,5.974990E-08,2.132305E-07,1.611012E-07,1.580554E-07,7.241196E-09,2.208982E-07,1.031628E-06,1.127387E-07,3.469575E-07,1.521699E-07,1.142260E-06,8.668327E-08,4.468861E-08,9.216256E-08,1.162166E-06,1.039088E-07,0.000000E+00,1.210291E-08,3.444309E-07,4.897600E-10,1.507925E-06,1.812641E-06,2.679910E-06,8.222567E-07,2.306130E-08,3.401599E-06,6.516103E-07,1.093022E-07,1.784895E-08,9.714005E-08,1.846885E-07,8.112887E-07,1.899452E-08,2.822834E-06,2.820092E-08,2.177396E-06,1.453273E-07,2.946644E-06,5.373445E-08,1.416639E-07,1.230067E-06,5.105645E-10,8.738571E-07,1.062650E-06,2.254627E-08,9.622334E-09,2.649036E-06,6.349662E-06,6.166908E-08,2.927135E-06,7.251028E-07,0.000000E+00,7.148315E-08,2.786906E-06,1.250743E-07,1.701831E-07,8.169032E-09,4.561331E-07,2.895867E-07,1.873221E-06,5.001660E-07,1.954811E-06,2.902345E-08,3.026496E-06,2.806024E-08,1.119063E-08,1.138992E-06,3.958455E-08,3.549414E-07,2.042258E-09,2.554959E-07,1.693449E-06,2.186843E-06,7.348475E-07,1.181678E-07,1.714059E-06,1.736962E-07,3.052150E-06,1.038920E-08,5.406155E-07
2000,1.397281E-07,1.784356E-06,1.744692E-05,4.997633E-08,9.084902E-07,4.001486E-07,9.306437E-06,2.082505E-06,1.959040E-09,1.365572E-07,5.056314E-06,3.382469E-06,9.246465E-08,4.016533E-06,2.468596E-06,9.060367E-08,5.158291E-07,4.228264E-07,9.267955E-06,3.845526E-06,6.889821E-07,1.165445E-07,4.972994E-06,3.761715E-06,7.661004E-07,5.309703E-07,4.417215E-06,2.071917E-06,1.590545E-08,5.511592E-06,5.495586E-06,2.559402E-06,1.387756E-06,5.891302E-06,4.485199E-07,3.345423E-07,3.002461E-07,9.844063E-07,5.906659E-07,2.900956E-06,2.741959E-06,2.329712E-07,1.542281E-07,5.747886E-06,3.185987E-07,1.485723E-06,2.109916E-06,2.857727E-07,1.721394E-06,5.531463E-07,4.454611E-06,3.936104E-07,1.109856E-07,5.105645E-10,6.176128E-07,5.600288E-07,2.798277E-08,2.740843E-07,1.208575E-06,7.566156E-07,1.475773E-06,1.750761E-07,2.420342E-06,6.238500E-07,7.462370E-07,1.024067E-06,1.102859E-10,1.944267E-07,6.052722E-07,4.331704E-07,2.031989E-08,2.003358E-06,4.328822E-07,5.340205E-07,7.247031E-07,5.850886E-08,3.533318E-07,2.758369E-06,2.601369E-07,2.312477E-08,3.844102E-06,1.846029E-07,5.320994E-06,7.620906E-06,1.019875E-06,9.917939E-08,2.353016E-07,4.030894E-07,2.927448E-06,4.437374E-06,2.838314E-06,7.480624E-08,2.424231E-06,3.000484E-07,1.095670E-06,1.321363E-06,4.148063E-07,4.212896E-07,5.565064E-08,1.211215E-05,2.732510E-06,1.462963E-07,2.157493E-06,8.583703E-08,1.411675E-06,1.907051E-06,3.106229E-06,3.008150E-08,2.102434E-06,1.001190E-09,2.788162E-06,6.197721E-06,1.168820E-06,7.661810E-06,1.557346E-07,3.174494E-07,2.894134E-06,1.030515E-05,2.386162E-06,4.134324E-07
3000,1.607491E-07,4.252505E-08,1.850679E-05,5.569505E-07,3.764943E-06,1.919865E-07,1.686368E-05,1.307009E-07,2.344717E-07,1.768503E-07,1.306162E-05,6.107213E-06,1.274929E-06,1.589824E-06,3.480139E-07,6.557116E-07,3.178150E-05,1.284518E-06,9.537598E-07,1.286620E-06,6.340347E-06,6.995627E-06,4.276734E-07,8.611770E-07,2.361335E-08,5.699135E-08,7.566147E-06,9.628061E-06,1.163171E-06,1.227095E-06,1.316296E-05,6.375652E-07,1.200983E-08,4.102536E-06,2.363963E-06,1.591550E-06,1.488733E-07,6.397028E-06,9.706838E-07,1.166990E-07,9.397251E-06,6.292986E-07,6.154301E-08,2.264724E-06,5.467819E-07,2.699651E-08,6.044688E-07,5.068543E-08,2.925635E-06,1.645924E-05,7.414700E-06,1.121151E-06,3.702438E-08,1.148199E-06,4.959068E-06,3.578285E-08,8.603435E-07,2.375621E-06,7.228738E-07,7.594422E-06,1.824505E-06,5.208956E-07,7.198641E-08,8.036341E-07,8.856194E-07,7.111568E-06,6.373664E-06,5.953627E-07,2.014448E-08,2.618886E-07,4.168778E-06,6.901200E-07,1.472426E-07,1.348877E-06,4.117364E-07,2.408936E-08,8.051247E-07,3.049380E-06,7.882658E-08,2.658954E-06,1.434285E-05,6.723055E-07,1.846275E-06,1.614264E-07,5.152716E-07,6.207754E-07,4.840824E-09,4.607826E-07,3.481618E-07,1.176410E-06,3.983822E-06,2.090585E-08,2.823625E-06,4.359988E-06,3.891976E-06,3.408319E-06,1.879990E-05,4.954701E-06,1.779594E-07,9.321030E-06,1.181919E-06,4.122358E-06,4.073244E-06,5.864944E-07,4.187044E-07,4.524103E-07,1.404405E-05,6.164314E-07,8.373950E-06,1.047020E-06,3.258534E-05,3.906739E-06,8.899064E-06,2.736008E-06,8.875893E-07,7.851076E-07,1.038118E-06,8.896701E-05,1.484827E-06,2.548661E-06
4000,1.486625E-07,6.507745E-08,4.458738E-08,2.278481E-07,3.704517E-06,7.502559E-06,3.406704E-06,3.020187E-07,4.918345E-06,1.996352E-08,4.870003E-07,5.584180E-07,1.940735E-05,2.245255E-06,9.106636E-07,4.584962E-06,4.424844E-06,7.867189E-07,6.229176E-06,3.031360E-06,5.841111E-07,6.045250E-06,2.425721E-08,2.392753E-06,9.516064E-07,2.018206E-08,3.513512E-06,4.551856E-06,8.585906E-06,6.457004E-08,4.394977E-06,1.628933E-06,8.235130E-06,6.708875E-07,1.027273E-06,1.015360E-06,1.543703E-06,1.723233E-06,3.956252E-07,4.390234E-08,4.242782E-06,4.035649E-06,7.299997E-06,3.011974E-06,2.943170E-05,1.142934E-05,3.051537E-06,4.059924E-06,2.183212E-06,5.837952E-07,4.135123E-06,3.417034E-07,1.836101E-07,2.576655E-07,1.059842E-05,2.958240E-07,3.723860E-08,3.793056E-06,5.778277E-08,2.912904E-06,1.198780E-07,9.439939E-08,2.778412E-07,5.660876E-08,6.409785E-07,3.461919E-06,1.316266E-05,1.991160E-06,2.124840E-05,1.602333E-06,2.312259E-07,6.028215E-06,1.154212E-07,1.001099E-05,5.479119E-07,8.378403E-09,2.416071E-06,2.316223E-06,3.623794E-07,1.110571E-06,1.074064E-05,1.491539E-06,1.009445E-05,3.898915E-07,4.430829E-07,3.317581E-06,8.474449E-07,4.488600E-07,2.968969E-09,2.805248E-06,5.658743E-07,3.595287E-07,1.839334E-06,7.570190E-06,5.788785E-06,1.693712E-07,6.147460E-06,7.451072E-07,2.985467E-06,4.565945E-06,4.584965E-07,1.589730E-05,3.054908E-06,7.182438E-07,4.832563E-08,4.695445E-08,1.628383E-05,3.173018E-06,1.337400E-05,1.210985E-06,2.780695E-06,4.830520E-05,4.034871E-06,1.841093E-06,7.453919E-06,4.436775E-06,1.164959E-05,1.706588E-05,1.491179E-05,1.140378E-06
5000,2.447991E-06,2.501802E-09,7.190819E-06,8.953068E-06,8.772237E-07,2.056691E-06,1.413443E-07,4.205476E-06,1.025438E-05,2.355023E-07,1.230303E-05,8.651052E-07,1.677655E-06,1.169912E-06,3.193617E-06,6.629108E-06,7.946278E-07,3.217914E-07,6.593751E-07,1.505397E-05,2.417849E-06,1.294363E-06,2.734217E-06,2.906420E-06,1.973336E-07,7.142032E-08,1.600856E-05,3.081392E-06,1.330801E-05,9.552367E-06,5.094378E-06,8.014513E-07,3.146960E-06,3.663745E-06,8.809036E-07,1.947122E-06,4.957450E-08,1.232588E-06,1.760467E-06,6.189643E-07,1.604947E-05,7.593692E-06,8.826708E-07,1.803805E-05,1.824333E-06,1.631477E-07,2.284757E-05,2.579622E-06,2.046293E-06,5.934886E-07,3.653103E-05,2.190727E-06,2.005286E-07,5.653619E-07,5.480432E-06,1.203670E-07,6.769876E-08,1.403728E-05,6.914513E-07,2.017693E-05,3.899503E-07,3.130015E-07,4.033877E-07,2.774560E-06,1.166380E-07,3.954714E-06,2.541526E-07,4.148459E-06,1.429442E-06,3.235815E-06,1.420895E-06,4.719409E-08,1.091974E-06,7.282932E-06,1.221300E-06,2.775544E-06,1.331445E-06,4.051941E-07,5.974048E-06,5.393968E-06,9.736130E-06,1.108487E-06,2.906500E-06,4.548791E-07,6.927628E-06,2.699510E-06,1.807911E-06,1.959639E-07,1.730367E-07,1.672397E-07,4.360847E-06,2.610985E-06,6.664968E-06,4.750413E-06,2.628308E-06,2.002823E-06,3.046810E-06,1.764863E-06,3.936531E-06,1.357570E-05,1.461406E-06,2.133417E-06,3.546824E-06,1.809125E-07,4.854988E-07,1.916148E-06,6.066698E-07,2.443766E-06,6.683093E-06,1.123870E-05,7.839794E-07,6.610269E-06,5.033595E-07,6.530868E-06,4.151751E-06,3.198455E-07,3.609036E-06,1.619184E-05,1.129341E-05,1.378949E-07
6000,2.693142E-06,5.091091E-07,5.183211E-06,1.562170E-05,1.028608E-05,1.305221E-05,4.233319E-06,1.016971E-06,9.160289E-06,2.333301E-06,1.253285E-05,5.649270E-07,2.773058E-06,1.244578E-05,1.107027E-06,1.505326E-06,2.898962E-06,1.486796E-06,1.526350E-05,9.943199E-06,7.493956E-06,3.733016E-06,5.218078E-07,1.074346E-06,2.267066E-06,1.138307E-05,7.296485E-06,1.061033E-05,4.505667E-08,5.987593E-06,7.454917E-07,2.365817E-06,2.114418E-06,3.198871E-06,8.735108E-06,1.034724E-06,1.233776E-07,1.012938E-07,4.720924E-06,1.019877E-05,8.301412E-06,1.051110E-05,1.124169E-06,8.169386E-06,3.154427E-06,1.019682E-06,3.104504E-06,1.251298E-05,3.218886E-05,5.118050E-10,7.449284E-06,2.113983E-05,2.545775E-08,1.476260E-05,6.885295E-06,1.294807E-05,1.975244E-08,7.319591E-07,5.530014E-07,2.226607E-06,6.810975E-07,7.019775E-08,3.550431E-06,1.256593E-05,2.940755E-06,8.987657E-06,4.256197E-06,2.475041E-06,2.032147E-05,3.068226E-07,1.037554E-06,1.119377E-06,3.320742E-08,9.876844E-06,0.000000E+00,5.113906E-07,5.135337E-07,9.754778E-06,6.651063E-07,1.599127E-05,2.936539E-05,4.734306E-06,1.053936E-05,1.159497E-07,6.192854E-06,1.848713E-06,2.249150E-06,6.894704E-06,4.167959E-06,1.625772E-07,1.504195E-05,3.793784E-06,2.016649E-07,1.893906E-06,7.892732E-06,6.044205E-06,3.280775E-06,1.009905E-05,3.876442E-07,5.167101E-06,7.061226E-07,3.597841E-06,3.223031E-06,4.647187E-07,3.804540E-06,2.577567E-06,1.543948E-07,7.184149E-07,2.340261E-08,1.104418E-05,8.267437E-06,7.234476E-05,1.449910E-06,6.234319E-07,3.293055E-07,2.266351E-06,9.382307E-06,3.926066E-05,1.522414E-05,6.714846E-07
7000,6.815070E-06,1.271412E-06,2.796867E-06,2.672436E-06,2.269570E-05,5.816163E-06,7.038676E-06,6.528617E-07,3.527929E-05,1.702908E-06,1.908883E-05,2.791434E-06,1.289407E-05,4.688716E-07,2.655938E-06,2.199734E-06,1.901967E-07,4.263125E-06,2.660478E-07,5.009517E-06,1.000087E-05,3.575141E-06,2.006856E-06,6.704978E-06,8.290592E-07,4.801413E-08,6.030465E-07,2.716115E-06,3.057031E-05,2.492194E-05,9.979336E-06,1.502035E-05,7.601179E-06,5.498435E-06,1.655262E-05,4.629936E-07,9.419370E-09,4.058623E-07,1.715588E-06,1.422163E-05,5.829479E-06,6.488186E-06,3.043792E-06,1.757993E-06,8.569513E-07,2.262982E-07,9.760630E-06,1.938884E-07,3.840161E-06,1.578785E-06,1.874718E-05,2.570398E-06,1.387942E-06,1.373483E-06,4.605138E-06,2.984279E-06,1.430818E-06,5.363790E-06,3.918680E-06,3.490650E-06,4.168959E-06,2.513176E-06,1.245781E-07,1.920779E-06,4.338787E-07,1.089049E-06,1.366661E-06,1.876838E-05,1.887383E-06,8.387077E-09,3.389850E-08,6.201382E-06,4.039289E-07,2.448063E-06,9.855582E-08,2.164430E-07,1.520686E-06,1.478655E-07,5.155689E-09,9.810899E-06,3.110397E-05,1.838854E-05,9.978276E-06,1.389026E-06,5.759880E-06,7.469199E-06,2.158849E-06,2.215661E-06,5.170549E-06,1.252934E-06,1.431898E-06,3.513322E-06,4.354066E-06,4.857242E-06,7.045316E-05,8.750178E-08,9.084809E-06,8.215670E-06,2.165776E-06,8.376013E-06,1.573424E-06,7.550337E-06,5.734297E-06,1.741278E-06,1.407697E-06,1.029760E-05,2.783489E-05,6.564700E-06,8.642779E-06,1.096026E-05,5.613585E-07,4.303335E-05,2.073260E-06,1.692472E-06,4.096826E-07,1.386337E-06,9.504590E-05,2.173358E-05,2.119696E-05,1.043403E-05
8000,1.980981E-05,7.370659E-07,1.431612E-08,2.741644E-06,4.486745E-06,6.724322E-06,4.202697E-08,7.601134E-06,4.668934E-06,6.883986E-06,6.371964E-06,6.145698E-07,6.395505E-06,4.357838E-07,5.207304E-06,2.783514E-07,1.951239E-08,1.846835E-07,1.307874E-06,5.374996E-06,9.322111E-06,1.552007E-07,2.685555E-07,1.132477E-05,4.083379E-06,1.500975E-06,2.581333E-07,2.478538E-05,2.195742E-05,3.780412E-06,4.545440E-06,1.624494E-05,3.577790E-06,1.595363E-06,7.676710E-06,1.501856E-06,9.141632E-07,2.320827E-06,1.168563E-05,4.059691E-06,1.508646E-05,5.505285E-06,1.295546E-06,2.626680E-06,1.006700E-06,1.301520E-06,1.910326E-06,3.082679E-07,2.475562E-05,2.699197E-06,3.899633E-05,6.783883E-06,7.285182E-08,1.747074E-07,8.736444E-06,5.475846E-06,2.302492E-07,1.637124E-05,3.714027E-06,1.525574E-05,4.188109E-06,3.795050E-08,7.004679E-07,9.612473E-06,6.819187E-09,1.227249E-05,5.171317E-06,2.759200E-06,3.347328E-06,2.510443E-08,1.288563E-06,1.834231E-07,6.302704E-06,2.192241E-05,2.443189E-06,1.961056E-08,1.262995E-07,3.681404E-06,5.329436E-05,9.954057E-06,3.426093E-05,2.716241E-06,2.726486E-05,9.716283E-09,2.269825E-06,6.004192E-06,5.266336E-06,1.152148E-05,2.150697E-05,3.521247E-07,3.827244E-06,7.143572E-06,9.294501E-07,1.200391E-05,2.951418E-05,6.055017E-07,5.467061E-06,3.860483E-06,5.533115E-06,1.355011E-06,1.165557E-06,1.414223E-05,1.508784E-05,1.333515E-06,1.628815E-06,2.252861E-05,1.442576E-05,5.830706E-06,7.775366E-06,1.306815E-05,2.137913E-05,1.184662E-05,5.756763E-06,3.926279E-07,3.351818E-08,0.000000E+00,9.866018E-06,3.273724E-05,2.232262E-05,1.053009E-05
9000,2.941811E-06,7.688102E-07,1.208758E-07,1.527762E-05,2.581550E-06,1.708194E-05,3.506882E-06,1.965196E-06,5.879216E-06,1.348776E-04,1.370080E-05,2.704476E-07,2.810814E-06,1.718618E-06,1.285927E-05,5.575743E-07,5.058349E-07,3.535642E-06,2.245973E-06,3.072523E-05,7.093733E-06,1.518128E-06,2.060048E-06,1.099726E-05,1.281659E-05,1.896088E-09,2.281101E-05,7.604529E-06,3.262874E-06,1.374723E-05,2.589996E-07,1.567755E-05,5.616923E-06,2.705948E-07,1.857322E-05,6.507966E-06,1.047013E-06,3.060221E-06,2.338790E-06,3.658070E-06,2.476366E-06,1.740737E-05,2.071486E-05,2.472105E-05,9.020792E-07,1.626452E-06,2.818207E-06,2.137604E-07,3.616960E-06,1.420303E-06,1.550752E-05,1.142305E-06,2.265997E-07,1.054190E-06,2.726858E-06,1.722556E-05,6.720855E-08,8.138942E-06,3.286058E-07,1.341953E-05,1.187210E-05,3.672712E-07,4.806972E-08,1.307984E-05,6.971842E-07,1.535233E-06,7.178235E-06,6.452456E-05,3.046172E-06,3.780181E-06,3.316022E-07,7.932534E-07,5.834482E-06,3.441701E-05,3.690715E-07,8.529236E-08,2.461305E-06,6.107911E-08,3.071778E-07,4.075898E-06,2.148607E-05,1.913615E-06,6.405198E-06,8.142681E-09,8.289536E-06,1.292992E-05,4.073726E-06,8.714875E-06,5.995734E-07,2.762953E-07,2.724515E-06,4.528758E-06,2.189148E-06,2.103236E-07,2.140325E-05,1.091116E-06,2.580950E-05,2.426350E-05,6.985953E-07,9.285185E-06,1.665047E-06,5.843027E-06,1.637994E-05,3.631678E-05,6.185021E-07,3.661093E-05,1.397643E-05,1.178414E-05,1.091484E-06,1.030495E-05,2.776469E-08,1.251003E-05,3.734643E-06,1.179992E-06,8.030808E-08,9.844740E-08,1.063949E-05,4.940160E-06,5.009096E-05,6.560009E-07
10000,8.069562E-08,3.788343E-06,5.776842E-07,1.156088E-05,2.763136E-06,4.585322E-05,2.954769E-05,2.823296E-07,1.136006E-05,3.971254E-06,9.448941E-07,2.937319E-06,1.594899E-05,3.223183E-06,3.145056E-06,3.921932E-06,1.300820E-08,7.951557E-06,2.118799E-07,1.051533E-05,1.124160E-05,5.909715E-06,9.670288E-06,1.417979E-05,4.660710E-06,1.235798E-06,7.755093E-06,2.265685E-05,1.689995E-05,1.211275E-05,7.848759E-06,1.846061E-06,4.153152E-06,1.468526E-05,1.964488E-06,5.697293E-07,5.423123E-06,1.957162E-07,1.270067E-05,1.577904E-05,1.067005E-05,5.865163E-06,2.995663E-06,5.497825E-06,4.729823E-07,6.376754E-06,1.470826E-05,2.715324E-06,2.206444E-05,1.835192E-05,2.675880E-05,5.031673E-08,1.249444E-06,2.146752E-07,1.090427E-05,1.760557E-05,4.598777E-09,2.468423E-05,3.800891E-07,4.607512E-05,3.164730E-06,4.564818E-06,1.595030E-07,1.619348E-05,2.208151E-06,6.220207E-06,2.270072E-06,4.100256E-05,5.725947E-06,8.473910E-07,1.097365E-06,2.499064E-06,7.639158E-07,5.929329E-06,7.619260E-08,3.880354E-08,7.545746E-08,2.919911E-07,5.503242E-07,7.556922E-06,1.099077E-05,9.027867E-07,8.809708E-06,2.531303E-07,6.140892E-06,1.666601E-06,5.100003E-05,1.527797E-05,1.112400E-05,1.179684E-05,1.919743E-07,9.389645E-06,5.016277E-07,1.428155E-06,2.355887E-05,1.753920E-06,1.075745E-05,1.300776E-05,3.199869E-06,7.936198E-06,2.824263E-06,2.667155E-06,1.404731E-05,4.220253E-06,3.964758E-07,1.533275E-05,1.497520E-05,2.636420E-06,9.728054E-05,7.546575E-07,4.208863E-06,3.269280E-05,2.572565E-08,1.601897E-07,2.337827E-07,1.874574E-07,6.188584E-06,4.076688E-06,1.181187E-04,7.344522E-06
