Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,6.181669E-04,3.094165E-04,3.435964E-03,7.131991E-04,4.692868E-04,2.845658E-04,2.520861E-03,1.053354E-04,1.976290E-03,2.957198E-03,1.097241E-02,2.527097E-03,1.265833E-03,6.850749E-03,1.662291E-03,1.390340E-04,4.158386E-03,6.844260E-04,2.919248E-03,7.859620E-04,1.190831E-03,6.457938E-04,7.225842E-04,8.526782E-04,1.986418E-03,2.439204E-04,5.921552E-03,2.010617E-05,5.967165E-04,4.762141E-03,1.752542E-03,8.449045E-03,2.253870E-03,2.940068E-04,1.452122E-03,1.650819E-04,3.513239E-03,9.430840E-04,6.360758E-04,4.430489E-04,1.557328E-04,2.617803E-04,1.229107E-03,8.224090E-04,2.247933E-04,9.019086E-04,1.885892E-03,2.137571E-04,3.492865E-03,2.507395E-03,5.123535E-03,2.005817E-04,1.341665E-04,4.196164E-04,4.776565E-03,5.381762E-04,0.000000E+00,7.483109E-05,1.871019E-03,4.948535E-06,1.818493E-03,1.362696E-03,1.510501E-03,1.236962E-03,3.398998E-04,1.213734E-02,9.077622E-04,1.255346E-04,4.536891E-05,3.856287E-04,9.617840E-04,1.279124E-03,3.137339E-04,4.684011E-03,3.395347E-04,2.081065E-03,5.414466E-04,1.430153E-03,3.035608E-04,9.716611E-04,1.766964E-03,5.052546E-06,2.857166E-03,1.873209E-03,1.397271E-04,2.939078E-04,2.162260E-03,4.475292E-03,6.875224E-04,6.788895E-03,2.280676E-03,0.000000E+00,3.135178E-03,2.075983E-03,1.348586E-04,8.028508E-04,2.021019E-05,2.068844E-04,1.911547E-04,4.601380E-03,1.243238E-03,2.201696E-03,1.592322E-04,4.375925E-03,5.547400E-05,5.824030E-04,3.797550E-03,1.301751E-04,1.800151E-03,1.010509E-05,5.376155E-03,5.016146E-03,1.375562E-03,6.335516E-03,1.147168E-03,1.444409E-03,5.407045E-04,7.542307E-03,4.495186E-05,7.724245E-04
2000,7.867191E-04,8.341152E-04,5.742654E-03,5.948643E-05,2.801981E-03,9.854856E-04,1.039906E-02,1.766177E-03,9.897070E-06,1.297806E-03,1.827137E-02,6.582934E-03,3.462636E-03,5.549659E-03,2.807718E-03,1.522049E-03,4.826305E-03,4.212856E-03,8.007215E-03,3.808267E-03,1.553715E-03,1.546178E-03,3.036624E-03,5.969509E-03,1.418433E-03,7.125201E-04,5.385062E-03,2.492622E-03,3.008585E-03,7.819850E-03,1.131829E-02,4.098077E-03,3.055804E-03,6.326778E-03,6.009850E-04,8.572557E-04,3.085124E-04,4.134965E-03,8.379876E-04,1.716461E-03,5.755414E-03,9.607149E-04,4.443051E-04,9.293404E-03,6.923769E-04,3.323303E-03,3.898140E-03,9.461853E-04,5.230462E-03,1.433190E-03,6.220582E-03,4.668095E-04,1.963982E-04,5.052546E-06,6.626663E-03,4.112496E-03,4.393035E-04,2.427724E-03,8.752607E-04,1.648831E-03,2.637891E-03,1.738488E-04,1.265149E-03,2.841026E-03,1.208135E-03,1.173012E-02,2.543255E-04,8.800162E-04,6.206301E-04,1.506771E-03,5.883426E-04,3.599729E-03,2.030690E-04,3.253939E-03,1.218162E-03,8.002506E-04,2.593492E-03,6.773996E-03,1.087566E-03,1.131199E-03,1.265413E-02,6.192550E-04,3.253946E-03,4.165301E-03,4.641882E-03,1.692103E-04,7.620714E-04,5.938782E-04,5.263366E-03,1.145561E-02,5.849506E-03,2.946699E-04,5.866965E-03,5.817976E-03,2.085859E-03,4.743030E-03,1.610450E-03,9.623261E-04,1.202850E-04,9.737988E-03,6.810768E-03,4.296655E-04,3.122871E-03,1.065763E-03,1.825340E-03,2.425781E-03,1.614745E-02,1.892965E-04,4.841612E-03,2.999924E-05,6.334137E-03,1.340588E-02,6.431815E-03,4.253523E-03,1.417907E-03,2.279421E-03,2.727906E-03,1.654958E-02,1.207729E-02,1.117378E-03
3000,3.832819E-04,6.545581E-05,1.403139E-02,1.816169E-04,6.269826E-03,6.112729E-03,1.649261E-02,1.572776E-03,5.094477E-03,3.231976E-04,2.194274E-02,8.329313E-03,8.416106E-03,3.431020E-03,1.544091E-03,1.366895E-03,2.016946E-02,6.505418E-03,1.314569E-02,1.120224E-02,5.212563E-03,5.059595E-03,2.858648E-03,5.154154E-03,1.697467E-04,2.240973E-04,4.785975E-03,7.133367E-03,1.020298E-02,2.454523E-03,1.412798E-02,2.686354E-03,7.462276E-05,2.195986E-03,3.255832E-03,4.255006E-03,6.770424E-04,5.178438E-03,2.938213E-03,3.479787E-03,2.003482E-02,8.980028E-03,2.089527E-04,5.557730E-03,1.001876E-03,1.795827E-04,1.366266E-03,1.152602E-03,4.459864E-03,8.389904E-03,1.582527E-02,1.301306E-03,1.196745E-03,3.751743E-03,6.257067E-03,3.971745E-03,1.404943E-03,5.511735E-03,6.598727E-04,3.468858E-03,1.651590E-03,7.618623E-04,2.290918E-04,2.112154E-03,3.061175E-03,1.113284E-02,6.325638E-03,3.365403E-03,6.970505E-04,2.368213E-03,3.957601E-03,7.344486E-03,2.005629E-04,9.967352E-03,1.385896E-03,6.454772E-05,6.480404E-04,5.446324E-03,4.743944E-04,2.202208E-03,1.473673E-02,1.706765E-03,6.088744E-03,3.235437E-04,3.476181E-03,1.499149E-03,4.978918E-05,1.837993E-03,3.033467E-03,8.340139E-03,8.552364E-03,3.397443E-04,1.254925E-02,5.220021E-03,8.980057E-03,3.895184E-03,7.072417E-03,9.099001E-03,2.065271E-03,1.017255E-02,1.612596E-03,6.288698E-03,2.423661E-03,1.522678E-03,1.231867E-03,3.690239E-03,1.124090E-02,2.619676E-03,1.626530E-02,2.442059E-03,1.558123E-02,2.152239E-02,4.610131E-03,4.600649E-03,1.037040E-02,3.883090E-03,2.770738E-04,2.154467E-02,1.758688E-02,3.340649E-03
4000,3.740335E-04,1.748359E-03,1.452932E-02,2.926767E-03,5.841196E-03,8.746490E-03,1.304153E-02,3.499951E-03,5.052442E-03,1.648241E-04,1.925809E-02,1.048194E-03,5.951722E-03,2.872632E-03,2.960569E-03,3.677165E-03,8.706635E-03,5.419858E-03,1.131171E-02,1.167102E-02,7.304718E-03,6.468944E-03,2.094894E-04,5.372885E-03,5.646688E-04,1.548030E-04,1.231919E-02,4.811564E-03,1.195718E-02,3.548024E-04,1.453419E-02,4.175603E-03,4.121539E-03,1.142039E-03,9.509204E-03,4.410344E-03,2.118803E-03,2.858295E-03,6.080125E-03,3.192032E-04,2.716838E-02,6.294171E-03,3.951392E-03,1.142357E-02,8.786588E-03,4.650330E-03,1.040068E-02,1.216127E-02,5.876784E-03,1.123386E-03,1.763576E-02,4.743042E-04,7.755042E-04,4.019286E-03,7.318983E-03,8.860002E-03,9.492864E-05,1.038182E-02,6.992247E-05,4.985679E-03,4.879233E-04,1.398209E-04,6.623325E-04,2.244922E-03,5.322426E-04,3.220057E-03,7.241671E-03,7.426958E-03,1.336846E-02,4.670912E-03,3.168039E-03,4.945496E-03,1.351429E-04,1.534201E-02,2.229237E-03,6.492944E-05,3.914445E-03,6.962506E-03,4.027638E-03,6.415125E-03,1.779064E-02,2.795998E-03,7.985417E-03,1.845222E-04,6.491974E-04,6.126445E-03,2.479542E-03,1.214767E-03,3.996627E-05,3.476940E-03,1.623790E-03,3.828397E-03,5.717455E-03,7.264383E-03,1.556312E-02,3.593974E-04,1.487201E-02,1.366642E-02,3.553034E-03,6.319947E-03,6.561677E-03,9.434626E-03,4.852820E-03,1.712564E-03,1.680548E-03,8.984741E-04,1.223469E-02,1.026287E-02,1.870533E-02,1.798530E-02,1.778566E-02,3.393760E-02,9.651721E-03,3.782185E-03,9.920804E-03,1.630771E-03,3.904091E-03,2.167587E-02,1.969360E-02,2.079933E-03
5000,1.476891E-03,7.792175E-04,9.480233E-03,1.693639E-02,1.079892E-02,1.122303E-02,1.848726E-03,3.335923E-03,6.756495E-03,7.380295E-04,2.466080E-02,1.460207E-03,1.256092E-02,6.498432E-03,4.872243E-03,3.605952E-03,2.048319E-03,6.548456E-03,7.865632E-03,1.222756E-02,5.661042E-03,2.559640E-03,4.806963E-03,5.120645E-03,3.397162E-04,3.492592E-04,1.819721E-02,1.746667E-03,1.743265E-02,9.861654E-03,7.565961E-03,8.682285E-03,2.201663E-03,1.234997E-02,7.019351E-03,1.637845E-03,8.504205E-05,2.182691E-03,2.925524E-03,1.974952E-03,3.193485E-02,1.588375E-02,2.842362E-03,2.032410E-02,7.606145E-03,3.074853E-03,8.699162E-03,1.857811E-02,7.378813E-03,1.541762E-03,2.770364E-02,2.653816E-03,5.835314E-04,2.485482E-03,1.074585E-02,2.924830E-03,5.279613E-04,1.521375E-02,3.215798E-03,1.234377E-02,5.718314E-04,5.242673E-04,2.827717E-03,2.747319E-03,1.746755E-03,8.994463E-03,1.139876E-03,6.987698E-03,1.471779E-02,2.025555E-03,3.619490E-03,4.850915E-03,1.849314E-03,2.019663E-02,1.588468E-03,3.046207E-03,3.805201E-03,4.146463E-03,8.395767E-03,1.586423E-02,1.455999E-02,2.486086E-03,8.157347E-03,1.648855E-03,5.317033E-03,1.313078E-02,3.416852E-03,4.489769E-03,1.159090E-03,8.905486E-04,6.014958E-03,9.722138E-03,3.772139E-03,1.472246E-02,1.560157E-02,4.169082E-03,1.016144E-02,8.923101E-03,8.107193E-03,1.139303E-02,8.922564E-03,1.498316E-02,7.917816E-03,2.149811E-04,6.737144E-04,6.884240E-03,2.159891E-02,1.199049E-02,1.339944E-02,2.536632E-02,1.444864E-02,3.063236E-02,1.231486E-02,2.811220E-03,9.220456E-03,2.896147E-03,4.897637E-03,2.082213E-02,1.699936E-02,4.450989E-03
6000,3.036620E-03,1.836487E-03,1.459982E-02,4.230532E-02,1.816555E-02,2.202148E-02,5.226115E-03,3.692477E-03,1.384947E-02,3.070943E-03,1.963834E-02,1.282522E-03,5.663406E-03,9.756346E-03,6.701097E-03,1.332458E-02,3.071887E-03,3.689172E-03,1.725479E-02,1.079595E-02,1.054837E-02,1.202610E-03,2.661950E-03,7.020339E-03,2.751707E-03,3.708085E-03,1.834420E-02,1.077506E-02,1.798707E-02,1.732536E-02,3.804028E-03,4.988007E-03,5.728438E-03,6.340503E-03,1.140574E-02,8.386328E-04,1.439014E-04,1.337550E-04,3.276077E-03,7.200740E-03,4.091315E-02,2.552302E-02,4.713681E-03,1.878741E-02,7.279760E-03,5.397735E-03,7.509816E-03,1.285447E-02,2.279971E-02,5.058681E-06,2.045831E-02,1.430921E-02,3.889583E-04,6.519393E-03,8.273706E-03,1.277866E-02,3.693567E-04,1.549240E-02,4.109508E-03,2.399931E-02,5.109831E-03,2.194735E-04,5.945492E-03,7.054197E-03,2.881801E-03,1.035953E-02,3.094622E-03,9.821709E-03,1.011636E-02,4.360307E-04,4.742188E-03,1.090641E-02,5.030347E-04,1.119383E-02,0.000000E+00,9.209239E-04,2.539806E-03,3.729345E-03,2.501179E-03,2.912158E-02,2.190971E-02,4.323669E-03,1.632008E-02,9.988934E-04,1.003600E-02,9.016911E-03,5.620476E-03,8.058723E-03,6.067965E-03,2.553274E-04,1.136244E-02,8.163693E-03,2.702234E-03,8.746424E-03,2.296655E-02,4.105227E-03,5.617565E-03,1.235899E-02,3.544696E-03,4.652654E-03,1.545178E-02,1.609807E-02,1.185540E-02,4.018201E-04,3.723139E-03,1.028723E-02,2.116187E-02,6.422887E-03,1.409940E-02,3.310077E-02,1.659827E-02,3.525445E-02,6.617789E-03,1.033260E-03,1.790958E-03,4.122991E-03,1.272286E-02,4.050103E-02,3.036667E-02,1.090247E-02
7000,1.059669E-02,2.244272E-03,1.797866E-02,2.646632E-02,1.848885E-02,2.414712E-02,7.229266E-03,9.428030E-03,1.949059E-02,7.485731E-03,2.182796E-02,5.653635E-03,1.049191E-02,8.887360E-03,1.308340E-03,1.000717E-02,1.424791E-03,4.393330E-03,8.730456E-03,1.116580E-02,1.706222E-02,4.455243E-03,2.219592E-03,1.069549E-02,1.644405E-02,1.490082E-03,1.097784E-02,1.285174E-02,1.270823E-02,2.365770E-02,9.387292E-03,9.638748E-03,2.664038E-02,6.120264E-03,2.211570E-02,3.251631E-04,1.149304E-04,6.888242E-04,1.109127E-02,1.196858E-02,2.484354E-02,2.778410E-02,5.866786E-03,2.689712E-02,5.679728E-04,1.301420E-03,6.427152E-03,5.136181E-03,2.637461E-02,3.049619E-03,3.006496E-02,9.920195E-03,2.152399E-03,1.540280E-03,7.264446E-03,2.095733E-02,1.430948E-03,1.573778E-02,7.013247E-03,1.749923E-02,4.499102E-03,3.198029E-03,1.736020E-03,2.011924E-02,6.236787E-03,5.226422E-03,8.186496E-03,1.725176E-02,8.758613E-03,9.491231E-05,8.785008E-04,1.157149E-02,4.093223E-04,1.016141E-02,1.100544E-04,5.493528E-04,5.116572E-03,8.000636E-04,6.949721E-03,2.896991E-02,4.093042E-02,8.986237E-03,1.884473E-02,2.546099E-03,1.546152E-02,1.192540E-02,1.089231E-02,1.308815E-02,1.602451E-02,2.442811E-03,9.272598E-03,1.725749E-02,2.079741E-03,6.689766E-03,3.888565E-02,5.189073E-03,1.479682E-02,1.862441E-02,4.664217E-03,1.332666E-02,1.321751E-02,6.438898E-03,1.732135E-02,3.742587E-03,7.876526E-03,2.084942E-02,2.616791E-02,7.887848E-03,1.990978E-02,1.304148E-02,1.244686E-02,3.997778E-02,2.322019E-03,2.980206E-03,6.935652E-04,1.480504E-03,2.881616E-02,4.419492E-02,3.950552E-02,1.073289E-02
8000,1.137994E-02,1.937056E-03,8.955247E-04,2.332545E-02,2.618391E-02,2.050131E-02,6.424073E-04,1.340578E-02,2.293992E-02,2.016193E-02,2.122221E-02,9.789744E-04,1.135624E-02,3.132430E-03,8.977335E-03,8.539749E-04,2.114440E-03,3.467288E-03,8.781639E-04,9.154361E-03,2.383292E-02,1.023677E-02,3.358150E-04,1.939887E-02,1.701917E-02,3.732093E-03,1.515311E-02,1.858904E-02,2.406219E-02,1.821535E-02,1.169531E-02,2.065744E-02,2.729177E-02,4.235923E-03,2.447082E-02,2.662696E-03,1.889065E-03,2.315872E-03,1.615944E-02,1.285606E-02,2.905764E-02,1.660121E-02,1.533937E-02,2.779819E-02,2.375634E-03,5.916066E-03,4.044905E-03,9.011977E-04,2.147605E-02,1.120945E-02,2.939592E-02,8.779188E-03,3.678723E-04,4.125230E-03,7.276576E-03,1.119565E-02,1.967390E-03,1.705372E-02,9.503111E-03,2.603142E-02,3.530758E-03,3.404688E-04,2.359638E-03,2.256409E-02,3.494313E-04,6.073490E-03,7.175547E-03,1.900370E-02,1.322581E-02,2.744790E-04,1.341608E-03,4.309770E-03,9.018070E-03,2.043431E-02,2.898814E-03,7.542036E-05,6.040290E-04,4.859438E-03,1.308260E-02,2.625818E-02,5.051770E-02,4.404864E-03,3.213441E-02,4.741337E-04,1.693770E-02,1.046504E-02,1.653050E-02,1.492718E-02,2.091145E-02,2.055721E-03,5.415304E-03,1.103589E-02,1.196057E-03,1.387082E-02,3.804547E-02,4.283252E-03,3.219127E-02,1.863069E-02,1.359668E-02,5.970361E-03,2.016428E-03,1.157374E-02,1.935101E-02,8.086610E-03,6.013203E-03,3.323223E-02,2.433468E-02,9.855171E-03,2.442781E-02,3.040846E-02,1.790477E-02,2.908216E-02,7.897930E-03,1.457161E-03,2.203341E-04,0.000000E+00,2.123255E-02,4.427828E-02,3.334519E-02,1.154893E-02
9000,2.600360E-03,1.898431E-03,5.644777E-04,2.713191E-02,2.148058E-02,2.344488E-02,9.923242E-03,1.423481E-02,1.702141E-02,2.829755E-02,2.718687E-02,6.254752E-03,1.859925E-02,1.845805E-02,8.933465E-03,4.434077E-03,5.738004E-04,5.834891E-03,7.440538E-03,3.205906E-02,2.855067E-02,1.624830E-02,1.252832E-03,3.401950E-02,2.297771E-02,2.990632E-05,2.501031E-02,1.585064E-02,1.890637E-02,2.419962E-02,1.195198E-02,2.928038E-02,3.013016E-02,1.271846E-03,3.300048E-02,7.465592E-03,4.509561E-03,4.032766E-03,1.337828E-02,1.405753E-02,1.900327E-02,1.615340E-02,1.396542E-02,2.723748E-02,4.821913E-03,9.426709E-03,2.028018E-02,3.745960E-04,2.387070E-02,4.789132E-03,2.240316E-02,8.724259E-03,1.246200E-03,7.156064E-04,1.156280E-02,2.119415E-02,1.495556E-04,2.242631E-02,2.862583E-03,3.739947E-02,7.066999E-03,1.771393E-03,1.055560E-03,2.634682E-02,6.759200E-03,9.854798E-03,8.204689E-03,2.271048E-02,1.291035E-02,3.815435E-03,2.591143E-03,5.942450E-04,9.443558E-03,2.361173E-02,3.456498E-04,9.763776E-04,3.814148E-03,2.251900E-03,8.501043E-03,4.025316E-02,4.253850E-02,3.468301E-03,2.512105E-02,2.017756E-05,2.575881E-02,5.328935E-03,1.663455E-02,1.496102E-02,1.474285E-02,1.747660E-03,4.821999E-03,1.406149E-02,3.017086E-03,1.234011E-02,3.231367E-02,2.265451E-03,3.689741E-02,1.783438E-02,1.517517E-02,1.649898E-02,2.214426E-03,5.132241E-03,1.383258E-02,1.845206E-02,1.665360E-03,2.535143E-02,2.385935E-02,2.387333E-02,3.028423E-02,2.761967E-02,9.573846E-03,3.403909E-02,2.837338E-03,7.048077E-03,2.651835E-04,6.612992E-04,2.479696E-02,2.581072E-02,4.310477E-02,1.016303E-02
10000,1.200956E-04,3.207428E-03,5.369822E-03,2.988730E-02,2.292710E-02,3.053711E-02,1.335376E-02,1.476459E-02,2.026205E-02,2.380441E-02,2.478793E-02,1.500758E-02,2.397139E-02,1.267455E-02,1.359009E-02,4.635994E-03,3.242882E-04,1.351268E-02,3.754334E-03,4.969915E-02,2.071231E-02,7.615331E-03,1.616433E-02,3.396649E-02,1.306486E-02,3.618082E-03,3.540077E-02,1.647173E-02,1.034667E-02,2.548850E-02,1.627559E-02,2.831238E-02,2.683050E-02,6.831421E-03,1.478980E-02,8.176300E-03,1.182803E-02,5.309009E-03,1.509365E-02,1.264692E-02,2.020685E-02,6.990980E-03,1.215331E-02,2.654347E-02,4.795148E-03,8.846930E-03,2.028723E-02,5.641359E-03,2.566314E-02,6.354319E-03,1.063512E-02,2.496282E-04,2.481959E-03,5.683934E-04,1.824983E-02,1.402693E-02,1.050014E-04,2.444176E-02,1.985976E-03,2.501211E-02,7.739374E-03,9.467624E-03,9.192861E-03,2.163317E-02,7.001345E-03,1.052491E-02,3.279004E-03,2.502506E-02,2.329262E-02,6.769801E-03,5.856882E-03,1.753016E-03,1.807244E-03,2.275809E-02,2.596664E-04,3.144451E-04,3.488968E-03,1.597867E-03,6.364283E-03,2.778293E-02,3.883687E-02,4.577261E-03,2.397214E-02,5.337649E-04,2.596066E-02,2.669704E-03,1.451269E-02,1.677089E-02,1.431481E-02,1.307300E-02,5.656242E-03,9.475161E-03,4.144107E-03,3.513743E-03,3.003713E-02,4.483429E-03,3.027530E-02,1.266188E-02,1.282775E-02,1.391324E-02,1.403496E-02,7.908440E-03,1.937796E-02,1.708571E-02,8.091955E-04,3.395187E-02,2.297913E-02,2.883236E-02,2.673895E-02,3.695071E-02,1.784223E-02,2.782055E-02,3.927955E-03,1.725138E-03,2.935548E-03,9.712846E-04,2.696846E-02,2.420915E-02,3.938389E-02,1.473763E-02
