Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,3.532419E-04,6.777894E-05,9.202876E-05,8.433119E-05,5.103459E-05,2.275474E-05,3.280390E-04,4.267389E-05,2.958625E-04,1.020976E-04,1.068935E-04,1.256520E-04,3.414995E-04,1.864230E-04,4.510292E-04,2.354994E-04,2.541617E-04,1.500051E-04,4.939815E-04,5.148018E-04,5.910719E-05,1.118836E-03,1.047946E-04,4.648193E-07,2.695989E-04,1.130350E-04,6.955420E-05,1.271232E-04,1.192561E-03,8.882054E-05,2.295271E-04,7.598323E-04,1.879513E-05,9.766300E-05,2.041066E-04,3.885106E-05,4.806919E-04,7.174005E-04,2.183403E-05,5.677476E-05,1.928368E-04,4.103670E-04,6.559221E-05,9.613268E-05,1.611034E-05,1.224840E-04,2.739605E-04,2.624389E-04,4.966668E-05,3.035217E-05,1.114318E-04,2.169119E-04,1.656074E-04,1.098838E-04,1.215883E-04,9.669539E-05,NA,8.070668E-05,9.214353E-05,4.897315E-05,4.154953E-04,6.659799E-04,8.908365E-04,3.329497E-04,3.395594E-05,1.402011E-04,3.582083E-04,4.375264E-04,1.983388E-04,1.262888E-04,9.609370E-05,3.168291E-04,3.022769E-05,3.013836E-04,4.153049E-05,5.240088E-04,1.340044E-04,1.027230E-03,8.834921E-05,7.285735E-05,3.487605E-04,5.105348E-05,1.527259E-04,2.835749E-04,8.056634E-05,1.635553E-05,6.140412E-04,7.103881E-04,4.489796E-05,2.154676E-04,1.591299E-04,NA,1.139895E-05,6.703711E-04,4.634053E-04,1.058766E-04,2.042446E-04,1.113947E-03,7.625980E-04,2.037494E-04,2.008054E-04,4.444181E-04,9.072931E-05,3.460125E-04,2.551293E-04,9.611683E-06,1.499812E-04,1.523097E-04,9.851953E-05,1.021121E-04,2.376405E-05,1.687263E-04,7.942533E-04,5.796367E-05,5.146771E-05,5.948322E-04,1.611405E-04,2.022742E-04,1.154391E-04,3.499978E-04
2000,8.875435E-05,1.066005E-03,1.519030E-03,4.166014E-04,1.621326E-04,2.027425E-04,4.480443E-04,5.888504E-04,9.795120E-05,5.255754E-05,1.383741E-04,2.568670E-04,1.335342E-05,3.616917E-04,4.401085E-04,2.975183E-05,5.341455E-05,5.017731E-05,5.784791E-04,5.060074E-04,2.216282E-04,3.770402E-05,8.187283E-04,3.149671E-04,2.698667E-04,3.733558E-04,4.105188E-04,4.154354E-04,2.642781E-06,3.521869E-04,2.428990E-04,3.125186E-04,2.272788E-04,4.651546E-04,3.723687E-04,1.954430E-04,4.853766E-04,1.190669E-04,3.527269E-04,8.443394E-04,2.381496E-04,1.211007E-04,1.735301E-04,3.095789E-04,2.300080E-04,2.234769E-04,2.708334E-04,1.509149E-04,1.645285E-04,1.931068E-04,3.579122E-04,4.200992E-04,2.846662E-04,5.105348E-05,4.657903E-05,6.805471E-05,3.188760E-05,5.645405E-05,6.888330E-04,2.291648E-04,2.803058E-04,5.009440E-04,9.595697E-04,1.098612E-04,3.094550E-04,4.363758E-05,2.167763E-07,1.103182E-04,4.891686E-04,1.435604E-04,1.725997E-05,2.784943E-04,1.056986E-03,8.209424E-05,2.983038E-04,3.656480E-05,6.807791E-05,2.034965E-04,1.196394E-04,1.021490E-05,1.518454E-04,1.494238E-04,8.165599E-04,9.142499E-04,1.098942E-04,2.918975E-04,1.546044E-04,3.404010E-04,2.784662E-04,1.936673E-04,2.424989E-04,1.271041E-04,2.065212E-04,2.578704E-05,2.627233E-04,1.393905E-04,1.287115E-04,2.192409E-04,2.319831E-04,6.223946E-04,2.007309E-04,1.702733E-04,3.459083E-04,4.024288E-05,3.861553E-04,3.932711E-04,9.620562E-05,7.928870E-05,2.170939E-04,1.668720E-05,2.200346E-04,2.312463E-04,9.083826E-05,9.000520E-04,5.493553E-05,6.955059E-05,5.309541E-04,3.112646E-04,9.878872E-05,1.847718E-04
3000,2.091629E-04,3.272365E-04,6.600066E-04,1.549562E-03,3.000911E-04,1.570204E-05,5.115447E-04,4.153672E-05,2.301414E-05,2.725979E-04,2.978071E-04,3.670905E-04,7.573099E-05,2.314710E-04,1.127277E-04,2.400745E-04,7.883239E-04,9.874703E-05,3.626470E-05,5.743256E-05,6.073759E-04,6.925500E-04,7.482419E-05,8.357277E-05,6.947609E-05,1.267417E-04,7.913844E-04,6.757646E-04,5.701270E-05,2.500789E-04,4.661917E-04,1.187583E-04,8.009375E-05,9.360273E-04,3.635086E-04,1.869404E-04,1.098234E-04,6.185863E-04,1.653185E-04,1.677042E-05,2.344298E-04,3.503439E-05,1.467152E-04,2.038031E-04,2.733900E-04,7.508533E-05,2.210224E-04,2.197828E-05,3.284379E-04,9.806530E-04,2.344006E-04,4.301425E-04,1.546123E-05,1.529093E-04,3.966962E-04,4.503788E-06,3.058665E-04,2.155150E-04,5.462399E-04,1.098315E-03,5.521277E-04,3.428127E-04,1.565801E-04,1.900408E-04,1.447304E-04,3.193031E-04,5.044180E-04,8.840551E-05,1.444999E-05,5.526423E-05,5.262996E-04,4.699531E-05,3.683297E-04,6.765267E-05,1.486551E-04,1.853184E-04,6.211026E-04,2.798289E-04,8.318619E-05,6.050861E-04,4.871447E-04,1.966978E-04,1.515733E-04,2.487072E-04,7.414160E-05,2.072736E-04,4.841725E-05,1.254382E-04,5.740799E-05,7.050041E-05,2.330377E-04,3.079568E-05,1.125415E-04,4.182152E-04,2.166876E-04,4.381312E-04,1.331096E-03,2.720968E-04,4.308854E-05,4.584677E-04,3.672342E-04,3.279401E-04,8.397756E-04,1.924648E-04,1.699783E-04,6.130728E-05,6.249292E-04,1.175632E-04,2.573505E-04,2.142521E-04,1.047151E-03,9.074490E-05,9.649110E-04,2.973827E-04,4.278029E-05,1.010684E-04,1.892496E-03,2.071240E-03,4.221498E-05,3.812228E-04
4000,1.988850E-04,1.861245E-05,1.534398E-06,3.892437E-05,3.171068E-04,4.290835E-04,1.306302E-04,4.314667E-05,4.870475E-04,6.057799E-05,1.264410E-05,2.665739E-04,1.633821E-03,3.907841E-04,1.538137E-04,6.238700E-04,2.541808E-04,7.257151E-05,2.754232E-04,1.298935E-04,3.998229E-05,4.673099E-04,5.787076E-05,2.226852E-04,8.443982E-04,6.515226E-05,1.426055E-04,4.732484E-04,3.591923E-04,9.105256E-05,1.512077E-04,1.951343E-04,9.997017E-04,2.937023E-04,5.401574E-05,1.151441E-04,3.642742E-04,3.014615E-04,3.253895E-05,6.874550E-05,7.808964E-05,3.206735E-04,9.242154E-04,1.318390E-04,1.678115E-03,1.230889E-03,1.467298E-04,1.669370E-04,1.857924E-04,2.597793E-04,1.172450E-04,3.605513E-04,1.183400E-04,3.205624E-05,7.243946E-04,1.669402E-05,1.960981E-04,1.826919E-04,4.129024E-04,2.921954E-04,1.228344E-04,3.373734E-04,2.096123E-04,1.260965E-05,6.019726E-04,5.376687E-04,9.098953E-04,1.340733E-04,7.952524E-04,1.715569E-04,3.649248E-05,6.099447E-04,4.279149E-04,3.264084E-04,1.228841E-04,6.448478E-05,3.087324E-04,1.663654E-04,4.499220E-05,8.656765E-05,3.019278E-04,2.667240E-04,6.324788E-04,1.055604E-03,3.415209E-04,2.708662E-04,1.709203E-04,1.847813E-04,3.712067E-05,4.036800E-04,1.742765E-04,4.696006E-05,1.608880E-04,5.213993E-04,1.860201E-04,2.355689E-04,2.067490E-04,2.726129E-05,4.204941E-04,3.614409E-04,3.494115E-05,8.433999E-04,3.148013E-04,2.098329E-04,1.437846E-05,2.612517E-05,6.660114E-04,1.546260E-04,3.576338E-04,3.366815E-05,7.818048E-05,7.121228E-04,2.090619E-04,2.434830E-04,3.758284E-04,1.362894E-03,1.493562E-03,3.938353E-04,3.786729E-04,2.743568E-04
5000,8.293031E-04,1.605324E-06,3.794212E-04,2.643814E-04,4.061739E-05,9.163518E-05,3.822884E-05,6.308142E-04,7.594361E-04,1.595872E-04,2.494972E-04,2.962808E-04,6.678396E-05,9.002404E-05,3.278291E-04,9.201631E-04,1.940183E-04,2.457057E-05,4.191767E-05,6.159130E-04,2.135867E-04,2.528877E-04,2.844567E-04,2.838574E-04,2.905573E-04,1.022628E-04,4.400468E-04,8.826902E-04,3.818500E-04,4.845605E-04,3.367590E-04,4.615622E-05,7.152965E-04,1.483550E-04,6.275386E-05,5.948606E-04,2.917063E-04,2.824660E-04,3.010016E-04,1.567171E-04,2.513489E-04,2.391056E-04,1.553005E-04,4.439748E-04,1.199382E-04,2.653030E-05,1.315061E-03,6.943218E-05,1.386716E-04,1.925227E-04,6.597689E-04,4.128669E-04,1.718470E-04,1.137413E-04,2.550722E-04,2.057775E-05,6.411944E-05,4.615599E-04,1.075154E-04,8.179174E-04,3.410140E-04,2.985638E-04,7.133342E-05,5.051435E-04,3.338837E-05,2.198853E-04,1.114900E-04,2.969427E-04,4.856338E-05,7.994802E-04,1.963354E-04,4.864447E-06,2.952915E-04,1.803363E-04,3.845220E-04,4.558452E-04,1.749640E-04,4.886208E-05,3.559111E-04,1.700335E-04,3.344531E-04,2.230049E-04,1.781833E-04,1.379541E-04,6.518343E-04,1.028032E-04,2.646255E-04,2.182377E-05,7.464868E-05,9.391206E-05,3.626350E-04,1.342995E-04,8.842149E-04,1.613612E-04,8.423829E-05,2.402683E-04,1.499340E-04,9.889963E-05,2.428249E-04,5.961138E-04,8.190192E-05,7.119799E-05,2.240305E-04,4.211206E-04,3.605364E-04,1.391857E-04,1.404421E-05,1.019175E-04,2.494356E-04,2.215789E-04,2.713085E-05,1.079076E-04,2.043737E-05,1.163200E-03,2.251850E-04,5.522202E-05,3.686065E-04,3.889781E-04,3.322970E-04,1.549044E-05
6000,4.442405E-04,1.385487E-04,1.775735E-04,1.846039E-04,2.832571E-04,2.962881E-04,4.047600E-04,1.377596E-04,3.309879E-04,3.804744E-04,3.189302E-04,2.200515E-04,2.449350E-04,6.384776E-04,8.256774E-05,5.649296E-05,4.710799E-04,2.016715E-04,4.426125E-04,4.601571E-04,3.555897E-04,1.548823E-03,9.810006E-05,7.649110E-05,4.111533E-04,1.533699E-03,1.988702E-04,4.928907E-04,1.252287E-06,1.727980E-04,9.800819E-05,2.370695E-04,1.844291E-04,2.524851E-04,3.829634E-04,6.189820E-04,4.259593E-04,3.753823E-04,7.196146E-04,7.077521E-04,1.014498E-04,2.060147E-04,1.191227E-04,2.174425E-04,2.165371E-04,9.450467E-05,2.067152E-04,4.865065E-04,7.067661E-04,5.117617E-05,1.820033E-04,7.385006E-04,3.267799E-05,1.134930E-03,4.156231E-04,5.066546E-04,2.677319E-05,2.362263E-05,6.727775E-05,4.637360E-05,6.666281E-05,1.596949E-04,2.988846E-04,8.899874E-04,5.090345E-04,4.342248E-04,6.865016E-04,1.259898E-04,1.004347E-03,3.535054E-04,1.092889E-04,5.130740E-05,3.303455E-05,4.415819E-04,NA,2.774000E-04,1.010109E-04,1.312821E-03,1.329969E-04,2.745332E-04,6.706297E-04,5.466415E-04,3.230858E-04,5.799869E-05,3.087045E-04,1.025386E-04,2.002080E-04,4.277680E-04,3.433549E-04,3.191205E-04,6.626394E-04,2.323204E-04,3.732674E-05,1.082776E-04,1.718205E-04,7.374219E-04,2.919292E-04,4.088573E-04,5.463708E-05,5.548844E-04,2.284777E-05,1.117119E-04,1.359238E-04,5.743810E-04,5.103271E-04,1.252833E-04,3.647379E-06,5.589654E-05,8.298106E-07,1.667545E-04,2.490027E-04,1.027417E-03,1.095881E-04,3.022592E-04,9.204395E-05,2.746325E-04,3.687583E-04,4.849744E-04,2.506785E-04,3.079272E-05
7000,3.216807E-04,2.833739E-04,7.779133E-05,5.049021E-05,6.142191E-04,1.204435E-04,4.869942E-04,3.462381E-05,9.059510E-04,1.137609E-04,4.374368E-04,2.469171E-04,6.148939E-04,2.637795E-05,1.016788E-03,1.099269E-04,6.675748E-05,4.854535E-04,1.523683E-05,2.243799E-04,2.931406E-04,4.013433E-04,4.522020E-04,3.135749E-04,2.520933E-05,1.611111E-05,2.746775E-05,1.056856E-04,1.203936E-03,5.269794E-04,5.318773E-04,7.796704E-04,1.426764E-04,4.493081E-04,3.743935E-04,7.129795E-04,4.097066E-05,2.947688E-04,7.733918E-05,5.945547E-04,1.173377E-04,1.167755E-04,2.594194E-04,3.268091E-05,7.555100E-04,8.695195E-05,7.600585E-04,1.887518E-05,7.280363E-05,2.589933E-04,3.118970E-04,1.295673E-04,3.224408E-04,4.462346E-04,3.171264E-04,7.120620E-05,4.999728E-04,1.704303E-04,2.794521E-04,9.975115E-05,4.636148E-04,3.930002E-04,3.588240E-05,4.773843E-05,3.478636E-05,1.042030E-04,8.348618E-05,5.442213E-04,1.077503E-04,4.417271E-05,1.929591E-05,2.680152E-04,4.936119E-04,1.204674E-04,4.484729E-04,1.970950E-04,1.486420E-04,9.239344E-05,3.709253E-07,1.693622E-04,3.800911E-04,1.024309E-03,2.647996E-04,2.728514E-04,1.863081E-04,3.132768E-04,9.911542E-05,8.465410E-05,1.613514E-04,2.566063E-04,7.721558E-05,1.017976E-04,1.048326E-03,3.631272E-04,9.067300E-04,8.431526E-06,3.070895E-04,2.206056E-04,2.322648E-04,3.143307E-04,5.952293E-05,5.866127E-04,1.655642E-04,2.327287E-04,8.936168E-05,2.470087E-04,5.321521E-04,4.163322E-04,2.171017E-04,4.203709E-04,2.255073E-05,5.385250E-04,4.465524E-04,2.839430E-04,2.955814E-04,4.684933E-04,1.651820E-03,2.459435E-04,2.683420E-04,4.863096E-04
8000,8.698748E-04,1.901397E-04,7.994369E-06,5.877495E-05,8.568747E-05,1.640104E-04,3.267605E-05,2.834466E-04,1.017612E-04,1.707839E-04,1.501023E-04,3.143917E-04,2.817635E-04,6.951246E-05,2.902765E-04,1.626141E-04,4.612168E-06,2.663689E-05,7.473620E-04,2.933930E-04,1.956647E-04,7.578584E-06,4.019215E-04,2.917484E-04,1.200077E-04,2.013125E-04,8.514733E-06,6.669211E-04,4.563807E-04,1.037752E-04,1.943425E-04,3.931918E-04,6.555839E-05,1.883636E-04,1.567865E-04,2.823173E-04,2.425012E-04,5.022090E-04,3.614165E-04,1.578215E-04,2.597440E-04,1.658910E-04,4.223425E-05,4.723633E-05,2.115470E-04,1.099587E-04,2.360606E-04,1.707274E-04,5.768413E-04,1.203910E-04,6.638441E-04,3.866214E-04,9.871949E-05,2.117505E-05,6.006192E-04,2.445736E-04,5.850617E-05,4.804007E-04,1.954351E-04,2.930945E-04,5.952177E-04,5.586161E-05,1.484638E-04,2.131029E-04,9.750518E-06,1.013085E-03,3.606660E-04,7.259844E-05,1.265302E-04,4.572268E-05,4.816503E-04,2.128837E-05,3.492261E-04,5.363626E-04,4.208539E-04,1.308016E-04,1.047014E-04,3.784631E-04,2.039260E-03,1.896027E-04,3.392169E-04,3.083521E-04,4.241854E-04,1.024233E-05,6.701422E-05,2.867276E-04,1.593292E-04,3.858663E-04,5.142551E-04,8.557867E-05,3.536888E-04,3.235576E-04,3.898102E-04,4.324838E-04,3.878572E-04,7.066658E-05,8.491854E-05,1.036221E-04,2.035615E-04,1.135285E-04,2.887717E-04,6.108660E-04,3.897359E-04,8.244842E-05,1.353495E-04,3.389923E-04,2.965773E-04,2.958161E-04,1.591866E-04,2.148256E-04,5.974619E-04,2.037580E-04,3.648324E-04,1.346382E-04,7.624475E-05,NA,2.323956E-04,3.696301E-04,3.346838E-04,4.559286E-04
9000,5.665991E-04,2.023897E-04,1.071881E-04,2.816498E-04,6.007624E-05,3.643841E-04,1.767317E-04,6.904094E-05,1.727313E-04,2.389326E-03,2.519967E-04,2.161483E-05,7.557542E-05,4.654280E-05,7.198878E-04,6.285274E-05,4.412002E-04,3.028340E-04,1.509973E-04,4.792720E-04,1.242126E-04,4.670316E-05,8.212381E-04,1.616142E-04,2.788267E-04,3.160849E-05,4.560435E-04,2.398782E-04,8.628561E-05,2.842117E-04,1.083454E-05,2.677703E-04,9.321611E-05,1.062801E-04,2.813835E-04,4.362676E-04,1.161540E-04,3.799401E-04,8.738543E-05,1.300902E-04,6.515322E-05,5.388978E-04,7.420616E-04,4.539336E-04,9.350195E-05,8.624268E-05,6.947165E-05,2.860362E-04,7.575372E-05,1.481944E-04,3.462035E-04,6.547280E-05,9.095524E-05,7.399615E-04,1.179300E-04,4.066912E-04,2.240859E-04,1.814711E-04,5.741049E-05,1.793943E-04,8.404388E-04,1.035746E-04,2.278164E-05,2.482203E-04,5.157562E-05,7.789461E-05,4.375146E-04,1.422167E-03,1.179864E-04,4.960139E-04,6.400996E-05,6.678417E-04,3.090188E-04,7.289229E-04,5.359995E-04,4.369715E-05,3.225466E-04,1.355805E-05,1.806618E-05,5.063320E-05,2.525606E-04,2.757084E-04,1.274838E-04,2.035920E-04,1.609287E-04,1.213473E-03,1.224513E-04,2.914094E-04,2.033497E-05,7.901414E-05,2.823813E-04,1.610861E-04,3.633252E-04,8.521579E-06,3.312355E-04,2.405553E-04,3.498635E-04,6.804339E-04,2.301619E-05,2.815326E-04,3.764917E-04,5.701018E-04,5.924473E-04,9.844162E-04,1.855446E-04,7.220959E-04,2.929741E-04,2.468673E-04,1.802003E-05,1.865341E-04,1.449887E-06,1.837434E-04,6.586502E-04,8.367277E-05,1.517186E-04,7.447429E-05,2.145234E-04,9.568493E-05,5.814058E-04,3.227697E-05
10000,3.364798E-04,5.912883E-04,5.379360E-05,1.934322E-04,6.026061E-05,7.512895E-04,1.107200E-03,9.561015E-06,2.804166E-04,8.342138E-05,1.905965E-05,9.785796E-05,3.327203E-04,1.271892E-04,1.157108E-04,4.230060E-04,2.004918E-05,2.942467E-04,2.821999E-05,1.058095E-04,2.714706E-04,3.881367E-04,2.991744E-04,2.087425E-04,1.784117E-04,1.707559E-04,1.095453E-04,6.883498E-04,8.171250E-04,2.376836E-04,2.411577E-04,3.260392E-05,7.739365E-05,1.075383E-03,6.640688E-05,3.484428E-05,2.293430E-04,1.843268E-05,4.209954E-04,6.242456E-04,2.641109E-04,4.197035E-04,1.232620E-04,1.035597E-04,4.932959E-05,3.605767E-04,3.626883E-04,2.406869E-04,4.301342E-04,1.445117E-03,1.259680E-03,1.008223E-04,2.518991E-04,1.888204E-04,2.988211E-04,6.279937E-04,2.191039E-05,5.052820E-04,9.569832E-05,9.220150E-04,2.044956E-04,2.410947E-04,8.675647E-06,3.744068E-04,1.577391E-04,2.956471E-04,3.464306E-04,8.198359E-04,1.229280E-04,6.259668E-05,9.367617E-05,7.128662E-04,2.115411E-04,1.302790E-04,1.468760E-04,6.168078E-05,1.081334E-05,9.134981E-05,4.324008E-05,1.360348E-04,1.415242E-04,9.864301E-05,1.837753E-04,2.371023E-04,1.182793E-04,3.122097E-04,1.760594E-03,4.556487E-04,3.887015E-04,4.512582E-04,1.696953E-05,4.958271E-04,6.051298E-05,2.033399E-04,3.923166E-04,1.956029E-04,1.776804E-04,5.139817E-04,1.247298E-04,2.853227E-04,1.006255E-04,1.686207E-04,3.625810E-04,1.235130E-04,2.453133E-04,2.258516E-04,3.259226E-04,4.571926E-05,1.822439E-03,1.021155E-05,1.179688E-04,5.879619E-04,3.274644E-06,4.643738E-05,3.981331E-05,9.652987E-05,1.147546E-04,8.420020E-05,1.501917E-03,2.492161E-04
