Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,6.177297E-04,3.093746E-04,3.435331E-03,7.130790E-04,4.692389E-04,2.845528E-04,2.519205E-03,1.053264E-04,1.975121E-03,2.956594E-03,1.097007E-02,2.526463E-03,1.264969E-03,6.848194E-03,1.660789E-03,1.389681E-04,4.156274E-03,6.842211E-04,2.916368E-03,7.851556E-04,1.190690E-03,6.443560E-04,7.224330E-04,8.526774E-04,1.985347E-03,2.438651E-04,5.920728E-03,2.010109E-05,5.952883E-04,4.761296E-03,1.751737E-03,8.436228E-03,2.253785E-03,2.939493E-04,1.451530E-03,1.650690E-04,3.509861E-03,9.417256E-04,6.360480E-04,4.429986E-04,1.556731E-04,2.615671E-04,1.228946E-03,8.222509E-04,2.247861E-04,9.016877E-04,1.884860E-03,2.136444E-04,3.492518E-03,2.507243E-03,5.122393E-03,2.004950E-04,1.341218E-04,4.195242E-04,4.775402E-03,5.380723E-04,0.000000E+00,7.481899E-05,1.870675E-03,4.948045E-06,1.816985E-03,1.360884E-03,1.507821E-03,1.236140E-03,3.398767E-04,1.213394E-02,9.071106E-04,1.254253E-04,4.535106E-05,3.855316E-04,9.615993E-04,1.278313E-03,3.137149E-04,4.681188E-03,3.395065E-04,2.078888E-03,5.413012E-04,1.427206E-03,3.035071E-04,9.715194E-04,1.765734E-03,5.052036E-06,2.856292E-03,1.872146E-03,1.397046E-04,2.938982E-04,2.159611E-03,4.468942E-03,6.874607E-04,6.785968E-03,2.279951E-03,0.000000E+00,3.135107E-03,2.073196E-03,1.347335E-04,8.026807E-04,2.020202E-05,2.064282E-04,1.908651E-04,4.599506E-03,1.242738E-03,2.199741E-03,1.592032E-04,4.372899E-03,5.544594E-05,5.823918E-04,3.796411E-03,1.301355E-04,1.799796E-03,1.010305E-05,5.375900E-03,5.014452E-03,1.373375E-03,6.334781E-03,1.147050E-03,1.442695E-03,5.405308E-04,7.539255E-03,4.494147E-05,7.718839E-04
2000,7.865794E-04,8.323309E-04,5.725207E-03,5.943646E-05,2.801073E-03,9.850854E-04,1.038976E-02,1.764095E-03,9.895111E-06,1.297670E-03,1.826631E-02,6.579552E-03,3.462543E-03,5.545643E-03,2.805249E-03,1.521958E-03,4.825789E-03,4.212433E-03,7.997947E-03,3.804421E-03,1.553026E-03,1.546062E-03,3.031651E-03,5.965747E-03,1.417667E-03,7.119891E-04,5.380645E-03,2.490550E-03,3.008570E-03,7.814338E-03,1.131279E-02,4.095518E-03,3.054416E-03,6.320887E-03,6.005365E-04,8.569212E-04,3.082121E-04,4.133981E-03,8.373970E-04,1.713560E-03,5.752672E-03,9.604819E-04,4.441508E-04,9.287656E-03,6.920583E-04,3.321818E-03,3.896030E-03,9.458996E-04,5.228740E-03,1.432637E-03,6.216127E-03,4.664159E-04,1.962873E-04,5.052036E-06,6.626045E-03,4.111936E-03,4.392755E-04,2.427449E-03,8.740521E-04,1.648075E-03,2.636416E-03,1.736737E-04,1.262728E-03,2.840402E-03,1.207388E-03,1.172909E-02,2.543254E-04,8.798218E-04,6.200249E-04,1.506338E-03,5.883223E-04,3.597726E-03,2.026361E-04,3.253405E-03,1.217437E-03,8.001920E-04,2.593138E-03,6.771237E-03,1.087305E-03,1.131176E-03,1.265029E-02,6.190704E-04,3.248625E-03,4.157680E-03,4.640862E-03,1.691111E-04,7.618361E-04,5.934751E-04,5.260439E-03,1.145117E-02,5.846667E-03,2.945951E-04,5.864540E-03,5.817676E-03,2.084763E-03,4.741709E-03,1.610035E-03,9.619048E-04,1.202294E-04,9.725876E-03,6.808035E-03,4.295192E-04,3.120713E-03,1.065677E-03,1.823929E-03,2.423874E-03,1.614435E-02,1.892664E-04,4.839509E-03,2.999824E-05,6.331349E-03,1.339969E-02,6.430646E-03,4.245861E-03,1.417752E-03,2.279103E-03,2.725012E-03,1.653928E-02,1.207491E-02,1.116964E-03
3000,3.831211E-04,6.541328E-05,1.401288E-02,1.810599E-04,6.266061E-03,6.112537E-03,1.647575E-02,1.572645E-03,5.094243E-03,3.230208E-04,2.192968E-02,8.323205E-03,8.414831E-03,3.429430E-03,1.543743E-03,1.366240E-03,2.013768E-02,6.504133E-03,1.314473E-02,1.120095E-02,5.206223E-03,5.052600E-03,2.858221E-03,5.153293E-03,1.697230E-04,2.240403E-04,4.778409E-03,7.123739E-03,1.020182E-02,2.453296E-03,1.411481E-02,2.685717E-03,7.461075E-05,2.191884E-03,3.253468E-03,4.253414E-03,6.768936E-04,5.172041E-03,2.937242E-03,3.479670E-03,2.002543E-02,8.979399E-03,2.088912E-04,5.555466E-03,1.001329E-03,1.795557E-04,1.365662E-03,1.152551E-03,4.456938E-03,8.373445E-03,1.581785E-02,1.300185E-03,1.196707E-03,3.750595E-03,6.252108E-03,3.971709E-03,1.404083E-03,5.509360E-03,6.591498E-04,3.461263E-03,1.649765E-03,7.613414E-04,2.290198E-04,2.111350E-03,3.060290E-03,1.112572E-02,6.319264E-03,3.364808E-03,6.970304E-04,2.367952E-03,3.953432E-03,7.343796E-03,2.004156E-04,9.966003E-03,1.385484E-03,6.452363E-05,6.472353E-04,5.443274E-03,4.743155E-04,2.199549E-03,1.472239E-02,1.706092E-03,6.086898E-03,3.233822E-04,3.475665E-03,1.498528E-03,4.978434E-05,1.837532E-03,3.033118E-03,8.338962E-03,8.548380E-03,3.397234E-04,1.254643E-02,5.215661E-03,8.976165E-03,3.891776E-03,7.053617E-03,9.094046E-03,2.065093E-03,1.016323E-02,1.611414E-03,6.284576E-03,2.419588E-03,1.522092E-03,1.231448E-03,3.689787E-03,1.122685E-02,2.619059E-03,1.625692E-02,2.441012E-03,1.554864E-02,2.151849E-02,4.601232E-03,4.597913E-03,1.036951E-02,3.882305E-03,2.760357E-04,2.145571E-02,1.758539E-02,3.338100E-03
4000,3.738849E-04,1.748294E-03,1.452927E-02,2.926539E-03,5.837492E-03,8.738988E-03,1.303812E-02,3.499649E-03,5.047524E-03,1.648042E-04,1.925761E-02,1.047636E-03,5.932315E-03,2.870387E-03,2.959658E-03,3.672580E-03,8.702210E-03,5.419071E-03,1.130549E-02,1.166799E-02,7.304134E-03,6.462898E-03,2.094652E-04,5.370493E-03,5.637172E-04,1.547829E-04,1.231568E-02,4.807012E-03,1.194859E-02,3.547378E-04,1.452979E-02,4.173974E-03,4.113304E-03,1.141368E-03,9.508177E-03,4.409328E-03,2.117260E-03,2.856572E-03,6.079729E-03,3.191593E-04,2.716414E-02,6.290135E-03,3.944092E-03,1.142055E-02,8.757157E-03,4.638901E-03,1.039763E-02,1.215721E-02,5.874601E-03,1.122802E-03,1.763162E-02,4.739625E-04,7.753206E-04,4.019029E-03,7.308385E-03,8.859706E-03,9.489140E-05,1.037802E-02,6.986469E-05,4.982766E-03,4.878034E-04,1.397265E-04,6.620546E-04,2.244866E-03,5.316016E-04,3.216595E-03,7.228508E-03,7.424967E-03,1.334721E-02,4.669309E-03,3.167808E-03,4.939468E-03,1.350275E-04,1.533200E-02,2.228689E-03,6.492106E-05,3.912029E-03,6.960190E-03,4.027276E-03,6.414015E-03,1.777990E-02,2.794506E-03,7.975323E-03,1.841324E-04,6.487543E-04,6.123128E-03,2.478694E-03,1.214318E-03,3.996330E-05,3.474134E-03,1.623224E-03,3.828037E-03,5.715615E-03,7.256813E-03,1.555733E-02,3.592281E-04,1.486586E-02,1.366568E-02,3.550049E-03,6.315381E-03,6.561219E-03,9.418728E-03,4.849765E-03,1.711845E-03,1.680500E-03,8.984271E-04,1.221841E-02,1.025969E-02,1.869196E-02,1.798409E-02,1.778288E-02,3.388930E-02,9.647686E-03,3.780343E-03,9.913350E-03,1.626334E-03,3.892442E-03,2.165881E-02,1.967869E-02,2.078793E-03
5000,1.474443E-03,7.792150E-04,9.473042E-03,1.692743E-02,1.079804E-02,1.122098E-02,1.848585E-03,3.331718E-03,6.746241E-03,7.377940E-04,2.464850E-02,1.459342E-03,1.255924E-02,6.497262E-03,4.869050E-03,3.599323E-03,2.047525E-03,6.548134E-03,7.864973E-03,1.221251E-02,5.658624E-03,2.558345E-03,4.804229E-03,5.117739E-03,3.395189E-04,3.491878E-04,1.818120E-02,1.743586E-03,1.741934E-02,9.852102E-03,7.560866E-03,8.681483E-03,2.198516E-03,1.234631E-02,7.018471E-03,1.635898E-03,8.499248E-05,2.181459E-03,2.923763E-03,1.974333E-03,3.191880E-02,1.587616E-02,2.841479E-03,2.030606E-02,7.604321E-03,3.074690E-03,8.676314E-03,1.857553E-02,7.376766E-03,1.541168E-03,2.766711E-02,2.651625E-03,5.833308E-04,2.484916E-03,1.074037E-02,2.924710E-03,5.278936E-04,1.519972E-02,3.215107E-03,1.232360E-02,5.714414E-04,5.239543E-04,2.827313E-03,2.744544E-03,1.746638E-03,8.990508E-03,1.139622E-03,6.983550E-03,1.471636E-02,2.022319E-03,3.618069E-03,4.850868E-03,1.848222E-03,2.018934E-02,1.587247E-03,3.043431E-03,3.803870E-03,4.146057E-03,8.389793E-03,1.585883E-02,1.455025E-02,2.484977E-03,8.154441E-03,1.648400E-03,5.310106E-03,1.312808E-02,3.415044E-03,4.489573E-03,1.158917E-03,8.903813E-04,6.010597E-03,9.719527E-03,3.765474E-03,1.471771E-02,1.559894E-02,4.167079E-03,1.015840E-02,8.921336E-03,8.103257E-03,1.137945E-02,8.921102E-03,1.498103E-02,7.914269E-03,2.148002E-04,6.732289E-04,6.882324E-03,2.159830E-02,1.198804E-02,1.339275E-02,2.535508E-02,1.444785E-02,3.062575E-02,1.231435E-02,2.804689E-03,9.216304E-03,2.895827E-03,4.894028E-03,2.080594E-02,1.698806E-02,4.450851E-03
6000,3.033926E-03,1.835978E-03,1.459463E-02,4.228970E-02,1.815526E-02,2.200843E-02,5.221882E-03,3.691460E-03,1.384031E-02,3.068610E-03,1.962581E-02,1.281957E-03,5.660633E-03,9.743900E-03,6.699990E-03,1.332307E-02,3.068988E-03,3.687686E-03,1.723952E-02,1.078601E-02,1.054088E-02,1.198877E-03,2.661428E-03,7.019264E-03,2.749440E-03,3.696702E-03,1.833690E-02,1.076445E-02,1.798703E-02,1.731938E-02,3.803282E-03,4.985641E-03,5.726323E-03,6.337304E-03,1.139701E-02,8.375981E-04,1.437780E-04,1.336537E-04,3.271356E-03,7.190541E-03,4.090485E-02,2.551251E-02,4.712557E-03,1.877924E-02,7.276605E-03,5.396716E-03,7.506711E-03,1.284196E-02,2.276753E-02,5.058169E-06,2.045087E-02,1.428807E-02,3.889329E-04,6.504631E-03,8.266821E-03,1.276571E-02,3.693369E-04,1.549166E-02,4.108955E-03,2.399709E-02,5.109149E-03,2.194033E-04,5.941942E-03,7.041631E-03,2.878860E-03,1.035054E-02,3.090366E-03,9.819234E-03,1.009604E-02,4.357238E-04,4.741151E-03,1.090529E-02,5.030015E-04,1.118395E-02,0.000000E+00,9.204125E-04,2.539292E-03,3.719590E-03,2.500513E-03,2.910559E-02,2.188034E-02,4.318934E-03,1.630954E-02,9.987775E-04,1.002981E-02,9.015063E-03,5.618227E-03,8.051829E-03,6.063797E-03,2.551648E-04,1.134740E-02,8.159899E-03,2.702032E-03,8.744530E-03,2.295865E-02,4.099183E-03,5.614284E-03,1.234889E-02,3.544308E-03,4.647487E-03,1.545108E-02,1.609448E-02,1.185218E-02,4.013554E-04,3.719334E-03,1.028465E-02,2.116172E-02,6.422169E-03,1.409938E-02,3.308972E-02,1.659001E-02,3.518211E-02,6.616340E-03,1.032637E-03,1.790629E-03,4.120724E-03,1.271348E-02,4.046177E-02,3.035145E-02,1.090180E-02
7000,1.058987E-02,2.243001E-03,1.797586E-02,2.646365E-02,1.846615E-02,2.414131E-02,7.222228E-03,9.427377E-03,1.945531E-02,7.484028E-03,2.180887E-02,5.650844E-03,1.047902E-02,8.886891E-03,1.305684E-03,1.000497E-02,1.424600E-03,4.389067E-03,8.730190E-03,1.116079E-02,1.705222E-02,4.451668E-03,2.217585E-03,1.068879E-02,1.644322E-02,1.490034E-03,1.097724E-02,1.284902E-02,1.267766E-02,2.363278E-02,9.377313E-03,9.623728E-03,2.663278E-02,6.114765E-03,2.209915E-02,3.247001E-04,1.149210E-04,6.884184E-04,1.108956E-02,1.195435E-02,2.483771E-02,2.777761E-02,5.863742E-03,2.689536E-02,5.671159E-04,1.301194E-03,6.417391E-03,5.135987E-03,2.637077E-02,3.048040E-03,3.004621E-02,9.917625E-03,2.151011E-03,1.538907E-03,7.259840E-03,2.095435E-02,1.429517E-03,1.573242E-02,7.009328E-03,1.749574E-02,4.494933E-03,3.195516E-03,1.735895E-03,2.011732E-02,6.236353E-03,5.225333E-03,8.185129E-03,1.723299E-02,8.756726E-03,9.490392E-05,8.784669E-04,1.156529E-02,4.089184E-04,1.015896E-02,1.099558E-04,5.491363E-04,5.115051E-03,7.999157E-04,6.949715E-03,2.896010E-02,4.089931E-02,8.967849E-03,1.883475E-02,2.544710E-03,1.545576E-02,1.191793E-02,1.089015E-02,1.308593E-02,1.601934E-02,2.441558E-03,9.271166E-03,1.725398E-02,2.075387E-03,6.684908E-03,3.881519E-02,5.188985E-03,1.478773E-02,1.861619E-02,4.662051E-03,1.331829E-02,1.321594E-02,6.431348E-03,1.731561E-02,3.740846E-03,7.875118E-03,2.083912E-02,2.614007E-02,7.881283E-03,1.990113E-02,1.303051E-02,1.244630E-02,3.993475E-02,2.319945E-03,2.978513E-03,6.931556E-04,1.479117E-03,2.872112E-02,4.417319E-02,3.948432E-02,1.072246E-02
8000,1.136013E-02,1.936319E-03,8.955104E-04,2.332270E-02,2.617943E-02,2.049459E-02,6.423652E-04,1.339818E-02,2.293525E-02,2.015505E-02,2.121583E-02,9.783598E-04,1.134984E-02,3.131994E-03,8.972128E-03,8.536966E-04,2.114421E-03,3.467103E-03,8.768560E-04,9.148986E-03,2.382360E-02,1.023661E-02,3.355465E-04,1.938754E-02,1.701509E-02,3.730592E-03,1.515285E-02,1.856425E-02,2.404023E-02,1.821157E-02,1.169076E-02,2.064120E-02,2.728819E-02,4.234328E-03,2.446314E-02,2.661194E-03,1.888150E-03,2.313552E-03,1.614776E-02,1.285200E-02,2.904256E-02,1.659570E-02,1.533808E-02,2.779557E-02,2.374628E-03,5.914765E-03,4.042994E-03,9.008894E-04,2.145130E-02,1.120675E-02,2.935692E-02,8.772404E-03,3.677994E-04,4.125055E-03,7.267840E-03,1.119018E-02,1.967160E-03,1.703734E-02,9.499397E-03,2.601616E-02,3.526570E-03,3.404308E-04,2.358937E-03,2.255448E-02,3.494244E-04,6.061218E-03,7.170375E-03,1.900094E-02,1.322247E-02,2.744539E-04,1.340319E-03,4.309587E-03,9.011767E-03,2.041238E-02,2.896371E-03,7.540075E-05,6.039027E-04,4.855757E-03,1.302931E-02,2.624822E-02,5.048344E-02,4.402147E-03,3.210715E-02,4.741240E-04,1.693543E-02,1.045903E-02,1.652524E-02,1.491566E-02,2.088994E-02,2.055369E-03,5.411477E-03,1.102875E-02,1.195128E-03,1.385882E-02,3.801595E-02,4.282646E-03,3.218580E-02,1.862683E-02,1.359115E-02,5.969006E-03,2.015263E-03,1.155960E-02,1.933592E-02,8.085276E-03,6.011574E-03,3.320970E-02,2.432026E-02,9.849340E-03,2.442003E-02,3.039539E-02,1.788339E-02,2.907032E-02,7.892173E-03,1.456768E-03,2.203006E-04,0.000000E+00,2.122269E-02,4.424554E-02,3.332287E-02,1.153840E-02
9000,2.597419E-03,1.897662E-03,5.643568E-04,2.711663E-02,2.147800E-02,2.342779E-02,9.919736E-03,1.423285E-02,1.701553E-02,2.816268E-02,2.717317E-02,6.254482E-03,1.859644E-02,1.845633E-02,8.920606E-03,4.433520E-03,5.732946E-04,5.831355E-03,7.438292E-03,3.202834E-02,2.854358E-02,1.624678E-02,1.250772E-03,3.400851E-02,2.296490E-02,2.990442E-05,2.498750E-02,1.584304E-02,1.890310E-02,2.418587E-02,1.195172E-02,2.926470E-02,3.012454E-02,1.271576E-03,3.298191E-02,7.459084E-03,4.508514E-03,4.029706E-03,1.337595E-02,1.405387E-02,1.900079E-02,1.613599E-02,1.394470E-02,2.721276E-02,4.821011E-03,9.425083E-03,2.027736E-02,3.743822E-04,2.386708E-02,4.787712E-03,2.238765E-02,8.723116E-03,1.245973E-03,7.145522E-04,1.156008E-02,2.117692E-02,1.494884E-04,2.241817E-02,2.862254E-03,3.738605E-02,7.055127E-03,1.771026E-03,1.055512E-03,2.633374E-02,6.758503E-03,9.853263E-03,8.197511E-03,2.264596E-02,1.290730E-02,3.811655E-03,2.590811E-03,5.934518E-04,9.437724E-03,2.357731E-02,3.452807E-04,9.762923E-04,3.811687E-03,2.251839E-03,8.500736E-03,4.024909E-02,4.251701E-02,3.466387E-03,2.511464E-02,2.016942E-05,2.575052E-02,5.316005E-03,1.663048E-02,1.495231E-02,1.474226E-02,1.747384E-03,4.819275E-03,1.405696E-02,3.014896E-03,1.233990E-02,3.229227E-02,2.264360E-03,3.687160E-02,1.781012E-02,1.517447E-02,1.648969E-02,2.212761E-03,5.126398E-03,1.381620E-02,1.841574E-02,1.664741E-03,2.531482E-02,2.384538E-02,2.386154E-02,3.028314E-02,2.760937E-02,9.573819E-03,3.402658E-02,2.833603E-03,7.046897E-03,2.651032E-04,6.612008E-04,2.478632E-02,2.580578E-02,4.305468E-02,1.016237E-02
10000,1.200149E-04,3.203639E-03,5.369244E-03,2.987574E-02,2.292434E-02,3.049126E-02,1.332421E-02,1.476431E-02,2.025069E-02,2.380044E-02,2.478699E-02,1.500464E-02,2.395544E-02,1.267133E-02,1.358695E-02,4.632072E-03,3.242752E-04,1.350472E-02,3.754122E-03,4.968863E-02,2.070107E-02,7.609421E-03,1.615466E-02,3.395231E-02,1.306020E-02,3.616846E-03,3.539302E-02,1.644907E-02,1.032977E-02,2.547639E-02,1.626774E-02,2.831054E-02,2.682635E-02,6.816735E-03,1.478783E-02,8.175730E-03,1.182260E-02,5.308813E-03,1.508095E-02,1.263114E-02,2.019618E-02,6.985114E-03,1.215031E-02,2.653797E-02,4.794675E-03,8.840553E-03,2.027252E-02,5.638644E-03,2.564108E-02,6.335967E-03,1.060836E-02,2.495779E-04,2.480710E-03,5.681787E-04,1.823892E-02,1.400933E-02,1.049968E-04,2.441708E-02,1.985596E-03,2.496604E-02,7.736210E-03,9.463059E-03,9.192702E-03,2.161698E-02,6.999137E-03,1.051869E-02,3.276734E-03,2.498406E-02,2.328689E-02,6.768953E-03,5.855785E-03,1.750517E-03,1.806481E-03,2.275216E-02,2.595902E-04,3.144063E-04,3.488893E-03,1.597575E-03,6.363733E-03,2.777537E-02,3.882588E-02,4.576359E-03,2.396333E-02,5.335118E-04,2.595452E-02,2.668037E-03,1.446169E-02,1.675561E-02,1.430369E-02,1.306120E-02,5.656050E-03,9.465771E-03,4.143605E-03,3.512314E-03,3.001357E-02,4.481675E-03,3.026454E-02,1.264887E-02,1.282455E-02,1.390530E-02,1.403214E-02,7.905773E-03,1.936391E-02,1.708149E-02,8.087990E-04,3.393654E-02,2.296415E-02,2.882973E-02,2.664167E-02,3.694996E-02,1.783802E-02,2.778785E-02,3.927929E-03,1.724978E-03,2.935314E-03,9.710971E-04,2.696227E-02,2.420507E-02,3.926577E-02,1.473029E-02
