time,totalVariable,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,536,6,3,5,4,2,3,4,4,5,3,3,2,10,5,5,5,2,5,8,6,5,4,2,2,4,3,7,2,7,10,7,4,5,2,3,2,10,5,5,3,3,4,5,5,4,8,9,5,4,3,4,3,3,5,6,2,0,4,6,1,4,4,4,8,4,6,6,3,3,6,2,8,4,5,3,7,3,4,1,4,6,1,6,7,3,1,8,8,2,6,6,0,4,7,5,2,1,3,5,6,3,6,7,3,4,4,6,3,7,1,7,2,6,3,6,5,6,6,4,5
2000,585,6,6,7,3,5,5,8,5,1,3,5,12,2,7,3,5,5,7,7,5,4,1,4,8,7,5,10,4,2,6,4,3,3,6,3,7,3,6,3,6,6,4,5,8,2,4,7,2,7,7,5,3,7,1,4,9,5,3,1,5,5,3,4,4,3,4,1,3,6,7,5,4,3,5,4,4,3,6,4,7,4,4,7,6,5,3,5,4,9,5,7,2,3,6,6,6,7,2,3,6,5,6,5,2,5,4,7,3,8,3,6,3,7,6,6,7,7,5,6,2
3000,636,3,3,8,2,4,8,7,5,4,3,8,8,7,4,5,9,4,6,4,10,9,6,7,8,5,5,5,5,6,5,9,8,2,4,6,6,4,4,6,3,8,6,3,9,2,2,7,6,7,5,5,2,5,7,6,2,6,6,2,3,4,2,5,7,4,5,10,5,4,6,9,7,5,4,7,4,5,6,3,6,6,3,6,4,6,5,2,4,1,3,6,5,6,6,9,3,7,8,5,3,8,5,6,7,6,2,4,7,3,8,3,6,3,7,8,5,1,6,5,6
4000,617,3,6,7,7,5,9,3,6,4,4,5,7,4,4,6,5,5,7,5,6,5,8,2,6,4,4,7,5,5,6,4,5,7,2,7,5,3,5,5,4,7,5,5,6,5,6,5,5,10,4,5,5,4,9,8,5,4,6,2,7,3,4,4,5,3,5,7,10,4,5,4,5,2,7,3,2,5,6,5,7,10,8,6,2,5,6,4,6,3,5,4,5,3,4,5,4,7,5,6,4,3,3,7,7,4,3,3,6,2,5,3,6,5,4,5,6,2,11,8,6
5000,709,7,3,3,5,6,9,7,10,8,4,10,5,4,5,10,6,9,6,7,9,4,4,5,7,4,5,7,4,3,7,4,7,3,5,7,5,4,9,6,8,6,5,4,11,7,6,5,4,7,6,9,5,3,9,5,4,2,4,4,7,2,6,7,5,4,9,5,8,4,4,6,3,4,9,3,6,7,4,7,8,8,7,5,7,6,6,4,5,7,5,8,9,6,8,7,2,8,6,3,9,6,7,8,4,4,6,7,8,4,6,5,4,4,5,8,4,7,7,7,7
6000,651,5,6,9,3,7,7,5,5,8,7,5,5,4,7,4,11,5,6,4,9,6,4,3,4,7,3,9,8,4,7,3,3,5,4,7,4,2,3,3,3,6,7,6,9,4,8,8,7,7,1,8,8,6,4,8,10,2,6,7,5,6,4,6,6,8,7,4,8,2,3,5,2,2,8,0,6,6,6,4,7,8,5,10,5,6,6,3,8,5,4,7,2,4,6,5,4,5,3,3,1,4,8,7,4,7,7,6,2,4,10,2,6,6,6,7,5,2,8,5,4
7000,677,4,5,4,6,5,5,3,4,8,4,4,4,6,6,4,4,7,8,7,7,5,5,2,9,6,6,7,5,5,7,5,3,6,5,12,6,5,7,7,4,6,4,4,8,4,4,8,6,7,5,6,7,6,7,6,7,3,5,8,7,4,4,6,5,3,3,9,4,3,3,2,3,2,8,1,10,4,6,3,6,7,4,4,7,4,4,6,8,10,7,8,4,3,4,5,5,4,7,5,5,7,8,7,7,6,8,8,6,5,5,5,6,5,8,7,7,6,10,8,8
8000,712,9,6,4,8,8,5,3,6,5,9,6,7,7,4,3,3,5,2,5,6,8,5,3,6,7,6,6,8,8,6,6,4,4,4,7,6,6,3,7,8,8,9,6,8,9,5,7,2,6,5,7,4,2,4,5,5,5,3,9,6,8,7,6,8,5,8,4,2,7,4,2,7,10,7,7,2,5,2,6,11,8,3,7,5,9,7,5,9,6,5,5,9,4,7,4,7,6,6,5,7,7,5,7,10,6,7,9,5,7,9,6,4,5,5,3,0,8,6,8,9
9000,656,4,4,5,7,7,6,5,5,8,10,6,6,7,8,6,6,6,6,6,8,6,6,7,6,9,1,4,7,9,7,2,6,4,6,5,5,7,6,5,7,5,6,5,4,4,4,6,2,5,8,6,2,3,2,6,5,6,6,5,11,5,6,3,6,9,7,9,6,6,4,3,6,4,5,5,3,5,3,4,9,6,6,5,1,6,6,6,7,4,7,4,6,6,5,4,6,4,4,3,4,5,8,6,6,3,3,5,6,5,4,3,5,8,5,3,2,6,7,9,7
10000,711,2,5,4,7,6,6,5,7,8,1,4,6,9,8,10,4,3,9,5,9,8,4,4,7,7,5,8,10,9,9,6,4,10,3,7,3,6,7,6,4,8,6,6,11,4,5,6,8,6,4,6,3,4,4,9,7,2,4,6,10,8,7,7,5,6,4,4,6,6,8,5,2,6,5,2,4,5,9,7,6,6,6,7,3,8,5,4,5,7,7,4,6,6,3,6,4,7,5,8,9,5,7,9,5,4,7,7,9,7,5,7,6,5,6,5,3,4,8,5,5
